participant_id,actuator_type,n_trials,valid_trials,miss_trials,accuracy,miss_rate,mean_rt_ms_valid,median_rt_ms_valid,sd_rt_ms_valid,mean_false_starts,sum_false_starts
1,LRA,15,15,0,1.0,0.0,346.1110166894893,353.48533326759934,89.5879073784257,0.0,0
1,ERM,15,15,0,1.0,0.0,367.1294249283771,352.65175020322204,93.45446431717005,0.0,0
2,LRA,15,15,0,1.0,0.0,273.3510972931981,256.88974978402257,102.11580412874858,0.0,0
2,ERM,15,15,0,1.0,0.0,278.4014109522104,274.6724160388112,66.70493338574941,0.06666666666666667,1
3,LRA,15,15,0,1.0,0.0,269.6981418256958,274.13395792245865,61.008626513845854,0.0,0
3,ERM,15,15,0,1.0,0.0,270.5214415366451,274.89162469282746,39.320520769432584,0.0,0
4,LRA,15,15,0,1.0,0.0,220.1866915759941,197.4102077074349,63.593623978495,0.0,0
4,ERM,15,15,0,1.0,0.0,245.571185896794,246.2302497588098,34.64680715707439,0.06666666666666667,1
5,LRA,15,15,0,1.0,0.0,275.5560332598786,276.6368752345443,50.54010921478593,0.0,0
5,ERM,15,15,0,1.0,0.0,246.61921669418612,255.2222078666091,35.87555669776477,0.0,0
