amp,rms_delta_counts,rms_ms2,peak_delta_counts,baseline_mag,n_samples
4,28.1924510748245,0.27647350033292767,90.11740395845982,1013.9396597841712,135
8,29.15248623609,0.285888229147152,85.41648407614878,1015.2347458886387,134
12,33.2359227882319,0.3259330622112144,106.89202479113999,1015.510206427409,134
16,35.88251196111344,0.3518872359234531,105.10647459747156,1015.2723935375294,134
20,28.510610895180704,0.27959358233522386,86.93835093913958,1016.867918164529,134
24,35.347150001520454,0.3466371285624106,116.98274345199764,1015.6063258931025,134
28,39.184068285648195,0.3842644432534519,114.00001675523549,1017.0234135944634,135
32,31.120555815742197,0.3051883986904482,99.23724112125933,1017.8164728961106,135
36,33.51189174844089,0.32863939321484786,98.91522845520342,1020.6391471782448,135
40,34.08474444348533,0.3342571590967054,88.46824266019837,1019.308810721934,135
44,39.14172101618662,0.38384915840338657,132.44865051424358,1022.5024307008873,134
48,36.61531389433864,0.35907356800191603,104.94520915667908,1020.7341412802027,134
52,37.722843015604255,0.36993471845897546,98.2836925774219,1021.5247228614968,134
56,40.53568746365188,0.39751929946542175,101.12814801041475,1021.6011158818204,134
60,41.268302563936096,0.40470379933862394,93.33093678333637,1022.160845862496,134
64,50.29388962887439,0.49321457272900104,106.88348487563007,1024.2329275636387,134
68,58.261914684722385,0.5713542056429328,123.94013756813592,1024.5375505042098,135
72,64.29037154266317,0.6304731720888578,138.83545098246145,1023.5177655571583,135
76,65.77192061445024,0.6450022052936984,148.42928907373187,1026.1821016582317,135
80,74.79802499530221,0.7335180518201805,174.52298622197907,1025.9359295109568,135
84,75.28376856551715,0.7382815690030288,182.82960333729932,1025.2291522450607,135
88,79.97738315107405,0.7843102044784803,197.05963728684594,1026.5293474028936,134
92,76.15964900632234,0.7468710219278509,188.14102280536383,1027.3185963855924,135
96,73.24221240967337,0.7182607423273234,183.47171651599547,1029.196257959603,135
100,75.44557182316397,0.739868316919631,202.94690627608372,1029.5205569570137,135
104,75.52574396504517,0.7406545370548102,185.69663586259878,1031.134983703528,136
108,78.16273312055978,0.7665145667567376,184.97234356362367,1029.605991958003,135
112,80.81788587422702,0.7925527205084884,181.51411612695063,1032.0345450409186,135
116,82.61122420247384,0.8101393618251901,220.98864003160168,1032.6455872697807,134
120,85.44301384541119,0.8379097317271016,224.957478852098,1034.2466731454606,136
124,83.52976661866077,0.8191471858108896,229.56570760140642,1033.7273828881612,134
128,83.33561061816208,0.8172431658685991,224.9007980206161,1034.945241245801,136
