participant,trial_index,condition,condition_label,level,level_symbol,sequence,quiz_name,guidance_type,note_count,analyzed,sync_method,sync_offset_s,key_accuracy,hits,misses,fa_main,fa_given_key,key_acc_given_finger,mean_rt_s,rt_correct_key_s,rt_complete_s,median_rt_s,sd_rt_s,min_rt_s,max_rt_s,p95_rt_s,rt_slope_s_per_event,first_half_fa,first_half_rt_s,second_half_fa,second_half_rt_s,timeout_rate,wrong_key,key_ok_wrong_finger,wrong_key_mean_semitones,wrong_key_below,wrong_key_above,unresolved_rate,ambiguous_rate,mean_target_prob,mean_top_margin,borderline_events,manual_corrections,suspected_carryover,excluded_carryover,qc_extra_presses,qc_double_hits,qc_inter_trial_presses,same_hand_n,same_hand_fa,same_hand_rt_s,hand_switch_n,hand_switch_fa,hand_switch_rt_s,fa_L1,te_L1_s,n_L1,fa_L2,te_L2_s,n_L2,fa_L3,te_L3_s,n_L3,fa_L4,te_L4_s,n_L4,fa_L5,te_L5_s,n_L5,fa_R1,te_R1_s,n_R1,fa_R2,te_R2_s,n_R2,fa_R3,te_R3_s,n_R3,fa_R4,te_R4_s,n_R4,fa_R5,te_R5_s,n_R5,fa_theta_0.30,fa_theta_0.35,fa_theta_0.40,fa_theta_0.45,fa_theta_0.50
P01,1,B,Visual finger-cue guidance,beta,β,1799551287-β-1,P01-T01-Bβ,visual,30,True,manual,0.042133998870849565,1.0,30,0,1.0,1.0,1.0,1.0533342599868774,1.0533342599868774,1.0533342599868774,0.955518364906311,0.4005200424122335,0.6564772129058838,2.7302868366241455,1.6863470077514648,0.00658089470147291,1.0,0.9885197639465332,1.0,1.1181487560272216,0.0,0,0,,0,0,0.0,0.0,0.7910087406867032,0.6393413277921404,0,0,0,0,0,0,0,16,1.0,1.0889953672885895,13,1.0,1.006118682714609,1.0,0.9421455065409342,3,1.0,1.717790961265564,2,1.0,1.2436205387115478,5,1.0,1.0646240711212158,2,1.0,0.955518364906311,2,1.0,0.8180134296417236,3,1.0,0.8926880359649658,3,1.0,1.0823436578114827,3,1.0,0.8077054818471273,3,1.0,1.0693424940109253,4,1.0,1.0,1.0,1.0,1.0
P01,2,C,Vibrotactile finger guidance,alpha,α,1799551287-α-6,P01-T02-Cα,haptic,30,True,manual,0.05907260576883949,1.0,30,0,1.0,1.0,1.0,0.8410554885864258,0.8410554885864258,0.8410554885864258,0.8228194713592529,0.19194065540098637,0.5824360847473145,1.4573419094085693,1.1358630657196045,-0.012564108660807203,1.0,0.9469081401824951,1.0,0.7352028369903565,0.0,0,0,,0,0,0.0,0.03333333333333333,0.8462701563452709,0.7165339919112846,0,0,0,0,0,0,0,19,1.0,0.8669179615221525,10,1.0,0.7784998416900635,1.0,0.8229749202728271,1,1.0,0.8871262073516846,2,1.0,0.762886905670166,5,1.0,0.9001800219217936,6,1.0,0.9992609818776449,3,1.0,0.735476016998291,2,1.0,0.8072772820790609,3,1.0,0.8229690392812093,3,1.0,0.8149522542953491,4,1.0,0.7996397018432617,1,1.0,1.0,1.0,1.0,0.9666666666666667
P01,3,C,Vibrotactile finger guidance,gamma,γ,1799551287-γ-6,P01-T03-Cγ,haptic,30,True,auto,0.05988847414652504,0.9666666666666667,29,0,0.9666666666666667,1.0,0.9666666666666667,0.6646631002426148,0.670383724673041,0.670383724673041,0.6354025602340698,0.1742471949474793,0.4427309036254883,1.3062829971313477,0.9648282527923584,-0.007176223188406632,1.0,0.7141726811726888,0.9333333333333333,0.6151535193125407,0.0,1,0,2,1,0,0.0,0.0,0.7906038863345493,0.6145829494943541,0,0,0,0,0,0,0,13,1.0,0.6557324116046612,16,0.9375,0.653158962726593,1.0,0.6755720774332682,3,1.0,0.6713055372238159,4,1.0,0.5436476469039917,2,1.0,0.6645723581314087,2,1.0,0.7413191000620524,3,0.0,0.4987649917602539,1,1.0,0.569193442662557,3,1.0,0.5457507371902466,4,1.0,0.6950752139091492,4,1.0,0.854477047920227,4,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
P01,4,B,Visual finger-cue guidance,beta,β,1799551287-β-5,P01-T04-Bβ,visual,30,True,manual,0.05859171549479164,1.0,30,0,1.0,1.0,1.0,0.9150330940882365,0.9150330940882365,0.9150330940882365,0.8380124568939209,0.2585969833730397,0.6396052837371826,1.8513939380645752,1.6037423610687256,-0.004168503488661582,1.0,0.9722517490386963,1.0,0.8578144391377767,0.0,0,0,,0,0,0.0,0.03333333333333333,0.7267153578766697,0.5288084450441505,0,0,0,0,0,0,0,16,1.0,0.8943628221750259,13,1.0,0.8874957928290734,1.0,0.8610922495524088,3,1.0,1.163610299428304,3,1.0,0.8690849781036377,5,1.0,1.0393574237823486,2,1.0,0.9773986339569092,3,1.0,0.6629952192306519,2,1.0,1.1500447988510132,2,1.0,0.7605002403259278,5,1.0,1.043879508972168,2,1.0,0.8347364266713461,3,1.0,1.0,1.0,1.0,0.9666666666666667
P01,5,C,Vibrotactile finger guidance,alpha,α,1799551287-α-3,P01-T05-Cα,haptic,30,True,auto,0.0576051712036133,1.0,30,0,1.0,1.0,1.0,0.5491530895233154,0.5491530895233154,0.5491530895233154,0.4842264652252197,0.1558672915811022,0.39802980422973633,0.9345319271087646,0.8900399208068848,-0.0014387924228282075,1.0,0.531422758102417,1.0,0.5668834209442138,0.0,0,0,,0,0,0.0,0.03333333333333333,0.8032794400512099,0.6588859359196367,1,2,0,0,0,0,0,20,1.0,0.5183014750480652,9,1.0,0.5748923619588217,1.0,0.637040913105011,4,1.0,0.46935324668884276,5,1.0,0.8220449686050415,2,1.0,0.8656889200210571,2,,,0,1.0,0.4420130252838135,4,1.0,0.4274786540440151,7,1.0,0.4899412790934245,3,1.0,0.6125048398971558,2,1.0,0.7489588260650635,1,1.0,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333
P01,6,A,Key-only practice,gamma,γ,1799551287-γ-5,P01-T06-Aγ,key-only,30,True,manual,0.03614457448323566,1.0,30,0,0.23333333333333334,0.23333333333333334,1.0,0.49530280431111656,0.49530280431111656,0.49731809752328054,0.4761890172958374,0.14913579790310627,0.3111848831176758,1.107464075088501,0.6731548309326172,-0.006975688552432119,0.2,0.5511930306752523,0.26666666666666666,0.4394125779469808,0.0,0,23,,0,0,0.0,0.0,0.19340171749979304,0.6669882327373259,0,0,0,0,0,0,0,12,0.25,0.4886559049288432,17,0.23529411764705882,0.46398524677052216,0.0,0.6144515872001648,4,0.5,0.5135694742202759,2,0.6666666666666666,0.45248667399088544,3,0.0,0.5941463708877563,2,0.0,0.4537782669067383,3,0.0,0.44074578285217286,5,0.6666666666666666,0.43809692064921063,3,0.0,0.43560945987701416,2,0.6666666666666666,0.5282812118530273,3,0.0,0.49765634536743164,3,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
P01,7,B,Visual finger-cue guidance,beta,β,1799551287-β-9,P01-T07-Bβ,visual,30,True,manual,0.04084264437357582,1.0,30,0,1.0,1.0,1.0,0.9290710051854452,0.9290710051854452,0.9290710051854452,0.8570424318313599,0.24185389490246226,0.6629271507263184,1.5212361812591553,1.492995023727417,-0.015169327781516003,1.0,1.0289788405100504,1.0,0.8291631698608398,0.0,0,0,,0,0,0.0,0.0,0.8504062019229877,0.7402040039271341,0,0,0,0,0,0,0,15,1.0,0.9502898852030436,14,1.0,0.8660562038421631,1.0,0.7681404113769531,5,1.0,0.8297542572021485,5,1.0,1.2217390537261963,2,1.0,1.0694314241409302,2,,,0,1.0,0.6629271507263184,1,1.0,0.9155254364013672,3,1.0,1.1381256580352783,2,1.0,1.0369325081507366,6,1.0,0.8482415080070496,4,1.0,1.0,1.0,1.0,1.0
P01,8,B,Visual finger-cue guidance,alpha,α,1799551287-α-2,P01-T08-Bα,visual,30,True,manual,0.03553303082784015,1.0,30,0,1.0,1.0,1.0,0.8947184960047404,0.8947184960047404,0.8947184960047404,0.8418376445770264,0.26080594330897244,0.612342119216919,1.946732997894287,1.3644371032714844,-0.008645104619366704,1.0,0.995281966527303,1.0,0.7941550254821778,0.0,0,0,,0,0,0.0,0.0,0.763873864187453,0.5971374220587614,0,0,0,0,0,0,0,20,1.0,0.92044438123703,9,1.0,0.818310022354126,1.0,0.7673726677894592,4,1.0,0.9626822471618652,4,1.0,0.8609784841537476,2,1.0,0.8466629981994629,2,1.0,1.0678770542144775,1,1.0,0.8321110407511393,3,1.0,0.9405045111974081,6,1.0,0.9139960408210754,4,1.0,0.8871052265167236,3,1.0,0.9815151691436768,1,1.0,1.0,1.0,1.0,1.0
P01,9,C,Vibrotactile finger guidance,alpha,α,1799551287-α-1,P01-T09-Cα,haptic,30,True,auto,0.0561896483103434,1.0,30,0,0.9333333333333333,0.9333333333333333,1.0,0.6181288401285807,0.6181288401285807,0.6235838276999337,0.5728640556335449,0.19443397478924992,0.3396310806274414,1.1139609813690186,1.0653221607208252,0.005403327411486124,1.0,0.5536779880523681,0.8666666666666667,0.6825796922047933,0.0,0,2,,0,0,0.0,0.03333333333333333,0.7585461504166178,0.6715022352591793,1,1,0,0,0,0,0,21,0.9047619047619048,0.5775198595864433,8,1.0,0.662748396396637,,,0,0.6666666666666666,0.5604650179545084,3,1.0,0.4445630073547363,5,1.0,0.6350943644841512,6,1.0,0.879517396291097,3,1.0,0.6525046825408936,2,1.0,0.402529239654541,3,0.6666666666666666,0.506857713063558,3,1.0,0.752712607383728,2,1.0,0.8839804331461588,3,0.9333333333333333,0.9333333333333333,0.9,0.9,0.8666666666666667
P01,10,A,Key-only practice,gamma,γ,1799551287-γ-1,P01-T10-Aγ,key-only,30,True,auto,0.05744471549987795,1.0,30,0,0.2,0.2,1.0,0.5221047480901082,0.5221047480901082,0.6351046164830526,0.4563405513763428,0.17234114491375893,0.35234522819519043,0.9886620044708252,0.9649910926818848,-0.005138871348872201,0.3333333333333333,0.5523382186889648,0.06666666666666667,0.49187127749125165,0.0,0,24,,0,0,0.0,0.06666666666666667,0.19106608695182478,0.6020635403587667,1,0,0,0,0,0,0,12,0.08333333333333333,0.5049262046813965,17,0.23529411764705882,0.5178711835075828,0.0,0.39048290252685547,1,0.0,0.43974857330322265,5,0.3333333333333333,0.6292687257130941,3,0.2,0.6503734588623047,5,0.0,0.45857203006744385,2,0.0,0.571220318476359,3,1.0,0.41094160079956055,3,0.3333333333333333,0.596678098042806,3,0.0,0.4306788444519043,1,0.0,0.462475061416626,4,0.23333333333333334,0.2,0.2,0.16666666666666666,0.16666666666666666
