participant,condition,trial_index,event_index,distance,metric
P02,A,2,5,1,key-index
P02,A,2,21,1,key-index
P02,A,4,10,1,key-index
P02,C,5,20,1,key-index
P02,C,6,3,1,key-index
P02,B,8,12,1,key-index
P02,B,8,19,1,key-index
P02,B,8,28,3,key-index
P02,C,9,23,1,key-index
P02,B,10,2,1,key-index
P02,A,11,11,1,key-index
P02,B,14,13,1,key-index
P02,A,17,8,1,key-index
P02,A,17,19,1,key-index
P02,A,20,27,1,key-index
P02,B,21,2,1,key-index
P02,B,21,5,1,key-index
P02,B,21,8,1,key-index
P02,B,21,17,1,key-index
