condition,category,count
A,Correct key + correct finger,49
A,Correct key + wrong finger,214
A,Wrong key + correct finger,2
A,Wrong key + wrong finger,3
A,Unresolved finger,0
A,No response (timeout),2
B,Correct key + correct finger,256
B,Correct key + wrong finger,12
B,Wrong key + correct finger,2
B,Wrong key + wrong finger,0
B,Unresolved finger,0
B,No response (timeout),0
C,Correct key + correct finger,259
C,Correct key + wrong finger,9
C,Wrong key + correct finger,2
C,Wrong key + wrong finger,0
C,Unresolved finger,0
C,No response (timeout),0
