condition,target_finger,actual_finger,count
A,L1,L2,5
A,L1,L3,4
A,L1,R2,9
A,L1,R3,1
A,L2,L2,8
A,L2,L3,6
A,L2,L4,4
A,L2,L5,1
A,L2,R2,20
A,L2,R3,4
A,L3,L2,5
A,L3,L3,4
A,L3,L4,1
A,L3,R2,16
A,L3,R3,2
A,L4,L2,9
A,L4,L3,3
A,L4,L4,2
A,L4,R2,10
A,L4,R3,2
A,L5,L2,5
A,L5,L3,2
A,L5,R2,10
A,R1,R2,9
A,R1,R3,13
A,R1,R4,7
A,R2,L2,1
A,R2,R2,14
A,R2,R3,11
A,R2,R4,8
A,R2,R5,1
A,R3,L2,1
A,R3,R2,10
A,R3,R3,7
A,R3,R4,6
A,R4,L2,4
A,R4,R2,9
A,R4,R3,10
A,R4,R4,6
A,R4,R5,1
A,R5,L2,1
A,R5,R2,5
A,R5,R3,4
A,R5,R4,8
A,R5,R5,1
B,L1,L1,25
B,L2,L2,28
B,L3,L3,26
B,L3,L4,1
B,L3,R3,1
B,L4,L2,1
B,L4,L4,22
B,L5,L4,1
B,L5,L5,27
B,R1,R1,17
B,R2,R2,26
B,R3,R3,34
B,R4,R2,1
B,R4,R4,31
B,R5,R5,28
C,L1,L1,18
C,L2,L2,31
C,L3,L2,1
C,L3,L3,35
C,L4,L3,1
C,L4,L4,32
C,L5,L4,3
C,L5,L5,22
C,R1,R1,18
C,R2,R2,31
C,R3,R3,34
C,R4,R4,20
C,R5,R5,24
