participant,condition,level,repetition,fa_main,rt_correct_key_s
P05,A,alpha,1,0.13333333333333333,0.49895139398245975
P05,A,alpha,2,0.2,0.5546317418416341
P05,A,alpha,3,0.06666666666666667,0.5614293575286865
P05,A,beta,1,0.13333333333333333,0.5652553160985311
P05,A,beta,2,0.3333333333333333,0.5451897621154785
P05,A,beta,3,0.2,0.45273982683817543
P05,A,gamma,1,0.03333333333333333,0.7065913430575667
P05,A,gamma,2,0.13333333333333333,0.5923746506373088
P05,A,gamma,3,0.2,0.5417346000671387
P05,B,alpha,1,1.0,1.0825294891993205
P05,B,alpha,2,0.7333333333333333,0.8267001738915076
P05,B,alpha,3,0.8,0.8601152201493582
P05,B,beta,1,1.0,1.2205926815668742
P05,B,beta,2,1.0,0.9908519585927328
P05,B,beta,3,0.9666666666666667,1.0746179103851319
P05,B,gamma,1,1.0,1.4836909770965576
P05,B,gamma,2,0.9666666666666667,1.2525228341420491
P05,B,gamma,3,0.9666666666666667,1.1876731077829996
P05,C,alpha,1,1.0,0.9278376658757528
P05,C,alpha,2,1.0,0.5754099766413371
P05,C,alpha,3,0.9333333333333333,0.7291286706924438
P05,C,beta,1,0.9,0.9898947954177857
P05,C,beta,2,1.0,1.1552634874979655
P05,C,beta,3,0.9666666666666667,0.7888158162434896
P05,C,gamma,1,1.0,0.7329068819681803
P05,C,gamma,2,1.0,0.8081661303838094
P05,C,gamma,3,1.0,0.7858893235524496
