participant,level,level_symbol,difficulty_occurrence,session_position,condition,rt_correct_key_s_raw,rt_correct_key_s_adjusted,key_accuracy_raw,key_accuracy_adjusted
P07,alpha,α,1,1,C,0.9726436138153076,0.8451693879233467,1.0,1.0
P07,alpha,α,2,2,B,0.9569301048914591,0.7789634095297919,1.0,1.0
P07,alpha,α,3,6,B,0.9762665828069051,0.7982998874452379,1.0,1.0
P07,alpha,α,4,10,B,0.7897416273752849,0.6117749320136177,1.0,1.0
P07,alpha,α,5,11,C,0.8534084876378377,0.7259342617458768,1.0,1.0
P07,alpha,α,6,15,A,0.4415764570236206,0.7470173782772488,1.0,1.0
P07,alpha,α,7,16,A,0.43343615531921387,0.7388770765728421,1.0,1.0
P07,alpha,α,8,20,A,0.3977028528849284,0.7031437741385567,1.0,1.0
P07,alpha,α,9,22,C,0.7454088052113851,0.6179345793194242,1.0,1.0
P07,beta,β,1,3,B,0.8139209906260173,0.6820650611648462,1.0,0.9962962962962963
P07,beta,β,2,4,A,0.4573590426609434,0.6854808569258961,0.9666666666666667,0.9740740740740741
P07,beta,β,3,7,C,0.8765154600143432,0.7802495752105615,1.0,0.9962962962962963
P07,beta,β,4,9,A,0.4903996467590332,0.718521461023986,1.0,1.0074074074074075
P07,beta,β,5,14,C,0.7102896213531494,0.6140237365493677,1.0,0.9962962962962963
P07,beta,β,6,17,B,0.7982904036839803,0.6664344742228092,1.0,0.9962962962962963
P07,beta,β,7,19,C,0.7476381619771322,0.6513722771733504,1.0,0.9962962962962963
P07,beta,β,8,21,A,0.4135214567184448,0.6416432709833976,1.0,1.0074074074074075
P07,beta,β,9,24,B,0.8290019830067953,0.6971460535456242,1.0,0.9962962962962963
P07,gamma,γ,1,5,B,0.9817495028177897,0.8029178129149883,1.0,0.9925925925925926
P07,gamma,γ,2,8,B,0.9175469636917114,0.73871527378891,1.0,0.9925925925925926
P07,gamma,γ,3,12,C,0.8381993532180786,0.7377875436159234,1.0,1.0037037037037035
P07,gamma,γ,4,13,B,0.894610587755839,0.7157788978530376,1.0,0.9925925925925926
P07,gamma,γ,5,18,A,0.4870708465576172,0.7663143460625736,1.0,1.0037037037037035
P07,gamma,γ,6,23,A,0.4957862064756196,0.7750297059805761,0.9666666666666667,0.9703703703703703
P07,gamma,γ,7,25,C,0.7678192648394354,0.6674074552372802,0.9666666666666667,0.9703703703703703
P07,gamma,γ,8,26,A,0.4368244330088297,0.7160679325137862,1.0,1.0037037037037035
P07,gamma,γ,9,27,C,0.9526287953058878,0.8522169857037326,1.0,1.0037037037037035
