participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P13,A,1,41,20,21,41,0.0975609756097561,0.43287357469884363,4,0.43174952268600464
P13,A,2,74,42,32,74,0.43243243243243246,0.45096410931767644,32,0.4382766857743263
P13,A,3,54,32,22,54,0.3333333333333333,0.5139223557931406,18,0.5538244512346056
P13,A,4,55,27,28,55,0.09090909090909091,0.47861909432844685,5,0.4362039566040039
P13,A,5,46,16,30,46,0.0,0.4867226662843124,0,
P13,B,1,34,18,16,34,1.0,0.8773607857087079,34,0.8773607857087079
P13,B,2,53,31,22,53,0.9433962264150944,0.8577437895648884,50,0.8576403141021729
P13,B,3,68,34,34,68,0.9411764705882353,0.7981631615582634,64,0.8007982261478901
P13,B,4,61,30,31,61,0.9180327868852459,0.9228575190559762,56,0.9318470827170781
P13,B,5,54,28,26,54,0.9074074074074074,0.9716723671665898,49,0.9908230353374871
P13,C,1,51,24,27,51,0.9803921568627451,0.7320672857995126,50,0.7265021514892578
P13,C,2,67,29,38,67,1.0,0.5715137595561013,67,0.5715137595561013
P13,C,3,62,26,36,62,1.0,0.5774376315455283,62,0.5774376315455283
P13,C,4,48,25,23,48,1.0,0.6499337802330653,48,0.6499337802330653
P13,C,5,42,27,15,42,1.0,0.8381900900886172,42,0.8381900900886172
