participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P13,B,1,alpha,1799551287-α-8,956.6629837299215,93.33333333333333,True
P13,C,2,gamma,1799551287-γ-7,871.0086981455485,96.66666666666667,True
P13,B,3,alpha,1799551287-α-6,901.0082165400187,100.0,True
P13,C,4,beta,1799551287-β-2,638.5913372039795,100.0,True
P13,C,5,gamma,1799551287-γ-5,704.25918896993,100.0,True
P13,C,6,alpha,1799551287-α-3,572.5483735402424,100.0,True
P13,C,7,beta,1799551287-β-7,603.9817174275715,100.0,True
P13,B,8,gamma,1799551287-γ-4,925.3555218378702,96.66666666666667,True
P13,A,9,beta,1799551287-β-1,565.2276436487834,26.666666666666668,True
P13,A,10,alpha,1799551287-α-1,457.0936918258667,16.666666666666664,True
P13,A,11,beta,1799551287-β-6,400.56648747674353,13.333333333333334,True
P13,A,12,gamma,1799551287-γ-1,549.3597984313965,30.0,True
P13,A,13,gamma,1799551287-γ-3,516.0327116648357,23.333333333333332,True
P13,C,14,alpha,1799551287-α-4,634.3267758687338,100.0,True
P13,C,15,alpha,1799551287-α-2,608.6671272913616,100.0,True
P13,B,16,gamma,1799551287-γ-2,917.8832810500572,96.66666666666667,True
P13,B,17,gamma,1799551287-γ-6,888.0976279576619,93.33333333333333,True
P13,B,18,beta,1799551287-β-5,878.1359910964966,100.0,True
P13,C,19,gamma,1799551287-γ-9,704.8914511998494,100.0,True
P13,A,20,beta,1799551287-β-9,448.63942464192706,13.333333333333334,True
P13,B,21,alpha,1799551287-α-5,797.5015481313069,96.66666666666667,True
P13,A,22,alpha,1799551287-α-7,403.4409125645955,26.666666666666668,True
P13,C,23,beta,1799551287-β-8,589.3517255783081,100.0,True
P13,B,24,beta,1799551287-β-3,836.5703026453654,83.33333333333334,True
P13,A,25,alpha,1799551287-α-9,407.1972131729126,26.666666666666668,True
P13,B,26,beta,1799551287-β-4,843.0965344111124,83.33333333333334,True
P13,A,27,gamma,1799551287-γ-8,506.154990196228,20.0,True
