condition,target_finger,n,n_judged,fa,rt_s
A,L5,20,20,0.0,0.5798771381378174
A,L4,16,16,0.0625,0.5720769315958023
A,L3,31,31,0.12903225806451613,0.5936287603070659
A,L2,37,37,0.16216216216216217,0.5407607942014128
A,L1,27,27,0.037037037037037035,0.5796277434737594
A,R1,22,22,0.09090909090909091,0.6010568358681418
A,R2,32,32,0.59375,0.5280464813113213
A,R3,28,28,0.4642857142857143,0.5856703349522182
A,R4,33,33,0.0,0.5722360105225535
A,R5,24,24,0.0,0.5499307811260223
B,L5,19,19,1.0,1.0850556524176347
B,L4,29,29,0.9655172413793103,1.0178897216402252
B,L3,31,31,0.8387096774193549,0.9824703431898548
B,L2,35,35,0.942857142857143,1.1131031104496547
B,L1,21,21,1.0,0.950656323205857
B,R1,20,20,0.95,0.9725950837135315
B,R2,33,33,1.0,0.9828117327256636
B,R3,32,32,0.96875,0.9644197672605515
B,R4,25,25,0.92,1.0380041790008545
B,R5,25,25,0.96,1.0525822925567627
C,L5,32,32,0.96875,1.0068463534116745
C,L4,37,37,0.9459459459459459,0.828191480121097
C,L3,30,30,1.0,0.7828251759211222
C,L2,30,30,0.9333333333333332,0.9728740215301513
C,L1,14,14,1.0,0.872526901108878
C,R1,22,22,1.0,0.7812259305607189
C,R2,27,27,0.9629629629629629,0.9400109714931912
C,R3,32,32,1.0,0.7544847205281258
C,R4,24,24,0.9583333333333333,0.8710955778757731
C,R5,22,22,0.9545454545454546,0.8540372848510742
