level,level_symbol,difficulty_occurrence,metric,n,mean,sd,sem,ci95_lo,ci95_hi
alpha,α,1,key_accuracy_adjusted,1,1.0,,,,
alpha,α,2,key_accuracy_adjusted,1,1.0,,,,
alpha,α,3,key_accuracy_adjusted,1,1.0,,,,
alpha,α,4,key_accuracy_adjusted,1,1.0,,,,
alpha,α,5,key_accuracy_adjusted,1,1.0,,,,
alpha,α,6,key_accuracy_adjusted,1,1.0,,,,
alpha,α,7,key_accuracy_adjusted,1,1.0,,,,
alpha,α,8,key_accuracy_adjusted,1,1.0,,,,
alpha,α,9,key_accuracy_adjusted,1,1.0,,,,
beta,β,1,key_accuracy_adjusted,1,1.0,,,,
beta,β,2,key_accuracy_adjusted,1,1.0,,,,
beta,β,3,key_accuracy_adjusted,1,1.0,,,,
beta,β,4,key_accuracy_adjusted,1,1.0,,,,
beta,β,5,key_accuracy_adjusted,1,1.0,,,,
beta,β,6,key_accuracy_adjusted,1,1.0,,,,
beta,β,7,key_accuracy_adjusted,1,1.0,,,,
beta,β,8,key_accuracy_adjusted,1,1.0,,,,
beta,β,9,key_accuracy_adjusted,1,1.0,,,,
gamma,γ,1,key_accuracy_adjusted,1,1.0037037037037035,,,,
gamma,γ,2,key_accuracy_adjusted,1,0.9925925925925926,,,,
gamma,γ,3,key_accuracy_adjusted,1,0.9703703703703703,,,,
gamma,γ,4,key_accuracy_adjusted,1,1.0037037037037035,,,,
gamma,γ,5,key_accuracy_adjusted,1,1.0037037037037035,,,,
gamma,γ,6,key_accuracy_adjusted,1,0.9925925925925926,,,,
gamma,γ,7,key_accuracy_adjusted,1,1.0037037037037035,,,,
gamma,γ,8,key_accuracy_adjusted,1,0.9703703703703703,,,,
gamma,γ,9,key_accuracy_adjusted,1,0.9925925925925926,,,,
alpha,α,1,key_accuracy_raw,1,1.0,,,,
alpha,α,2,key_accuracy_raw,1,1.0,,,,
alpha,α,3,key_accuracy_raw,1,1.0,,,,
alpha,α,4,key_accuracy_raw,1,1.0,,,,
alpha,α,5,key_accuracy_raw,1,1.0,,,,
alpha,α,6,key_accuracy_raw,1,1.0,,,,
alpha,α,7,key_accuracy_raw,1,1.0,,,,
alpha,α,8,key_accuracy_raw,1,1.0,,,,
alpha,α,9,key_accuracy_raw,1,1.0,,,,
beta,β,1,key_accuracy_raw,1,1.0,,,,
beta,β,2,key_accuracy_raw,1,1.0,,,,
beta,β,3,key_accuracy_raw,1,1.0,,,,
beta,β,4,key_accuracy_raw,1,1.0,,,,
beta,β,5,key_accuracy_raw,1,1.0,,,,
beta,β,6,key_accuracy_raw,1,1.0,,,,
beta,β,7,key_accuracy_raw,1,1.0,,,,
beta,β,8,key_accuracy_raw,1,1.0,,,,
beta,β,9,key_accuracy_raw,1,1.0,,,,
gamma,γ,1,key_accuracy_raw,1,1.0,,,,
gamma,γ,2,key_accuracy_raw,1,1.0,,,,
gamma,γ,3,key_accuracy_raw,1,0.9666666666666667,,,,
gamma,γ,4,key_accuracy_raw,1,1.0,,,,
gamma,γ,5,key_accuracy_raw,1,1.0,,,,
gamma,γ,6,key_accuracy_raw,1,1.0,,,,
gamma,γ,7,key_accuracy_raw,1,1.0,,,,
gamma,γ,8,key_accuracy_raw,1,0.9666666666666667,,,,
gamma,γ,9,key_accuracy_raw,1,1.0,,,,
alpha,α,1,rt_correct_key_s_adjusted,1,0.9347689116442643,,,,
alpha,α,2,rt_correct_key_s_adjusted,1,1.0255466028496072,,,,
alpha,α,3,rt_correct_key_s_adjusted,1,0.6799644355420713,,,,
alpha,α,4,rt_correct_key_s_adjusted,1,0.6789308512652362,,,,
alpha,α,5,rt_correct_key_s_adjusted,1,0.8037683875472458,,,,
alpha,α,6,rt_correct_key_s_adjusted,1,0.7658548240308408,,,,
alpha,α,7,rt_correct_key_s_adjusted,1,0.8204014133524012,,,,
alpha,α,8,rt_correct_key_s_adjusted,1,0.6838181539818092,,,,
alpha,α,9,rt_correct_key_s_adjusted,1,0.7602720887572677,,,,
beta,β,1,rt_correct_key_s_adjusted,1,0.8322073053430628,,,,
beta,β,2,rt_correct_key_s_adjusted,1,0.7715256682148686,,,,
beta,β,3,rt_correct_key_s_adjusted,1,0.8074624370645593,,,,
beta,β,4,rt_correct_key_s_adjusted,1,0.7512115973013418,,,,
beta,β,5,rt_correct_key_s_adjusted,1,0.7732689212869714,,,,
beta,β,6,rt_correct_key_s_adjusted,1,0.8204670605836091,,,,
beta,β,7,rt_correct_key_s_adjusted,1,0.7561299633096765,,,,
beta,β,8,rt_correct_key_s_adjusted,1,0.7651826637762564,,,,
beta,β,9,rt_correct_key_s_adjusted,1,0.733128348103276,,,,
gamma,γ,1,rt_correct_key_s_adjusted,1,0.8500369061303169,,,,
gamma,γ,2,rt_correct_key_s_adjusted,1,0.9570100251133262,,,,
gamma,γ,3,rt_correct_key_s_adjusted,1,0.9276698604245142,,,,
gamma,γ,4,rt_correct_key_s_adjusted,1,0.8709635881019582,,,,
gamma,γ,5,rt_correct_key_s_adjusted,1,0.8243608541720062,,,,
gamma,γ,6,rt_correct_key_s_adjusted,1,0.9098804179127037,,,,
gamma,γ,7,rt_correct_key_s_adjusted,1,0.8717383850884468,,,,
gamma,γ,8,rt_correct_key_s_adjusted,1,0.9012190114797151,,,,
gamma,γ,9,rt_correct_key_s_adjusted,1,0.756103859672449,,,,
alpha,α,1,rt_correct_key_s_raw,1,1.0559130589167276,,,,
alpha,α,2,rt_correct_key_s_raw,1,1.1598053455352784,,,,
alpha,α,3,rt_correct_key_s_raw,1,0.8142231782277425,,,,
alpha,α,4,rt_correct_key_s_raw,1,0.8131895939509074,,,,
alpha,α,5,rt_correct_key_s_raw,1,0.5483654975891114,,,,
alpha,α,6,rt_correct_key_s_raw,1,0.8869989713033041,,,,
alpha,α,7,rt_correct_key_s_raw,1,0.5649985233942668,,,,
alpha,α,8,rt_correct_key_s_raw,1,0.8049623012542725,,,,
alpha,α,9,rt_correct_key_s_raw,1,0.5048691987991333,,,,
beta,β,1,rt_correct_key_s_raw,1,1.0947590986887614,,,,
beta,β,2,rt_correct_key_s_raw,1,1.0340774615605672,,,,
beta,β,3,rt_correct_key_s_raw,1,0.5397955814997355,,,,
beta,β,4,rt_correct_key_s_raw,1,0.7563266595204671,,,,
beta,β,5,rt_correct_key_s_raw,1,0.5056020657221476,,,,
beta,β,6,rt_correct_key_s_raw,1,0.8255821228027344,,,,
beta,β,7,rt_correct_key_s_raw,1,0.4884631077448527,,,,
beta,β,8,rt_correct_key_s_raw,1,0.7702977259953817,,,,
beta,β,9,rt_correct_key_s_raw,1,0.9956801414489747,,,,
gamma,γ,1,rt_correct_key_s_raw,1,0.6275269905726115,,,,
gamma,γ,2,rt_correct_key_s_raw,1,0.9712527434031168,,,,
gamma,γ,3,rt_correct_key_s_raw,1,1.135937057692429,,,,
gamma,γ,4,rt_correct_key_s_raw,1,1.079230785369873,,,,
gamma,γ,5,rt_correct_key_s_raw,1,1.032628051439921,,,,
gamma,γ,6,rt_correct_key_s_raw,1,0.9241231362024943,,,,
gamma,γ,7,rt_correct_key_s_raw,1,0.6492284695307414,,,,
gamma,γ,8,rt_correct_key_s_raw,1,0.6787090959220097,,,,
gamma,γ,9,rt_correct_key_s_raw,1,0.7703465779622396,,,,
