participant,condition,theta,fa,n_trials,n_events,source
P16,B,0.3,0.9407407407407408,9,270,automatic_target_probability
P16,B,0.35,0.9370370370370371,9,270,automatic_target_probability
P16,B,0.4,0.925925925925926,9,270,automatic_target_probability
P16,B,0.45,0.8851851851851852,9,270,automatic_target_probability
P16,B,0.5,0.8666666666666667,9,270,automatic_target_probability
P16,C,0.3,0.9814814814814815,9,270,automatic_target_probability
P16,C,0.35,0.974074074074074,9,270,automatic_target_probability
P16,C,0.4,0.9666666666666666,9,270,automatic_target_probability
P16,C,0.45,0.9518518518518518,9,270,automatic_target_probability
P16,C,0.5,0.9333333333333333,9,270,automatic_target_probability
