participant,condition,category,count,n_events,proportion
P17,A,Correct key + correct finger,59,270,0.21851851851851853
P17,A,Correct key + wrong finger,208,270,0.7703703703703704
P17,A,Wrong key + correct finger,0,270,0.0
P17,A,Wrong key + wrong finger,3,270,0.011111111111111112
P17,A,Unresolved finger,0,270,0.0
P17,A,No response (timeout),0,270,0.0
P17,B,Correct key + correct finger,265,270,0.9814814814814815
P17,B,Correct key + wrong finger,5,270,0.018518518518518517
P17,B,Wrong key + correct finger,0,270,0.0
P17,B,Wrong key + wrong finger,0,270,0.0
P17,B,Unresolved finger,0,270,0.0
P17,B,No response (timeout),0,270,0.0
P17,C,Correct key + correct finger,267,270,0.9888888888888889
P17,C,Correct key + wrong finger,2,270,0.007407407407407408
P17,C,Wrong key + correct finger,1,270,0.003703703703703704
P17,C,Wrong key + wrong finger,0,270,0.0
P17,C,Unresolved finger,0,270,0.0
P17,C,No response (timeout),0,270,0.0
