participant,trial_index,condition,level,sequence,quiz_name,event_index,target_note,target_note_name,target_key_id,actual_key_id,target_finger,target_hand,timed_out,actual_note,key_correct,actual_finger,finger_correct,target_finger_probability,manually_corrected,rt_s,validity,suspected_carryover,p_L1,p_L2,p_L3,p_L4,p_L5,p_R1,p_R2,p_R3,p_R4,p_R5
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,0,62,D4,8,8,R1,R,False,62,True,R2,False,0.04152979150996468,False,0.8860421180725098,valid,False,0.0004965216866214237,0.0015964115299262301,0.0005396862044322693,8.582799294777785e-05,4.399987524079554e-06,0.04152979150996468,0.7613981935700789,0.1665268356377196,0.023456707108907588,0.004365624771877578
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,1,64,E4,9,9,R2,R,False,64,True,R3,False,0.23038029797938198,False,0.6416778564453125,valid,False,0.00013492583283307273,0.0002541450021104839,7.508378851895178e-05,1.2152869601438469e-05,5.819595037573819e-07,0.0076197978328982445,0.23038029797938198,0.6016834117789188,0.1369658209962388,0.022873781959994413
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,2,60,C4,7,7,L3,L,False,60,True,L3,True,0.6294382827345099,False,1.3519368171691895,valid,False,0.0052104420007413775,0.2546095326345328,0.6294382827345099,0.085185208273842,0.0035513864186370826,0.01666664390915672,0.005180117849874568,0.00013065798217089746,1.8404277049322684e-05,9.323919485390908e-06
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,3,59,B3,6,6,L5,L,False,59,True,L5,True,0.7609931396803463,False,1.5503878593444824,valid,False,0.0016307774015215982,0.0020856176311819423,0.022524967101178992,0.211584478220124,0.7609931396803463,0.0008344313910124036,0.00033777487454446267,6.701823288104466e-06,1.3000199648525902e-06,8.118568371834502e-07
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,4,62,D4,8,8,R5,R,False,62,True,R5,True,0.8140366117254585,False,1.1131768226623535,valid,False,0.00025846227849391515,2.0614598200150394e-05,1.9121294255283277e-06,1.1647401320490686e-07,7.139008471419573e-08,0.0057050983544199504,0.001862659569574063,0.013763296052792771,0.1643511574275373,0.8140366117254585
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,5,60,C4,7,7,L3,L,False,60,True,L3,True,0.722422591038501,False,1.2454659938812256,valid,False,0.006656587506307896,0.14404974973138518,0.722422591038501,0.11473329647022731,0.007266726961878088,0.0026335763063121543,0.002101413626662764,0.00011796235554913098,1.4159213639609678e-05,3.936789536897123e-06
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,6,59,B3,6,6,L1,L,False,59,True,L1,True,0.9479209722966077,False,1.0571560859680176,valid,False,0.9479209722966077,0.04912023834972765,0.0012895213928336277,0.00011239578257781911,8.84136540420912e-05,0.0009078805401097689,0.00053487143799522,2.180253865776323e-05,2.8349559955459963e-06,1.0690514527930496e-06
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,7,60,C4,7,7,L2,L,False,60,True,L2,True,0.8807488220381096,False,0.8638041019439697,valid,False,0.011694353687165112,0.8807488220381096,0.04750203155796031,0.0017173329548903422,0.0002335470506289877,0.010123929752455926,0.04563945025916864,0.002015308891676305,0.0002517729674828107,7.345084046216004e-05
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,8,64,E4,9,9,R1,R,False,64,True,R1,True,0.860367103846137,False,0.9043838977813721,valid,False,0.0013728135058246609,0.008211025491353042,0.00035252249720929703,1.6620870016547805e-05,2.6860724974021684e-06,0.860367103846137,0.12613580741176966,0.002604808508014619,0.0005697025839370603,0.00036690921324064244
P20,1,C,beta,1799551287-β-7,P20-T01-Cβ,9,59,B3,6,6,L2,L,False,59,True,L2,True,0.9172540641407173,False,0.6266601085662842,valid,False,0.009129236894666362,0.9172540641407173,0.06545641452283635,0.0028903699202341157,0.0004477022082176698,0.0040838215073478856,0.000712756446997876,2.1097188243410688e-05,2.9717166218408622e-06,1.5654541170660815e-06
