participant,finger,hand,finger_id,finger_name,n,share_pct,reference_n,reference_share_pct
P01,L1,L,1,thumb,0,0.0,18,6.666666666666667
P01,L2,L,2,index,10,3.7037037037037037,47,17.40740740740741
P01,L3,L,3,middle,39,14.444444444444445,30,11.11111111111111
P01,L4,L,4,ring,7,2.5925925925925926,27,10.0
P01,L5,L,5,little,0,0.0,17,6.296296296296297
P01,R1,R,1,thumb,0,0.0,28,10.37037037037037
P01,R2,R,2,index,168,62.22222222222222,30,11.11111111111111
P01,R3,R,3,middle,31,11.481481481481481,24,8.88888888888889
P01,R4,R,4,ring,15,5.555555555555555,28,10.37037037037037
P01,R5,R,5,little,0,0.0,21,7.777777777777778
P02,L1,L,1,thumb,1,0.37174721189591076,23,8.550185873605948
P02,L2,L,2,index,47,17.472118959107807,23,8.550185873605948
P02,L3,L,3,middle,5,1.858736059479554,30,11.152416356877323
P02,L4,L,4,ring,3,1.1152416356877324,35,13.011152416356877
P02,L5,L,5,little,1,0.37174721189591076,25,9.293680297397769
P02,R1,R,1,thumb,8,2.973977695167286,24,8.921933085501859
P02,R2,R,2,index,194,72.11895910780669,28,10.408921933085502
P02,R3,R,3,middle,7,2.6022304832713754,29,10.780669144981413
P02,R4,R,4,ring,1,0.37174721189591076,27,10.037174721189592
P02,R5,R,5,little,2,0.7434944237918215,25,9.293680297397769
P03,L1,L,1,thumb,0,0.0,23,8.582089552238806
P03,L2,L,2,index,59,22.01492537313433,35,13.059701492537313
P03,L3,L,3,middle,32,11.940298507462687,25,9.328358208955224
P03,L4,L,4,ring,16,5.970149253731344,29,10.82089552238806
P03,L5,L,5,little,5,1.8656716417910448,21,7.835820895522388
P03,R1,R,1,thumb,0,0.0,26,9.701492537313433
P03,R2,R,2,index,115,42.91044776119403,31,11.567164179104477
P03,R3,R,3,middle,26,9.701492537313433,36,13.432835820895523
P03,R4,R,4,ring,12,4.477611940298507,22,8.208955223880597
P03,R5,R,5,little,3,1.1194029850746268,20,7.462686567164179
P04,L1,L,1,thumb,0,0.0,19,7.037037037037037
P04,L2,L,2,index,39,14.444444444444445,43,15.925925925925926
P04,L3,L,3,middle,19,7.037037037037037,28,10.37037037037037
P04,L4,L,4,ring,7,2.5925925925925926,26,9.62962962962963
P04,L5,L,5,little,1,0.37037037037037035,17,6.296296296296297
P04,R1,R,1,thumb,0,0.0,29,10.74074074074074
P04,R2,R,2,index,112,41.48148148148148,35,12.962962962962964
P04,R3,R,3,middle,54,20.0,24,8.88888888888889
P04,R4,R,4,ring,35,12.962962962962964,30,11.11111111111111
P04,R5,R,5,little,3,1.1111111111111112,19,7.037037037037037
P05,L1,L,1,thumb,0,0.0,18,6.666666666666667
P05,L2,L,2,index,38,14.074074074074074,40,14.814814814814815
P05,L3,L,3,middle,24,8.88888888888889,30,11.11111111111111
P05,L4,L,4,ring,5,1.8518518518518519,23,8.518518518518519
P05,L5,L,5,little,2,0.7407407407407407,20,7.407407407407407
P05,R1,R,1,thumb,1,0.37037037037037035,19,7.037037037037037
P05,R2,R,2,index,131,48.51851851851852,33,12.222222222222221
P05,R3,R,3,middle,62,22.962962962962962,28,10.37037037037037
P05,R4,R,4,ring,7,2.5925925925925926,36,13.333333333333334
P05,R5,R,5,little,0,0.0,23,8.518518518518519
P06,L1,L,1,thumb,0,0.0,24,8.88888888888889
P06,L2,L,2,index,17,6.296296296296297,37,13.703703703703704
P06,L3,L,3,middle,47,17.40740740740741,29,10.74074074074074
P06,L4,L,4,ring,6,2.2222222222222223,29,10.74074074074074
P06,L5,L,5,little,0,0.0,20,7.407407407407407
P06,R1,R,1,thumb,5,1.8518518518518519,20,7.407407407407407
P06,R2,R,2,index,178,65.92592592592592,31,11.481481481481481
P06,R3,R,3,middle,14,5.185185185185185,28,10.37037037037037
P06,R4,R,4,ring,2,0.7407407407407407,29,10.74074074074074
P06,R5,R,5,little,1,0.37037037037037035,23,8.518518518518519
P07,L1,L,1,thumb,2,0.7407407407407407,23,8.518518518518519
