participant,handedness,hand,n,share_pct,reference_n,reference_share_pct,difference_pct
P01,right,L,56,20.74074074074074,139,51.48148148148149,-30.740740740740748
P01,right,R,214,79.25925925925925,131,48.51851851851852,30.740740740740733
P02,right,L,57,21.189591078066915,136,50.55762081784387,-29.368029739776954
P02,right,R,212,78.81040892193307,133,49.44237918215614,29.368029739776937
P03,right,L,112,41.791044776119406,133,49.626865671641795,-7.835820895522389
P03,right,R,156,58.2089552238806,135,50.3731343283582,7.835820895522403
P04,right,L,66,24.444444444444443,133,49.25925925925926,-24.814814814814817
P04,right,R,204,75.55555555555556,137,50.74074074074075,24.81481481481481
P05,right,L,69,25.555555555555554,131,48.51851851851852,-22.962962962962965
P05,right,R,201,74.44444444444444,139,51.48148148148148,22.962962962962962
P06,right,L,70,25.925925925925927,139,51.48148148148148,-25.555555555555554
P06,right,R,200,74.07407407407408,131,48.51851851851852,25.555555555555557
P07,left,L,136,50.370370370370374,137,50.74074074074075,-0.3703703703703738
P07,left,R,134,49.62962962962964,133,49.25925925925927,0.3703703703703738
P08,left,L,132,48.888888888888886,141,52.222222222222214,-3.3333333333333286
P08,left,R,138,51.111111111111114,129,47.77777777777778,3.3333333333333357
P09,right,L,115,42.592592592592595,139,51.48148148148148,-8.888888888888886
P09,right,R,155,57.40740740740741,131,48.51851851851852,8.888888888888893
P10,left,L,124,46.09665427509294,133,49.44237918215614,-3.3457249070632002
P10,left,R,145,53.90334572490706,136,50.55762081784387,3.345724907063193
P11,right,L,108,40.0,135,50.0,-10.0
P11,right,R,162,60.0,135,50.0,10.0
P12,right,L,114,42.22222222222222,129,47.77777777777778,-5.555555555555557
P12,right,R,156,57.77777777777778,141,52.22222222222222,5.555555555555557
P13,right,L,82,30.370370370370374,137,50.74074074074073,-20.37037037037036
P13,right,R,188,69.62962962962963,133,49.25925925925927,20.370370370370367
P14,right,L,90,33.33333333333333,131,48.51851851851851,-15.185185185185183
P14,right,R,180,66.66666666666666,139,51.48148148148148,15.185185185185176
P15,right,L,109,40.37037037037037,137,50.74074074074074,-10.370370370370374
P15,right,R,161,59.62962962962963,133,49.25925925925926,10.370370370370374
P16,right,L,73,27.037037037037035,131,48.51851851851852,-21.481481481481485
P16,right,R,197,72.96296296296296,139,51.48148148148148,21.48148148148148
P17,right,L,95,35.18518518518519,137,50.74074074074074,-15.55555555555555
P17,right,R,175,64.81481481481482,133,49.25925925925926,15.555555555555564
P18,right,L,121,44.81481481481482,141,52.22222222222223,-7.407407407407412
P18,right,R,149,55.18518518518519,129,47.77777777777777,7.407407407407419
P19,right,L,111,41.111111111111114,139,51.48148148148148,-10.370370370370367
P19,right,R,159,58.888888888888886,131,48.51851851851852,10.370370370370367
P20,left,L,124,45.925925925925924,133,49.25925925925926,-3.3333333333333357
P20,left,R,146,54.074074074074076,137,50.74074074074075,3.3333333333333286
