participant,level,metric,unit,generated_reference,actual,difference_actual_minus_reference
P01,alpha,finger_transition_distance,finger steps,1.0,0.16297208538587848,-0.8370279146141215
P02,alpha,finger_transition_distance,finger steps,0.9752747252747254,0.06043956043956044,-0.9148351648351649
P03,alpha,finger_transition_distance,finger steps,0.9903676570343237,0.33641975308641975,-0.6539479039479039
P04,alpha,finger_transition_distance,finger steps,0.9523809523809524,0.49725274725274726,-0.4551282051282052
P05,alpha,finger_transition_distance,finger steps,0.9876543209876543,0.2517636684303351,-0.7358906525573192
P06,alpha,finger_transition_distance,finger steps,0.9880952380952381,0.023809523809523808,-0.9642857142857143
P07,alpha,finger_transition_distance,finger steps,0.9761904761904763,0.869047619047619,-0.10714285714285732
P08,alpha,finger_transition_distance,finger steps,1.0,0.14285714285714288,-0.8571428571428571
P09,alpha,finger_transition_distance,finger steps,0.9404761904761904,0.16666666666666666,-0.7738095238095237
P10,alpha,finger_transition_distance,finger steps,0.9880952380952381,0.11904761904761903,-0.8690476190476191
P11,alpha,finger_transition_distance,finger steps,0.9400352733686067,0.37566137566137564,-0.564373897707231
P12,alpha,finger_transition_distance,finger steps,0.9885361552028219,0.47134038800705463,-0.5171957671957672
P13,alpha,finger_transition_distance,finger steps,0.9880952380952381,0.8214285714285715,-0.16666666666666663
P14,alpha,finger_transition_distance,finger steps,0.9523809523809524,0.6666666666666666,-0.2857142857142858
P15,alpha,finger_transition_distance,finger steps,0.9523809523809524,0.32142857142857145,-0.6309523809523809
P16,alpha,finger_transition_distance,finger steps,0.9400352733686067,0.6128747795414462,-0.3271604938271605
P01,beta,finger_transition_distance,finger steps,1.3333333333333333,0.2976190476190476,-1.0357142857142856
P02,beta,finger_transition_distance,finger steps,1.216490299823633,0.03659611992945326,-1.1798941798941798
P03,beta,finger_transition_distance,finger steps,1.3637566137566137,0.30158730158730157,-1.062169312169312
P04,beta,finger_transition_distance,finger steps,1.3452380952380951,0.7142857142857143,-0.6309523809523808
P05,beta,finger_transition_distance,finger steps,1.273809523809524,0.4942528735632184,-0.7795566502463056
