participant,n_trials,n_resolved_responses,dominant_finger,dominant_share_pct,effective_fingers,mean_finger_switch_rate_pct,mean_median_correct_key_rt_ms,mean_key_accuracy_pct
P01,9,270,R2,61.851851851851855,3.342554422273943,48.275862068965516,418.74949137369794,100.0
P02,9,269,R2,72.11895910780669,2.619764554658565,39.24466338259442,412.35284010569256,97.38186462324393
P03,9,268,R2,42.91044776119403,4.993956297981381,62.192118226600996,429.6594328350491,97.40740740740742
P04,9,270,R2,41.48148148148148,4.8715138844591195,68.1992337164751,424.4671795103285,98.88888888888889
P05,9,270,R2,48.51851851851852,4.077554846734763,62.06896551724138,503.457506497701,99.25925925925927
P06,9,270,R2,65.92592592592592,3.071263597529826,43.29501915708812,407.9819785224067,99.62962962962963
P07,9,270,L2,23.333333333333332,6.9814308652757076,90.80459770114942,428.91516950395373,99.25925925925927
P08,9,270,R2,41.851851851851855,4.671786177607211,66.66666666666667,542.2007375293308,99.62962962962963
P09,9,270,R2,56.666666666666664,3.3303295628144154,45.21072796934865,381.4111285739475,99.62962962962963
P10,9,269,R2,46.84014869888476,3.3947441111874297,57.348111658456496,392.7626079983181,98.88888888888889
P11,9,270,R2,41.851851851851855,4.287438169809553,76.24521072796934,332.2998815112644,99.25925925925927
P12,9,270,R2,34.074074074074076,5.076226551603395,80.45977011494251,471.17022673288983,99.62962962962963
P13,9,270,R2,43.7037037037037,5.356453069526975,74.3295019157088,429.51162656148273,99.62962962962963
