participant,trial_index,level,a_occurrence,level_occurrence,n_target_events,n_resolved_responses,selection_coverage_pct,dominant_finger,dominant_share_pct,unique_fingers,effective_fingers,finger_switch_rate_pct,median_correct_key_rt_ms,key_accuracy_pct,n_effort_events,actual_key_travel_semitones,reference_key_travel_semitones,actual_finger_transition_steps,reference_finger_transition_steps,actual_hand_switch_pct,reference_hand_switch_pct
P01,6,gamma,1,1,30,30,100.0,R2,40.0,5,4.32852531669596,86.20689655172413,476.1890172958374,100.0,30,4.5,5.464285714285714,0.8571428571428571,2.1785714285714284,51.724137931034484,58.620689655172406
P01,10,gamma,2,2,30,30,100.0,R2,56.666666666666664,3,2.3875595639198672,58.620689655172406,456.3405513763428,100.0,30,4.821428571428571,4.714285714285714,0.14285714285714285,2.0,51.724137931034484,58.620689655172406
P01,17,gamma,3,3,30,30,100.0,R2,36.666666666666664,5,4.226320970174814,75.86206896551724,464.9090766906738,100.0,30,4.071428571428571,5.428571428571429,0.7857142857142857,2.0,31.03448275862069,58.620689655172406
P01,18,beta,4,1,30,30,100.0,R2,46.666666666666664,5,3.5945573747132946,65.51724137931035,362.6459836959839,100.0,30,2.2142857142857144,2.2142857142857144,0.32142857142857145,1.5357142857142858,41.37931034482759,48.275862068965516
P01,19,beta,5,2,30,30,100.0,R2,53.333333333333336,6,3.7927162173270004,65.51724137931035,457.3565721511841,100.0,30,3.0714285714285716,3.142857142857143,0.5357142857142857,1.25,24.137931034482758,44.827586206896555
P01,21,beta,6,3,30,30,100.0,R2,93.33333333333333,3,1.3379516684674342,10.344827586206897,375.11754035949707,100.0,30,3.142857142857143,2.892857142857143,0.03571428571428571,1.2142857142857142,6.896551724137931,48.275862068965516
P01,23,alpha,7,1,30,30,100.0,R2,66.66666666666667,4,2.5882025338466073,37.93103448275862,450.31750202178955,100.0,30,2.607142857142857,1.4285714285714286,0.17857142857142858,1.0,24.137931034482758,34.48275862068966
P01,24,alpha,8,2,30,30,100.0,R2,73.33333333333333,3,2.148466688484431,20.689655172413794,376.2814998626709,100.0,30,2.4482758620689653,1.3928571428571428,0.2413793103448276,1.0,0.0,34.48275862068966
P01,27,alpha,9,3,30,30,100.0,R2,93.33333333333333,2,1.2775319170740629,6.896551724137931,349.58767890930176,100.0,30,2.4827586206896552,1.1428571428571428,0.06896551724137931,1.0,0.0,34.48275862068966
P02,1,alpha,1,1,30,30,100.0,R2,76.66666666666667,3,1.8945220472981725,37.93103448275862,385.5210542678833,100.0,30,2.1785714285714284,1.4285714285714286,0.07142857142857142,1.0,31.03448275862069,34.48275862068966
P02,2,gamma,2,1,29,29,100.0,R2,65.51724137931035,5,2.633933054175471,42.857142857142854,445.7111358642578,93.10344827586206,27,6.923076923076923,5.08,0.46153846153846156,2.04,0.0,50.0
P02,4,gamma,3,2,30,30,100.0,R2,43.333333333333336,6,4.140233214289072,82.75862068965517,496.035099029541,96.66666666666667,29,4.037037037037037,5.222222222222222,0.5555555555555556,2.111111111111111,53.57142857142857,53.57142857142857
P02,11,gamma,4,3,30,30,100.0,R2,60.0,4,2.615871055544849,58.620689655172406,447.084903717041,96.66666666666667,29,4.074074074074074,4.333333333333333,0.2222222222222222,1.962962962962963,46.42857142857143,53.57142857142857
P02,17,alpha,5,2,30,30,100.0,R2,80.0,3,1.8049171046190822,34.48275862068966,380.4816007614136,93.33333333333333,28,2.423076923076923,1.8076923076923077,0.038461538461538464,0.9615384615384616,37.03703703703704,37.03703703703704
P02,20,beta,6,1,30,30,100.0,R2,66.66666666666667,3,2.2329307854033327,48.275862068965516,389.7531032562256,96.66666666666667,29,2.962962962962963,2.814814814814815,0.07407407407407407,1.1851851851851851,35.714285714285715,42.857142857142854
P02,22,alpha,7,3,30,30,100.0,R2,93.33333333333333,3,1.3379516684674342,6.896551724137931,419.2086458206177,100.0,30,2.7142857142857144,1.5357142857142858,0.07142857142857142,0.9642857142857143,3.4482758620689653,27.586206896551722
P02,23,beta,8,2,30,30,100.0,R2,93.33333333333333,3,1.3379516684674342,10.344827586206897,343.1739807128906,100.0,30,2.9642857142857144,2.4642857142857144,0.03571428571428571,1.2142857142857142,6.896551724137931,48.275862068965516
P02,27,beta,9,3,30,30,100.0,R2,70.0,2,1.8420227750373133,31.03448275862069,404.2060375213623,100.0,30,2.7857142857142856,3.142857142857143,0.0,1.25,31.03448275862069,44.827586206896555
P03,3,alpha,1,1,30,30,100.0,L2,33.333333333333336,4,3.7544789389913076,79.3103448275862,409.79981422424316,93.33333333333333,28,1.6923076923076923,1.3076923076923077,0.5,1.0769230769230769,40.74074074074074,37.03703703703704
P03,4,gamma,2,1,30,30,100.0,L3,30.0,7,6.214299378439944,82.75862068965517,479.26807403564453,96.66666666666667,29,4.037037037037037,5.074074074074074,1.1111111111111112,2.185185185185185,60.71428571428571,53.57142857142857
P03,7,beta,3,1,30,30,100.0,L2,50.0,5,3.531086014548756,75.86206896551724,417.2239303588867,100.0,30,2.5357142857142856,3.142857142857143,0.5357142857142857,1.25,31.03448275862069,44.827586206896555
P03,8,alpha,4,2,30,30,100.0,L2,43.333333333333336,4,3.345919348173264,51.724137931034484,427.5968074798584,96.66666666666667,29,1.6666666666666667,1.6666666666666667,0.25925925925925924,1.037037037037037,32.142857142857146,32.142857142857146
