level,level_occurrence,metric,n,mean,sd,sem,ci95_lo,ci95_hi
alpha,1,dominant_share_pct,14,54.99999999999999,20.908837537737174,5.588121887280755,42.927596626224954,67.07240337377503
alpha,2,dominant_share_pct,14,55.476190476190474,20.98461556364782,5.608374416595306,43.36003417287018,67.59234677951076
alpha,3,dominant_share_pct,14,60.23809523809524,19.71871798134551,5.270049056615255,48.852846438162345,71.62334403802814
beta,1,dominant_share_pct,14,47.857142857142854,13.114039117603014,3.5048743810586953,40.285322099464224,55.428963614821484
beta,2,dominant_share_pct,14,59.187192118226605,15.423890818841166,4.12220821536513,50.28170269433836,68.09268154211485
beta,3,dominant_share_pct,14,58.095238095238095,19.987786258402892,5.3419605785008475,46.554633897385024,69.63584229309117
gamma,1,dominant_share_pct,14,38.48932676518883,12.59921908856377,3.3672829407362768,31.21475424258032,45.76389928779734
gamma,2,dominant_share_pct,14,41.19047619047619,14.298834024376061,3.8215241392543753,32.93457522011509,49.44637716083729
gamma,3,dominant_share_pct,14,42.36453201970443,11.07463170832573,2.959819824089849,35.97023004296351,48.75883399644535
alpha,1,effective_fingers,14,3.2313933080114308,1.5190554466804687,0.4059846452136546,2.3543168054866848,4.108469810536176
alpha,2,effective_fingers,14,3.2582196884257137,1.4823677240650235,0.3961794389045122,2.4023260462813902,4.114113330570037
alpha,3,effective_fingers,14,2.5403884371802548,0.9752911870152274,0.2606575338679322,1.9772720709410856,3.103504803419424
beta,1,effective_fingers,14,3.845388278373442,1.0420314542771036,0.2784946205819084,3.2437372290747897,4.447039327672094
beta,2,effective_fingers,14,3.046699318433093,0.9038879776149848,0.2415742234470905,2.52480993788866,3.568588698977526
beta,3,effective_fingers,14,3.2596100789406015,1.667197369933582,0.44557723960157675,2.296998976472144,4.2222211814090596
gamma,1,effective_fingers,14,4.895384311578079,1.295860392124602,0.34633325774434237,4.147176796856552,5.643591826299605
gamma,2,effective_fingers,14,4.384140180326803,1.3768314851887486,0.3679736926356727,3.589181348353822,5.179099012299783
gamma,3,effective_fingers,14,4.008423946658255,1.4319852013137424,0.3827141433033239,3.1816203070807454,4.835227586235765
alpha,1,finger_switch_rate_pct,14,55.66502463054185,23.3817570630056,6.249037430753478,42.16480003207927,69.16524922900443
