condition,level,metric,n,mean,sd,sem,ci95_lo,ci95_hi
B,alpha,fa_main,20,0.9538888888888888,0.03518723703876669,0.00786810539590807,0.9377777777777778,0.9677777777777777
B,beta,fa_main,20,0.9416666666666667,0.046846631550084186,0.010475225266287459,0.9205555555555556,0.9605555555555554
B,gamma,fa_main,20,0.9444444444444446,0.03932503959872383,0.008793346176061752,0.9261111111111111,0.9594444444444445
C,alpha,fa_main,20,0.9822222222222221,0.018869959555315244,0.004219451229835658,0.9733333333333334,0.9894444444444446
C,beta,fa_main,20,0.9833333333333334,0.015505349220541356,0.003467101487200385,0.9766666666666666,0.9894444444444446
C,gamma,fa_main,20,0.983888888888889,0.015494869091449074,0.003464758059094053,0.977222222222222,0.99
B,alpha,key_accuracy,20,0.9855555555555556,0.02908614616334514,0.0065038600024734435,0.9711111111111113,0.9961111111111112
B,beta,key_accuracy,20,0.9905555555555555,0.01408919880855281,0.0031504406284433126,0.9838888888888888,0.9961111111111112
B,gamma,key_accuracy,20,0.99,0.017250966391929783,0.0038574333529919273,0.9816666666666667,0.9961111111111112
C,alpha,key_accuracy,20,0.9983333333333334,0.0054373387214399025,0.0012158258997831415,0.9955555555555555,1.0
C,beta,key_accuracy,20,0.9983333333333334,0.004070528317028022,0.0009101978021212472,0.9966666666666665,1.0
C,gamma,key_accuracy,20,0.9944444444444442,0.006744188651854242,0.0015080464278628748,0.9916666666666665,0.9972222222222221
B,alpha,rt_correct_key_s,20,0.9143604744210337,0.11205692309292077,0.02505668973852368,0.8664290808442042,0.9618777868338441
B,beta,rt_correct_key_s,20,0.9427917478419579,0.12383756302140124,0.02769092090837674,0.8903798281547887,0.9962686515578093
B,gamma,rt_correct_key_s,20,1.0533233349629492,0.1756745358276058,0.039282020402624886,0.9850893355052757,1.1335995505744307
C,alpha,rt_correct_key_s,20,0.6786818675108797,0.1104913904932747,0.02470662600714362,0.6314356804541472,0.7256393542289733
C,beta,rt_correct_key_s,20,0.7298609417014652,0.12359409053049068,0.02763647880434402,0.6786274249237387,0.7839295799427333
C,gamma,rt_correct_key_s,20,0.7619669213651241,0.0798990902100593,0.017865979705008053,0.7286798753612799,0.7964166681736822
B,alpha,rt_complete_s,20,0.913320166452201,0.11096476609507495,0.024812476009595148,0.865678220476533,0.9601388934786328
B,beta,rt_complete_s,20,0.9418168141008506,0.12079427827936834,0.027010421752569392,0.8906035355079107,0.9939690058750857
B,gamma,rt_complete_s,20,1.0546207264207943,0.1772492969019895,0.03963414768368914,0.9856709951927749,1.135504770809227
C,alpha,rt_complete_s,20,0.6783980797793578,0.10993091776136468,0.024581300494335042,0.6314032606914608,0.7252727539582746
C,beta,rt_complete_s,20,0.7298801325595357,0.12145666090974282,0.027158535011432637,0.6792655586879703,0.7830937896528137
C,gamma,rt_complete_s,20,0.7614514598223746,0.07967377493649581,0.01781559767820236,0.7283828678343026,0.7957613422786085
