participant,condition,level,n_trials,n_analyzed,key_accuracy,fa_main,fa_given_key,rt_correct_key_s,rt_complete_s
P01,B,alpha,3,3,1.0,0.9888888888888889,0.9888888888888889,1.101810081799825,1.1019007770494482
P01,B,beta,3,3,1.0,1.0,1.0,0.9658127864201864,0.9658127864201864
P01,B,gamma,3,3,1.0,0.9555555555555556,0.9555555555555556,1.0566160466935899,1.0390182019092011
P01,C,alpha,3,3,1.0,0.9777777777777779,0.9777777777777779,0.6694458060794407,0.6712641352698917
P01,C,beta,3,3,1.0,1.0,1.0,0.7406428866916234,0.7406428866916234
P01,C,gamma,3,3,0.9888888888888889,0.9888888888888889,1.0,0.7089224448149231,0.7089224448149231
P02,B,alpha,3,3,0.9888888888888889,0.9333333333333332,0.9436781609195402,0.7351739377354297,0.735564747563115
P02,B,beta,3,3,0.9555555555555556,0.8111111111111112,0.8412090251170711,0.7633962585348533,0.7889888566585235
P02,B,gamma,3,3,0.9555555555555556,0.9111111111111111,0.9538461538461539,0.8810723494260739,0.8715220594406127
P02,C,alpha,3,3,0.9777777777777779,0.9333333333333335,0.9544061302681993,0.6592654122246636,0.6604261584876386
P02,C,beta,3,3,1.0,0.9888888888888889,0.9888888888888889,0.6295186440149942,0.6294541336110725
P02,C,gamma,3,3,0.9888888888888889,0.9555555555555556,0.9662835249042147,0.7158934101747828,0.7149925708770751
P03,B,alpha,3,3,0.9888888888888889,0.9777777777777779,0.9885057471264368,0.8625817038547033,0.8605126142501831
P03,B,beta,3,3,0.9888888888888889,0.9555555555555556,0.9662835249042147,0.9957136588991831,0.9969520366381085
P03,B,gamma,3,3,1.0,0.9666666666666667,0.9666666666666667,0.9954732206132677,0.9917363254242278
P03,C,alpha,3,3,1.0,0.9888888888888889,0.9888888888888889,0.6804604609807332,0.6827080762249299
P03,C,beta,3,3,0.9888888888888889,0.9777777777777779,0.9885057471264368,0.7448941665590952,0.7500288495941767
P03,C,gamma,3,3,0.9888888888888889,0.9888888888888889,1.0,0.8816009105850453,0.8816009105850453
P04,B,alpha,3,3,1.0,0.9777777777777779,0.9777777777777779,1.0929751104778713,1.0983744627671224
P04,B,beta,3,3,1.0,0.9777777777777779,0.9777777777777779,1.1545859310362074,1.1530951042023916
P04,B,gamma,3,3,0.9888888888888889,0.9888888888888889,1.0,1.5825085202396145,1.5825085202396145
P04,C,alpha,3,3,1.0,0.9888888888888889,0.9888888888888889,0.7645859665340847,0.7654492952814506
P04,C,beta,3,3,1.0,1.0,1.0,0.9413209623760648,0.9413209623760648
P04,C,gamma,3,3,1.0,1.0,1.0,0.8800671789381239,0.8800671789381239
P05,B,alpha,3,3,0.888888888888889,0.8444444444444444,0.9487179487179488,0.9231149610800621,0.9375642734946626
P05,B,beta,3,3,1.0,0.9888888888888889,0.9888888888888889,1.095354183514913,1.0947698584918317
P05,B,gamma,3,3,1.0,0.9777777777777779,0.9777777777777779,1.3079623063405355,1.3087409529192693
P05,C,alpha,3,3,1.0,0.9777777777777779,0.9777777777777779,0.7441254377365111,0.7438319546835763
P05,C,beta,3,3,1.0,0.9555555555555556,0.9555555555555556,0.9779913663864136,0.9603444865938449
P05,C,gamma,3,3,1.0,1.0,1.0,0.7756541119681465,0.7756541119681465
P06,B,alpha,3,3,1.0,0.9666666666666667,0.9666666666666667,1.018258515993754,1.0007958494383713
P06,B,beta,3,3,1.0,0.9666666666666667,0.9666666666666667,1.0712330049938625,1.0517724398974193
P06,B,gamma,3,3,1.0,0.9333333333333335,0.9333333333333335,1.1499822431140476,1.1592300620150715
P06,C,alpha,3,3,1.0,1.0,1.0,0.8037310043970743,0.8037310043970743
P06,C,beta,3,3,1.0,1.0,1.0,0.8178831497828165,0.8178831497828165
P06,C,gamma,3,3,1.0,1.0,1.0,0.7428726779090035,0.7428726779090035
P07,B,alpha,3,3,1.0,0.9888888888888889,0.9888888888888889,0.9076461050245497,0.9074851416993415
P07,B,beta,3,3,1.0,0.9777777777777779,0.9777777777777779,0.813737792438931,0.8131559907248193
P07,B,gamma,3,3,1.0,0.9777777777777779,0.9777777777777779,0.9313023514217801,0.9334015524576581
P07,C,alpha,3,3,1.0,0.9333333333333332,0.9333333333333332,0.8571536355548434,0.8512928754068425
P07,C,beta,3,3,1.0,0.9666666666666668,0.9666666666666668,0.7781477477815416,0.7828682528145011
P07,C,gamma,3,3,0.9888888888888889,0.9666666666666668,0.9777777777777779,0.8528824711211339,0.8476642051941069
P08,B,alpha,3,3,1.0,0.9222222222222222,0.9222222222222222,1.06981434557173,1.0570252715216741
P08,B,beta,3,3,1.0,0.8888888888888888,0.8888888888888888,1.145886731147766,1.1313914242859466
P08,B,gamma,3,3,0.9777777777777779,0.8444444444444444,0.8634920634920634,1.2683153487387158,1.2798766030205622
P08,C,alpha,3,3,1.0,0.9888888888888889,0.9888888888888889,0.6533672332763673,0.6516491628698006
P08,C,beta,3,3,1.0,0.9888888888888889,0.9888888888888889,0.7546447621451483,0.7550570670672303
P08,C,gamma,3,3,1.0,0.9666666666666667,0.9666666666666667,0.7353164911270141,0.7302107819804439
