condition,target_finger,actual_finger,n,passed
A,L1,L1,7,6
A,L1,L2,130,1
A,L1,L3,74,0
A,L1,L4,27,0
A,L1,L5,9,0
A,L1,R1,12,0
A,L1,R2,111,0
A,L1,R3,14,0
A,L1,R4,1,0
A,L2,L1,4,0
A,L2,L2,196,196
A,L2,L3,122,3
A,L2,L4,57,0
A,L2,L5,9,0
A,L2,R1,30,0
A,L2,R2,207,0
A,L2,R3,41,0
A,L2,R4,4,0
A,L2,R5,1,0
A,L3,L1,8,0
A,L3,L2,155,5
A,L3,L3,98,95
A,L3,L4,38,3
A,L3,L5,7,0
A,L3,R1,20,0
A,L3,R2,184,0
A,L3,R3,26,0
A,L3,R4,1,0
A,L4,L1,3,0
A,L4,L2,161,0
A,L4,L3,96,6
A,L4,L4,33,33
A,L4,L5,7,0
A,L4,R1,16,0
A,L4,R2,129,0
A,L4,R3,15,0
A,L4,R4,2,0
A,L5,L1,3,0
A,L5,L2,140,0
A,L5,L3,103,0
A,L5,L4,31,0
A,L5,L5,4,4
A,L5,R1,9,0
A,L5,R2,87,0
A,L5,R3,7,0
A,R1,L1,1,0
A,R1,L2,15,0
A,R1,L3,5,0
A,R1,R1,14,14
A,R1,R2,245,0
A,R1,R3,79,0
A,R1,R4,38,0
A,R1,R5,7,0
A,R2,L2,30,0
A,R2,L3,12,0
A,R2,R1,15,0
A,R2,R2,353,350
A,R2,R3,109,8
A,R2,R4,50,0
A,R2,R5,10,0
A,R3,L1,3,0
A,R3,L2,51,0
A,R3,L3,11,0
A,R3,R1,13,0
A,R3,R2,282,37
A,R3,R3,106,101
A,R3,R4,40,7
A,R3,R5,4,0
A,R4,L2,40,0
A,R4,L3,16,0
A,R4,R1,18,0
A,R4,R2,304,0
A,R4,R3,89,5
A,R4,R4,37,34
A,R4,R5,11,0
A,R5,L2,14,0
A,R5,L3,8,0
A,R5,L5,1,0
A,R5,R1,10,0
A,R5,R2,233,0
A,R5,R3,64,0
A,R5,R4,61,2
A,R5,R5,18,18
B,L1,L1,345,344
B,L1,L2,12,9
B,L1,L4,1,0
B,L1,R1,8,0
B,L2,L2,551,551
B,L2,L3,6,1
B,L2,L4,1,0
B,L2,L5,2,0
B,L2,R2,15,0
B,L3,L2,29,15
B,L3,L3,515,515
B,L3,L4,5,0
B,L3,R2,3,0
B,L3,R3,17,0
B,L4,L2,3,0
B,L4,L3,44,29
B,L4,L4,457,457
B,L4,R2,4,0
B,L4,R4,1,0
B,L5,L2,6,0
B,L5,L4,22,10
B,L5,L5,420,420
B,L5,R1,1,0
B,L5,R2,1,0
B,R1,R1,365,365
B,R1,R2,16,13
B,R1,R3,1,0
B,R1,R5,1,0
B,R2,L4,3,0
B,R2,R2,505,505
B,R2,R3,4,0
B,R2,R4,3,0
B,R3,L3,8,0
B,R3,R1,1,0
B,R3,R2,90,79
B,R3,R3,484,484
B,R3,R4,6,0
B,R4,L2,2,0
B,R4,R2,9,0
B,R4,R3,26,19
B,R4,R4,419,418
B,R4,R5,4,0
B,R5,R3,3,0
B,R5,R4,41,12
B,R5,R5,399,399
C,L1,L1,345,343
C,L1,L2,19,14
C,L1,L5,1,0
C,L2,L1,3,0
C,L2,L2,576,576
C,L2,L3,8,1
C,L2,L4,1,0
C,L2,L5,1,0
C,L3,L1,2,0
C,L3,L2,18,11
C,L3,L3,528,528
C,L3,L4,2,2
C,L4,L1,1,0
C,L4,L2,3,0
C,L4,L3,41,38
C,L4,L4,457,457
C,L4,L5,2,0
C,L4,R5,1,0
C,L5,L4,21,15
C,L5,L5,422,422
C,R1,R1,353,353
C,R1,R2,9,8
C,R1,R3,1,0
C,R2,R2,553,553
C,R2,R3,6,0
C,R2,R4,2,0
C,R2,R5,1,0
C,R3,L3,1,0
C,R3,R1,1,0
C,R3,R2,87,87
C,R3,R3,468,468
C,R4,R3,43,40
C,R4,R4,456,456
C,R4,R5,1,1
C,R5,R2,1,0
C,R5,R3,2,0
C,R5,R4,21,15
C,R5,R5,402,402
