participant,contrast,diff,metric
P01,C−B,0.007407407407407418,fa_main
P02,C−B,0.07407407407407407,fa_main
P03,C−B,0.018518518518518712,fa_main
P04,C−B,0.014814814814814836,fa_main
P05,C−B,0.040740740740740744,fa_main
P06,C−B,0.04444444444444451,fa_main
P07,C−B,-0.02592592592592602,fa_main
P08,C−B,0.09629629629629644,fa_main
P09,C−B,0.04814814814814816,fa_main
P10,C−B,0.06666666666666654,fa_main
P11,C−B,0.033333333333333215,fa_main
P12,C−B,0.040740740740740744,fa_main
P13,C−B,0.059259259259259234,fa_main
P14,C−B,0.01851851851851849,fa_main
P15,C−B,0.03703703703703709,fa_main
P16,C−B,0.040740740740740744,fa_main
P17,C−B,0.007407407407407418,fa_main
P18,C−B,0.014814814814814836,fa_main
P19,C−B,0.08888888888888902,fa_main
P20,C−B,0.0037037037037037646,fa_main
P01,C−B,-0.0037037037037036535,key_accuracy
P02,C−B,0.022222222222222365,key_accuracy
P03,C−B,0.0,key_accuracy
P04,C−B,0.0037037037037036535,key_accuracy
P05,C−B,0.03703703703703687,key_accuracy
P06,C−B,0.0,key_accuracy
P07,C−B,-0.0037037037037036535,key_accuracy
P08,C−B,0.007407407407407418,key_accuracy
P09,C−B,0.007407407407407418,key_accuracy
P10,C−B,0.007407407407407418,key_accuracy
P11,C−B,0.02962962962962945,key_accuracy
P12,C−B,0.0037037037037036535,key_accuracy
P13,C−B,0.007407407407407418,key_accuracy
P14,C−B,0.0037037037037036535,key_accuracy
P15,C−B,0.014814814814814725,key_accuracy
P16,C−B,-0.007407407407407418,key_accuracy
P17,C−B,-0.0037037037037036535,key_accuracy
P18,C−B,0.0,key_accuracy
P19,C−B,0.03703703703703709,key_accuracy
P20,C−B,0.0037037037037036535,key_accuracy
P01,C−B,-0.3350759257758713,rt_correct_key_s
P02,C−B,-0.1249883597606386,rt_correct_key_s
P03,C−B,-0.18227101508076027,rt_correct_key_s
P04,C−B,-0.41469848463514003,rt_correct_key_s
P05,C−B,-0.2762201782814798,rt_correct_key_s
P06,C−B,-0.2916623106709231,rt_correct_key_s
P07,C−B,-0.054834131475914094,rt_correct_key_s
P08,C−B,-0.4468959796365608,rt_correct_key_s
P09,C−B,-0.3202709489094038,rt_correct_key_s
P10,C−B,-0.3156934082605959,rt_correct_key_s
P11,C−B,-0.22823815444507112,rt_correct_key_s
P12,C−B,-0.21463922443365535,rt_correct_key_s
P13,C−B,-0.2240761791304764,rt_correct_key_s
P14,C−B,-0.1461155382304966,rt_correct_key_s
P15,C−B,-0.27471526011653336,rt_correct_key_s
P16,C−B,-0.16985198498381193,rt_correct_key_s
P17,C−B,-0.19763265913625938,rt_correct_key_s
P18,C−B,-0.30790840772528905,rt_correct_key_s
P19,C−B,-0.13777547817207603,rt_correct_key_s
P20,C−B,-0.26954188212885577,rt_correct_key_s
P01,C−B,-0.3286340995341325,rt_complete_s
P02,C−B,-0.13040093356215499,rt_complete_s
P03,C−B,-0.17828771330278903,rt_complete_s
P04,C−B,-0.41571355020449663,rt_complete_s
P05,C−B,-0.2870815105533986,rt_complete_s
P06,C−B,-0.2824371730873225,rt_complete_s
P07,C−B,-0.05740578382212269,rt_complete_s
P08,C−B,-0.4437920956369027,rt_complete_s
P09,C−B,-0.3134538129719694,rt_complete_s
P10,C−B,-0.3120408985809989,rt_complete_s
P11,C−B,-0.22460749037621652,rt_complete_s
P12,C−B,-0.22271527027926807,rt_complete_s
P13,C−B,-0.22916422222983435,rt_complete_s
P14,C−B,-0.15093414431051422,rt_complete_s
P15,C−B,-0.26851309624500974,rt_complete_s
P16,C−B,-0.17722737053481996,rt_complete_s
P17,C−B,-0.19620285672964022,rt_complete_s
P18,C−B,-0.3025903416053539,rt_complete_s
P19,C−B,-0.13905478292242512,rt_complete_s
P20,C−B,-0.2732630855944824,rt_complete_s
