condition,category,n,mean,sd,sem,ci95_lo,ci95_hi
A,Correct key + correct finger,8,0.1741343108908165,0.02739210699414143,0.00968457230327243,0.15123393635619473,0.19703468542543826
A,Correct key + wrong finger,8,0.8152054935976869,0.024344722948888845,0.008607159341633532,0.7948527958811369,0.8355581913142369
A,No response (timeout),8,0.000925925925925926,0.0026189140043946205,0.0009259259259259259,-0.001263540973697022,0.003115392825548874
A,Unresolved finger,8,0.0,0.0,0.0,0.0,0.0
A,Wrong key + correct finger,8,0.0027794988296847034,0.002619613844914905,0.0009261733569147471,0.0005894468487449931,0.004969550810624414
A,Wrong key + wrong finger,8,0.006954770755885998,0.007801607509483624,0.002758284787055881,0.0004324636556142236,0.013477077856157772
B,Correct key + correct finger,8,0.9407407407407408,0.05308436893622862,0.018768158624907886,0.8963610976985433,0.9851203837829382
B,Correct key + wrong finger,8,0.04814814814814815,0.04857361869853334,0.017173367584251302,0.007539586676910133,0.08875670961938617
B,No response (timeout),8,0.000462962962962963,0.0013094570021973102,0.0004629629629629629,-0.000631770486848511,0.001557696412774437
B,Unresolved finger,8,0.0,0.0,0.0,0.0,0.0
B,Wrong key + correct finger,8,0.009259259259259259,0.013998684185526935,0.004949282257637489,-0.002443933595128232,0.02096245211364675
B,Wrong key + wrong finger,8,0.001388888888888889,0.0019168487759509839,0.0006777083839920369,-0.00021363679140643638,0.002991414569184214
C,Correct key + correct finger,8,0.9708333333333333,0.03151647603725361,0.011142756962522678,0.9444848999901478,0.9971817666765188
C,Correct key + wrong finger,8,0.02592592592592593,0.03173721217876999,0.01122079897378227,-0.0006070474497270502,0.052458899301578904
C,No response (timeout),8,0.0,0.0,0.0,0.0,0.0
C,Unresolved finger,8,0.0,0.0,0.0,0.0,0.0
C,Wrong key + correct finger,8,0.003240740740740741,0.0041703393572577905,0.0014744376196830658,-0.00024575021222257446,0.006727231693704056
C,Wrong key + wrong finger,8,0.0,0.0,0.0,0.0,0.0
