participant,n_points,r,p,z,slope
P01,5,0.6931611793664103,0.1943677720350182,0.8540149927557359,1.1511680942633344
P02,5,0.2373580585179213,0.7006485392665046,0.24197257187803228,0.2646424236481221
P03,5,0.2800831774327932,0.6481059966641002,0.2877723280236587,0.3124628160195137
P04,5,0.8165739154302972,0.09166426970202898,1.146447882249235,0.7034532460822686
P05,5,0.5734110946215949,0.3121701197094666,0.6525902073108361,0.5863662689741816
P06,5,0.5963969381354097,0.28843320768055447,0.6875362901786084,0.44479788838308765
P07,5,0.8136270167085892,0.09383793251832762,1.1376670217444254,1.3917991035828794
P08,5,0.86365510412749,0.059184037865518235,1.3075536367857952,0.7611957492800777
P09,5,0.23719790102892943,0.7008466345582822,0.24180285943557575,0.2799880379770036
P10,5,0.8053550826997198,0.10002155077940951,1.1136678057080038,0.8307910518359194
P11,5,0.13989867508261208,0.822458223920562,0.14082222697656152,0.19558359716061746
P12,5,0.6420077767777109,0.24284245274511046,0.7615818814204958,0.4905139366871428
P13,5,-0.2996421824434582,0.6242722931435717,-0.3091264444546061,-0.273347013252495
P14,5,-0.29108426045448255,0.6346824023631716,-0.29975049045821156,-0.24717485445171739
