participant,n_points,r,p,z,slope
P01,5,-0.18701001399757008,0.763286713072747,-0.18923701941726956,-0.4232869319848381
P02,5,-0.31297866124045204,0.6081081324730631,-0.32384413486704133,-0.34117415264029183
P03,5,-0.27790362592768203,0.6507708967169543,-0.28540880497112703,-0.31023579711859467
P04,5,0.5557089336276032,0.33077318255873506,0.6266033620234532,0.6894900326469023
P05,5,0.07560012951943351,0.9038346952299983,0.07574465326118207,0.09409247795076836
P06,5,0.2682269279574598,0.662623353203861,0.27495231461188635,0.24008703887565244
P07,5,-0.07150426261239114,0.9090355857062405,-0.07162650157765575,-0.2098478700990608
P08,5,0.6427843752776025,0.2420846664937972,0.7629041403680635,0.8609434240237672
P09,5,-0.34152315664483035,0.5737668057034278,-0.3558157883273577,-0.3900251429965633
P10,5,0.43890860124440007,0.4596645353592613,0.47087818800934533,0.6862921916993492
P11,5,-0.4916980712113288,0.4001815517100817,-0.538297388056203,-0.6045200960998993
P12,5,0.3211440142891039,0.5982481204385859,0.3329221551444061,0.30307519948995615
P13,5,-0.620942150804241,0.2636387480558091,-0.7265370019564512,-0.46540081351830337
P14,5,-0.5990017429258954,0.2857742715612378,-0.6915888609973972,-0.4257304939212418
P15,5,-0.7569201890606245,0.13850045983711579,-0.9889639165534319,-1.6751484617790406
P16,5,-0.5774262598847443,0.30798901224746195,-0.6585929420074805,-0.6634878499183993
P17,5,-0.9626103719237638,0.008629979529372691,-1.9803186733758062,-0.4273342224175215
P18,5,-0.7847114452437927,0.11596261418803834,-1.0575163911895962,-0.5835970493269876
P19,5,-0.8040226295973156,0.10102877572311084,-1.109887524615452,-1.1154347939961484
P20,5,0.2702812595268254,0.6601042958716021,0.27716722312507003,0.8287195745209903
