participant,n_points,r,p,z,slope
P01,5,0.5856444761422339,0.29947657885311646,0.6710109273171354,0.7257546385284077
P02,5,0.2640915311699057,0.6676987736747507,0.27050161899635855,0.418613999652909
P03,5,-0.01258264850714197,0.9839796970949184,-0.012583312611297694,-0.01301086572242486
P04,5,0.6479026180689683,0.23710658658888115,0.7716754135980485,0.30756422133820244
P05,5,0.3158418048716466,0.6046475380760421,0.3270213626432358,0.3079319406741159
P06,5,-0.24616134250531643,0.6897723824454237,-0.25132240816177664,-0.11456928425822749
P07,5,0.3503489921756159,0.5632232658267025,0.3658415215422844,0.7394443302823159
P08,5,0.48647465836563986,0.40598247748414173,0.5314316077455743,0.5902108126540295
P09,5,0.2118436199726973,0.7323035896259701,0.21510080494962305,0.3495238093023173
P10,5,0.9320753612966128,0.02103293090706589,1.6739755923239195,0.7163878256116645
P11,5,0.21422554531734556,0.7293404469271595,0.21759597168000722,0.1912882711076876
P12,5,0.2693233587632745,0.6612787036056539,0.27613411923042486,0.1344759978209843
P13,5,-0.2794586868844094,0.6488693707685055,-0.28709480664523923,-0.26234508143183294
