participant,weakest_finger,weakest_label,benefit_weakest,benefit_others_mean,n_others,advantage
P01,1,1 thumb,0.14764931965135186,0.3573023380880419,4,-0.20965301843669004
P02,5,5 little,0.15671748959499854,0.1470600168733735,4,0.009657472721625038
P03,5,5 little,0.08095452542207682,0.18597851620247385,4,-0.10502399078039704
P04,4,4 ring,0.5479047118492846,0.3587439654251097,4,0.18916074642417485
P05,5,5 little,0.28478702320033167,0.30522595546219466,4,-0.020438932261862996
P06,5,5 little,0.40179207560516184,0.3009895042640979,4,0.10080257134106396
P07,5,5 little,-0.01963281682468354,0.06018173447321551,4,-0.07981455129789905
P08,5,5 little,0.3956536421970446,0.45477982852314325,4,-0.05912618632609867
P09,3,3 middle,0.3750303720854916,0.30524748557478876,4,0.06978288651070286
P10,4,4 ring,0.4588425456047973,0.26811830754121607,4,0.19072423806358124
P11,4,4 ring,0.2655681506091473,0.20383766878201878,4,0.06173048182712851
P12,4,4 ring,0.31478187441825867,0.19954674077711326,4,0.1152351336411454
P13,5,5 little,0.15263294524886983,0.23556477146297408,4,-0.08293182621410425
P14,3,3 middle,0.20354119288968575,0.12643536756108933,4,0.07710582532859642
P15,1,1 thumb,0.08095919031922405,0.27939198065923565,4,-0.1984327903400116
P16,2,2 index,0.23447169092879894,0.1445772906329289,4,0.08989440029587004
P17,5,5 little,0.15318202287592786,0.193553683193373,4,-0.04037166031744513
P18,3,3 middle,0.2917259600087788,0.2963372046128405,4,-0.004611244604061704
P19,5,5 little,0.029812357309834114,0.14972255957736194,4,-0.11991020226752783
P20,3,3 middle,0.4529086895405301,0.20393969839070292,4,0.24896899114982718
