participant,weakest_finger,weakest_label,benefit_weakest,benefit_others_mean,n_others,advantage
P01,1,1 thumb,0.12121135283281459,0.282016760068633,4,-0.16080540723581843
P02,4,4 ring,0.11398067683504343,0.13940679964770564,4,-0.02542612281266221
P03,5,5 little,0.042771760622660304,0.15361805236246034,4,-0.11084629173980004
P04,4,4 ring,0.3494394762710955,0.19944272818681305,4,0.14999674808428246
P05,5,5 little,0.22109254611903284,0.27621481797533354,4,-0.0551222718563007
P06,5,5 little,0.20251813977956767,0.3352857735247985,4,-0.13276763374523082
P07,5,5 little,-0.030606495399101097,0.0062937685346237116,4,-0.03690026393372481
P08,4,4 ring,0.5754990256968,0.3562742061201859,4,0.2192248195766141
P09,3,3 middle,0.3882385264020979,0.32502921579850885,4,0.06320931060358903
P10,3,3 middle,0.29438354032380243,0.28184811713878133,4,0.0125354231850211
P11,1,1 thumb,0.2047010023342935,0.1854997383907837,4,0.019201263943509794
P12,3,3 middle,0.25429316804274904,0.22233802435125632,4,0.031955143691492716
P13,5,5 little,0.17369360015505841,0.2348723959130371,4,-0.06117879575797869
P14,3,3 middle,0.24692516080794802,0.17285731200343316,4,0.07406784880451486
P15,1,1 thumb,0.08414171575530749,0.31235919255005,4,-0.22821747679474252
P16,2,2 index,0.20775070758092973,0.10985633064444322,4,0.0978943769364865
P17,1,1 thumb,0.10075074120571736,0.09166550357546685,4,0.009085237630250514
P18,5,5 little,0.242695437669754,0.3450830885518269,4,-0.10238765088207291
