participant,weakest_finger,weakest_label,benefit_weakest,benefit_others_mean,n_others,advantage
P01,2,2 index,0.5587144182429252,0.2545360634401486,4,0.3041783548027766
P02,5,5 little,0.15671748959499854,0.1470600168733735,4,0.009657472721625038
P03,3,3 middle,0.29608419010865283,0.13219610003082985,4,0.16388809007782298
P04,4,4 ring,0.5479047118492846,0.3587439654251097,4,0.18916074642417485
P05,5,5 little,0.28478702320033167,0.30522595546219466,4,-0.020438932261862996
P06,5,5 little,0.40179207560516184,0.3009895042640979,4,0.10080257134106396
P07,4,4 ring,0.15991180608383826,0.015295578746085059,4,0.1446162273377532
P08,4,4 ring,0.6022019145034609,0.4031427604465392,4,0.19905915405692176
P09,4,4 ring,0.2721321096225662,0.33097205119052014,4,-0.05883994156795397
P10,5,5 little,0.31999769634535513,0.30282951985607665,4,0.017168176489278486
P11,4,4 ring,0.2655681506091473,0.20383766878201878,4,0.06173048182712851
P12,5,5 little,0.21604615114918058,0.22423067159438279,4,-0.008184520445202209
P13,5,5 little,0.15263294524886983,0.23556477146297408,4,-0.08293182621410425
P14,5,5 little,0.11826698010210912,0.1477539207579835,4,-0.029486940655874372
