participant,weakest_finger,weakest_label,benefit_weakest,benefit_others_mean,n_others,advantage
P01,3,3 middle,0.2565048970282078,0.24819337401978472,4,0.008311523008423055
P02,5,5 little,0.1543941601462986,0.12930342881989185,4,0.02509073132640674
P03,5,5 little,0.042771760622660304,0.15361805236246034,4,-0.11084629173980004
P04,4,4 ring,0.3494394762710955,0.19944272818681305,4,0.14999674808428246
P05,5,5 little,0.22109254611903284,0.27621481797533354,4,-0.0551222718563007
P06,5,5 little,0.20251813977956767,0.3352857735247985,4,-0.13276763374523082
P07,2,2 index,-0.11324798187893093,0.02695414015458117,4,-0.1402021220335121
P08,4,4 ring,0.5754990256968,0.3562742061201859,4,0.2192248195766141
P09,1,1 thumb,0.41621059401768656,0.31803619889461165,4,0.09817439512307491
P10,4,4 ring,0.4042964429370428,0.2543698914854713,4,0.14992655145157152
P11,2,2 index,0.17039144090984182,0.19407712874689662,4,-0.023685687837054797
P12,5,5 little,0.18013622441835564,0.24087726025735468,4,-0.060741035838999036
P13,5,5 little,0.17369360015505841,0.2348723959130371,4,-0.06117879575797869
P14,5,5 little,0.1580802759660883,0.19506853321389808,4,-0.03698825724780977
P15,5,5 little,0.02351251613372285,0.3275164924554461,4,-0.30400397632172327
P16,4,4 ring,0.2759625093690281,0.09280338019741863,4,0.18315912917160948
P17,4,4 ring,-0.025466097497391926,0.12321971325124417,4,-0.1486858107486361
P18,5,5 little,0.242695437669754,0.3450830885518269,4,-0.10238765088207291
