condition,finger_id,metric,n,mean,sd,sem,ci95_lo,ci95_hi
B,1,fa,13,0.9695522317478265,0.025112637674705257,0.006964992522946044,0.9543768166802953,0.9847276468153576
B,2,fa,13,0.9612783293955258,0.037198060023748675,0.010316885597185622,0.9387997666941688,0.9837568920968829
B,3,fa,13,0.9394830861878654,0.04033559503279068,0.011187081239775184,0.9151085300561136,0.9638576423196171
B,4,fa,13,0.9300866197901336,0.05023185115201521,0.013931808845389668,0.8997318159373272,0.96044142364294
B,5,fa,13,0.919784138225782,0.06175355512464395,0.017127354572622752,0.8824668383446919,0.9571014381068721
C,1,fa,13,0.983527493318515,0.015249090067460603,0.004229336626338295,0.9743125604160676,0.9927424262209623
C,2,fa,13,0.9840101559739547,0.024768241595225803,0.0068694742365128176,0.9690428573743721,0.9989774545735373
C,3,fa,13,0.9888004472366139,0.012333803995127074,0.0034207817481502513,0.9813472040762526,0.9962536903969751
C,4,fa,13,0.9862095091717106,0.019692088528524887,0.005461602685428669,0.9743096991701536,0.9981093191732675
C,5,fa,13,0.9707931111177757,0.028437565901325353,0.00788716169281653,0.9536084620318072,0.9879777602037442
B,1,rt_s,13,0.9292923983327265,0.13107063243813313,0.03635245276639867,0.8500872078554251,1.0084975888100278
B,2,rt_s,13,0.9195053889680705,0.14456692016485298,0.04009564949156049,0.8321444734420183,1.0068663044941228
B,3,rt_s,13,0.985449714560651,0.19037784412715775,0.052801313747135245,0.8704055347451082,1.100493894376194
B,4,rt_s,13,1.0645858337908989,0.20012132350174922,0.05550366870763643,0.9436537283171011,1.1855179392646966
B,5,rt_s,13,1.0313105408587848,0.13143410459142776,0.03645326180377614,0.951885706357499,1.1107353753600706
C,1,rt_s,13,0.7082501216185162,0.10757188409350875,0.029835072607493456,0.6432450826472562,0.7732551605897762
C,2,rt_s,13,0.6378473027796611,0.0960446483524219,0.02663799264373578,0.5798081026509083,0.6958865029084138
C,3,rt_s,13,0.6880619174687284,0.10348011419578206,0.028700219824904713,0.6255295102999563,0.7505943246375004
C,4,rt_s,13,0.7622329295704172,0.13394231782063035,0.03714891498898283,0.6812923969842042,0.8431734621566302
C,5,rt_s,13,0.8267581408247787,0.09820810172833729,0.02723802664980798,0.7674115789053593,0.8861047027441982
B,1,rt_complete_s,13,0.92721815143014,0.13120439020493851,0.036389550496145465,0.8479321319433147,1.006504170916965
B,2,rt_complete_s,13,0.9151296396439201,0.1453717081524008,0.040318857518866734,0.8272823956042883,1.002976883683552
B,3,rt_complete_s,13,0.9865632908005246,0.1942938594257562,0.05388742097441202,0.8691526866237969,1.1039738949772524
B,4,rt_complete_s,13,1.0674751876208464,0.20558863494913507,0.05702002807398111,0.9432392189052707,1.191711156336422
B,5,rt_complete_s,13,1.0408898240601003,0.14314864611979064,0.039702291046011876,0.9543859629618673,1.1273936851583333
C,1,rt_complete_s,13,0.7077419485473199,0.1076352156795593,0.029852637629098202,0.642698638681634,0.7727852584130057
C,2,rt_complete_s,13,0.6356201009301453,0.09073801639953738,0.025166197750955722,0.5807876663964204,0.6904525354638702
C,3,rt_complete_s,13,0.6860171055819848,0.1039178790609648,0.0288216339532134,0.6232201597527509,0.7488140514112187
C,4,rt_complete_s,13,0.763438261750585,0.13414455606428383,0.037205005785702246,0.6823755178168536,0.8445010056843165
C,5,rt_complete_s,13,0.8296133542484826,0.09803633573908073,0.027190387335835262,0.7703705894775434,0.8888561190194217
