participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P01,B,1,45,24,21,45,0.9555555555555556,0.8918217129177517,43,0.864785022513811
P01,B,2,54,26,28,54,0.9814814814814815,1.1105323058587533,53,1.1136806910892703
P01,B,3,65,30,35,65,0.9846153846153847,1.047297793168288,64,1.0390959605574608
P01,B,4,50,27,23,50,0.98,1.0833696079254151,49,1.0829819903081777
P01,B,5,56,30,26,56,1.0,1.0506775677204132,56,1.0506775677204132
P01,C,1,35,20,15,35,0.9714285714285714,0.7108965396881104,34,0.7171357028624591
P01,C,2,63,29,34,63,0.9841269841269841,0.555679029888577,62,0.554966272846345
P01,C,3,65,32,33,65,0.9846153846153847,0.6480716925400954,64,0.6506408117711544
P01,C,4,59,28,31,59,1.0,0.840710615707656,59,0.840710615707656
P01,C,5,48,24,24,48,1.0,0.8109091569979986,48,0.8109091569979986
P02,B,1,43,22,21,43,0.9534883720930233,0.8007050225901049,41,0.807530560144564
P02,B,2,78,44,34,78,0.8717948717948718,0.7135476485276834,68,0.7246833408580107
P02,B,3,65,34,31,65,0.9076923076923077,0.8239887384267953,59,0.8264138900627525
P02,B,4,41,17,24,41,0.8536585365853658,0.8044505351927222,35,0.814438465663365
P02,B,5,43,20,23,43,0.8372093023255814,0.8670713735181231,36,0.8791726231575012
P02,C,1,36,17,19,36,0.9722222222222222,0.5576795736948649,35,0.555682304927281
P02,C,2,64,34,30,64,0.96875,0.619746521115303,62,0.6167607038251816
P02,C,3,60,28,32,60,0.9833333333333333,0.6905654112497965,59,0.6945659952648615
P02,C,4,61,30,31,61,0.9344262295081968,0.7145952005855373,57,0.7178171852178741
P02,C,5,49,26,23,49,0.9387755102040817,0.7203341406218859,46,0.7224551335625027
P03,B,1,34,15,19,34,1.0,0.8867788875804228,34,0.8867788875804228
P03,B,2,65,33,32,65,1.0,0.8274641623863808,65,0.8274641623863808
P03,B,3,59,32,27,59,0.9830508474576272,1.0210649037765245,58,1.0244662597261627
P03,B,4,58,29,29,58,0.9482758620689655,0.9913291109019312,55,1.0004980477419767
P03,B,5,54,28,26,54,0.9074074074074074,1.007899041529055,49,1.0137733196725651
P03,C,1,42,24,18,42,0.9761904761904762,0.829927262805757,41,0.8333627596134092
