participant,condition,finger_id,successes,trials,fa
P01,B,1,43,45,0.9555555555555556
P01,B,2,53,54,0.9814814814814815
P01,B,3,64,65,0.9846153846153847
P01,B,4,49,50,0.98
P01,B,5,56,56,1.0
P01,C,1,34,35,0.9714285714285714
P01,C,2,62,63,0.9841269841269841
P01,C,3,64,65,0.9846153846153847
P01,C,4,59,59,1.0
P01,C,5,48,48,1.0
P02,B,1,41,43,0.9534883720930233
P02,B,2,68,78,0.8717948717948718
P02,B,3,59,65,0.9076923076923077
P02,B,4,35,41,0.8536585365853658
P02,B,5,36,43,0.8372093023255814
P02,C,1,35,36,0.9722222222222222
P02,C,2,62,64,0.96875
P02,C,3,59,60,0.9833333333333333
P02,C,4,57,61,0.9344262295081968
P02,C,5,46,49,0.9387755102040817
P03,B,1,34,34,1.0
P03,B,2,65,65,1.0
P03,B,3,58,59,0.9830508474576272
P03,B,4,55,58,0.9482758620689655
P03,B,5,49,54,0.9074074074074074
P03,C,1,41,42,0.9761904761904762
P03,C,2,63,63,1.0
P03,C,3,64,64,1.0
P03,C,4,53,54,0.9814814814814815
P03,C,5,45,47,0.9574468085106383
P04,B,1,42,42,1.0
P04,B,2,54,54,1.0
P04,B,3,60,62,0.967741935483871
P04,B,4,53,55,0.9636363636363636
P04,B,5,56,56,1.0
P04,C,1,36,36,1.0
P04,C,2,62,62,1.0
P04,C,3,69,70,0.9857142857142858
P04,C,4,53,53,1.0
P04,C,5,49,49,1.0
P05,B,1,37,38,0.9736842105263158
P05,B,2,55,58,0.9482758620689655
P05,B,3,64,66,0.9696969696969697
P05,B,4,55,58,0.9482758620689655
P05,B,5,42,50,0.84
P05,C,1,50,51,0.9803921568627451
P05,C,2,62,63,0.9841269841269841
P05,C,3,59,60,0.9833333333333333
P05,C,4,46,47,0.9787234042553191
P05,C,5,47,49,0.9591836734693877
P06,B,1,51,52,0.9807692307692307
P06,B,2,71,73,0.9726027397260274
P06,B,3,55,59,0.9322033898305084
P06,B,4,50,51,0.9803921568627451
P06,B,5,31,35,0.8857142857142857
P06,C,1,30,30,1.0
P06,C,2,53,53,1.0
P06,C,3,68,68,1.0
P06,C,4,55,55,1.0
P06,C,5,64,64,1.0
P07,B,1,31,31,1.0
P07,B,2,53,53,1.0
P07,B,3,69,70,0.9857142857142858
P07,B,4,57,57,1.0
P07,B,5,55,59,0.9322033898305084
P07,C,1,42,42,1.0
P07,C,2,76,83,0.9156626506024096
P07,C,3,53,55,0.9636363636363636
P07,C,4,53,55,0.9636363636363636
P07,C,5,34,35,0.9714285714285714
P08,B,1,36,38,0.9473684210526315
P08,B,2,66,69,0.9565217391304348
P08,B,3,55,65,0.8461538461538461
P08,B,4,42,50,0.84
P08,B,5,40,48,0.8333333333333334
P08,C,1,47,48,0.9791666666666666
P08,C,2,61,61,1.0
P08,C,3,52,52,1.0
P08,C,4,56,56,1.0
P08,C,5,49,53,0.9245283018867925
P09,B,1,48,51,0.9411764705882353
P09,B,2,59,62,0.9516129032258065
P09,B,3,58,64,0.90625
P09,B,4,49,51,0.9607843137254902
P09,B,5,41,42,0.9761904761904762
P09,C,1,37,38,0.9736842105263158
P09,C,2,56,56,1.0
P09,C,3,66,66,1.0
P09,C,4,49,50,0.98
P09,C,5,60,60,1.0
P10,B,1,38,39,0.9743589743589743
P10,B,2,50,53,0.9433962264150944
P10,B,3,61,67,0.9104477611940298
P10,B,4,53,60,0.8833333333333333
P10,B,5,48,51,0.9411764705882353
P10,C,1,42,42,1.0
P10,C,2,62,62,1.0
P10,C,3,56,56,1.0
P10,C,4,59,59,1.0
P10,C,5,49,51,0.9607843137254902
P11,B,1,34,36,0.9444444444444444
P11,B,2,50,50,1.0
P11,B,3,65,69,0.9420289855072463
P11,B,4,51,57,0.8947368421052632
P11,B,5,52,58,0.896551724137931
P11,C,1,40,42,0.9523809523809523
P11,C,2,69,72,0.9583333333333334
P11,C,3,57,58,0.9827586206896551
P11,C,4,56,56,1.0
P11,C,5,39,42,0.9285714285714286
P12,B,1,42,45,0.9333333333333333
P12,B,2,64,69,0.927536231884058
P12,B,3,59,63,0.9365079365079365
P12,B,4,46,50,0.92
P12,B,5,43,43,1.0
P12,C,1,42,42,1.0
P12,C,2,52,53,0.9811320754716981
P12,C,3,67,69,0.9710144927536232
P12,C,4,56,57,0.9824561403508771
P12,C,5,48,49,0.9795918367346939
P13,B,1,34,34,1.0
P13,B,2,50,53,0.9433962264150944
P13,B,3,64,68,0.9411764705882353
P13,B,4,56,61,0.9180327868852459
P13,B,5,49,54,0.9074074074074074
P13,C,1,50,51,0.9803921568627451
P13,C,2,67,67,1.0
P13,C,3,62,62,1.0
P13,C,4,48,48,1.0
P13,C,5,42,42,1.0
P14,B,1,40,41,0.975609756097561
P14,B,2,66,68,0.9705882352941176
P14,B,3,57,63,0.9047619047619048
P14,B,4,51,54,0.9444444444444444
P14,B,5,43,44,0.9772727272727273
P14,C,1,36,36,1.0
P14,C,2,54,57,0.9473684210526315
P14,C,3,62,62,1.0
P14,C,4,58,61,0.9508196721311475
P14,C,5,52,54,0.9629629629629629
P15,B,1,32,36,0.8888888888888888
P15,B,2,50,52,0.9615384615384616
P15,B,3,59,63,0.9365079365079365
P15,B,4,54,58,0.9310344827586207
P15,B,5,59,61,0.9672131147540983
P15,C,1,41,44,0.9318181818181818
P15,C,2,63,66,0.9545454545454546
P15,C,3,66,66,1.0
P15,C,4,53,53,1.0
P15,C,5,41,41,1.0
P16,B,1,50,51,0.9803921568627451
P16,B,2,58,63,0.9206349206349206
P16,B,3,55,59,0.9322033898305084
P16,B,4,54,55,0.9818181818181818
P16,B,5,40,42,0.9523809523809523
P16,C,1,31,31,1.0
P16,C,2,60,60,1.0
P16,C,3,62,62,1.0
P16,C,4,60,62,0.967741935483871
P16,C,5,55,55,1.0
P17,B,1,45,46,0.9782608695652174
P17,B,2,59,59,1.0
P17,B,3,61,62,0.9838709677419355
P17,B,4,53,54,0.9814814814814815
P17,B,5,47,49,0.9591836734693877
P17,C,1,36,36,1.0
P17,C,2,77,77,1.0
P17,C,3,56,56,1.0
P17,C,4,58,60,0.9666666666666667
P17,C,5,40,41,0.975609756097561
