n_participants,n_events,part,term,label,chi2,df,p,estimate_logit,se_model,se_robust,t,odds_ratio,or_lo,or_hi,sigma_participant,icc_latent,se_type
20,10799,lrt,condition,Condition (B vs C),110.37437440508256,1.0,8.112705253543486e-26,,,,,,,,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,lrt,finger_id,Finger ID (1–5),18.53570996814051,4.0,0.0009693965007610537,,,,,,,,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,lrt,condition * finger_id,Condition × Finger ID,10.903238661163414,4.0,0.027673273911727123,,,,,,,,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,Intercept,Intercept,,,1.6419464811522775e-12,3.5085174700609825,0.22651039594422667,0.2184303964422807,16.062404899714096,33.39871646527937,21.143602893853547,52.75705692771937,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,condition[C],condition[C],,,0.0069575348815986175,0.7438633433006908,0.3443682650872621,0.24586614826793712,3.0254809315597697,2.1040484944455367,1.2576684632411548,3.5200215290201315,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,finger[2],finger[2],,,0.2717042678397456,-0.26540452624303534,0.2463615734003911,0.23444863965947693,-1.1320369639530434,0.766895657800173,0.46948864375875493,1.2527011201893268,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,finger[3],finger[3],,,0.006419593522110536,-0.6452875657023837,0.23281962402973017,0.21076012674438224,-3.0617155895195136,0.5245116888453092,0.33742447189596264,0.8153306432978082,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,finger[4],finger[4],,,0.006411008896046774,-0.6423325405131043,0.2390270503882373,0.20975374411714123,-3.062317400896456,0.5260639264189496,0.3391366442434866,0.816022860922783,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,finger[5],finger[5],,,0.006886814235602763,-0.8580233893247297,0.23565901674779896,0.2831679760888622,-3.0300862448353607,0.42399933619691027,0.23440596475012787,0.7669405396191927,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,condition[C]:finger[2],condition[C]:finger[2],,,0.9322672636214459,0.033795439662756735,0.42446986477747833,0.39239454276497643,0.0861261714411722,1.0343729933966441,0.4549827480321502,2.3515781512505396,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,condition[C]:finger[3],condition[C]:finger[3],,,0.01847491958715866,1.1905766033350729,0.4740669567625602,0.4620298808504337,2.576838972283875,3.2889770959052456,1.250491843670579,8.650492517917579,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,condition[C]:finger[4],condition[C]:finger[4],,,0.18686389464051661,0.6042040119991967,0.4387043355137079,0.4412386066549764,1.3693362341515372,1.8297951340850176,0.7266437090161142,4.607691763071409,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,fixed_effect,condition[C]:finger[5],condition[C]:finger[5],,,0.241951724178105,0.3569737497088011,0.42113167800762014,0.29556196664478374,1.2077797213259989,1.4289983577385137,0.7697845903636789,2.6527373137654324,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,condition_effect,condition[C],"C vs B, additive model",,,6.524859025220749e-06,1.1913687570371523,0.12236281258981656,0.1936839894575431,6.151095712009323,3.291583503489235,2.1945642515172743,4.936980976041923,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,simple_effect,C vs B | finger 1,1 thumb,,,0.0069575348815986175,0.7438633433006908,,0.24586614826793712,3.0254809315597697,2.1040484944455367,1.2576684632411548,3.5200215290201315,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,simple_effect,C vs B | finger 2,2 index,,,0.06226105354744097,0.7776587829634476,,0.39257151270949087,1.9809353398980007,2.1763709394513318,0.956951243351666,4.949667497686341,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,simple_effect,C vs B | finger 3,3 middle,,,6.156962536130578e-05,1.9344399466357638,,0.37820952106411604,5.1147309596889485,6.920167306905286,3.135655745536904,15.272312856321225,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,simple_effect,C vs B | finger 4,4 ring,,,0.001055890313661911,1.3480673552998876,,0.34927721676370277,3.859591437972029,3.8499776970153508,1.8533999050803804,7.997371871491915,0.4642762070000281,0.061491166191476127,cluster-robust by participant
20,10799,simple_effect,C vs B | finger 5,5 little,,,9.227664096500695e-06,1.100837093009492,,0.1838666813991748,5.987148321993005,3.006681843164864,2.046231289858133,4.417944223032589,0.4642762070000281,0.061491166191476127,cluster-robust by participant
