condition,finger_id,p_fitted,p_median_participant,observed
B,1,0.9679644801861294,0.9709291478648817,0.9683362311765048
B,2,0.9587155632561183,0.9624248458872742,0.9597959265657346
B,3,0.9409959434827958,0.9459985380528382,0.9407465423582331
B,4,0.9411577356717321,0.9461492976118291,0.9412920304182799
B,5,0.9282112245841215,0.9340414363788905,0.9289297571002658
C,1,0.9844545603309158,0.9859693467735509,0.9846337797479439
C,2,0.9805000218075415,0.9823770250821777,0.9817482202523781
C,3,0.9909156000608491,0.991818542455657,0.9909345764180847
C,4,0.98386237513552,0.9854319928733372,0.9844501370485774
C,5,0.9746571598153017,0.9770524951869357,0.9740035897041283
