condition,difficulty,n_participants,mean_rt_correct_key_ms,rt_sd,rt_ci95_lo,rt_ci95_hi,main_finger_accuracy,fa_sd,fa_ci95_lo,fa_ci95_hi,centroid_level
A,all,7,481.04305252454526,37.12261662474891,446.71035837270546,515.375746676385,16.725050173326036,2.0883973758660024,14.793604739457802,18.65649560719427,group
B,all,7,1019.3481461739638,159.37526780296713,871.9506073593399,1166.7456849885875,95.55555555555556,3.520142575156355,92.29996666144886,98.81114444966225,group
C,all,7,779.3838025052885,70.7497255074239,713.9512196750787,844.8163853354982,98.04232804232802,1.7334267901665754,96.43917564542187,99.64548043923418,group
A,α,7,443.82180738452826,46.82545268471584,400.51548655600106,487.12812821305545,17.936507936507937,4.555491030643822,13.723381425316012,22.14963444769986,group
A,β,7,453.764526388589,35.79150123533544,420.66290864516895,486.866144132009,17.3015873015873,3.787413792205984,13.798813758744474,20.80436084443013,group
A,γ,7,545.5428238005186,51.616587188981796,497.8054425961011,593.2802050049361,14.937055281882868,3.663326071214204,11.549043740217765,18.32506682354797,group
B,α,7,948.794345138028,131.9381712512475,826.7718884154538,1070.8168018606023,95.3968253968254,5.188963098389618,90.59783493710054,100.19581585655027,group
B,β,7,979.9762308340195,145.55571144210737,845.3596499633784,1114.5928117046606,95.3968253968254,6.460661951477106,89.42170965968164,101.37194113396917,group
B,γ,7,1129.2738625498441,245.54651026638314,902.1812165156466,1356.3665085840416,95.87301587301587,2.7751310141679038,93.30644775353714,98.4395839924946,group
C,α,7,739.8239605010501,74.66459664440912,670.7707257445866,808.8771952575137,97.14285714285715,2.7108335359681517,94.63575427271904,99.64996001299527,group
C,β,7,804.3427033703641,121.06586905361277,692.3754491097012,916.309957631027,98.4126984126984,1.7981635415837485,96.74967450648415,100.07572231891265,group
C,γ,7,793.9847436444513,76.19932966021966,723.5121175835121,864.4573697053905,98.57142857142857,1.7817416127494992,96.92359241627585,100.21926472658129,group
