participant_id,condition,difficulty,n_trials,mean_rt_correct_key_ms,main_finger_accuracy,valid_event_count,centroid_level
P01,A,all,9,477.36026181115045,17.407407407407405,270,participant
P01,B,all,9,1041.412971637867,98.14814814814815,270,participant
P01,C,all,9,706.3370458619956,98.88888888888889,270,participant
P02,A,all,9,443.28670548929676,13.001277139208172,269,participant
P02,B,all,9,793.2141818987856,88.51851851851853,270,participant
P02,C,all,9,668.2258221381469,95.92592592592592,270,participant
P03,A,all,9,479.2747421500414,18.14814814814815,270,participant
P03,B,all,9,951.2561944557181,96.66666666666667,270,participant
P03,C,all,9,768.985179374958,98.51851851851852,270,participant
P04,A,all,9,476.9606780296824,15.925925925925924,270,participant
P04,B,all,9,1276.6898539178976,98.14814814814815,270,participant
P04,C,all,9,861.9913692827578,99.62962962962962,270,participant
P05,A,all,9,557.6553324629978,15.925925925925927,270,participant
P05,B,all,9,1108.8104836451703,93.70370370370371,270,participant
P05,C,all,9,832.5903053636904,97.77777777777777,270,participant
P06,A,all,9,482.3550813499539,17.037037037037038,270,participant
P06,B,all,9,1079.8245880338882,95.55555555555556,270,participant
P06,C,all,9,788.1622773629647,100.0,270,participant
P07,A,all,9,450.40856637869456,19.62962962962963,270,participant
P07,B,all,9,884.2287496284202,98.14814814814815,270,participant
P07,C,all,9,829.3946181525064,95.55555555555556,270,participant
P08,A,all,9,628.4592600770076,22.22222222222222,270,participant
P08,B,all,9,1161.3388084860705,88.51851851851852,270,participant
P08,C,all,9,714.44282884951,98.14814814814815,270,participant
P09,A,all,9,417.70887186091824,18.88888888888889,270,participant
P09,B,all,9,975.8858715741875,94.44444444444444,270,participant
P09,C,all,9,655.6149226647835,99.25925925925927,270,participant
P10,A,all,9,468.91216123393366,25.185185185185183,270,participant
P10,B,all,9,958.0545023200591,92.5925925925926,270,participant
P10,C,all,9,642.3610940594631,99.25925925925927,270,participant
P11,A,all,9,384.68499817001714,22.59259259259259,270,participant
P11,B,all,9,742.7937528769958,93.33333333333333,270,participant
P11,C,all,9,514.5555984319246,96.66666666666667,270,participant
P12,A,all,9,508.47204712006624,16.296296296296298,270,participant
P12,B,all,9,943.0992590513265,94.07407407407408,270,participant
P12,C,all,9,728.4600346176712,98.14814814814815,270,participant
P13,A,all,9,472.634763735921,21.85185185185185,270,participant
P13,B,all,9,882.7013341555345,93.70370370370371,270,participant
P13,C,all,9,658.6251550250583,99.62962962962962,270,participant
P14,A,all,9,567.506503419401,17.037037037037038,270,participant
P14,B,all,9,1013.3541030749813,95.18518518518518,270,participant
P14,C,all,9,867.2385648444847,97.03703703703704,270,participant
P01,A,alpha,3,467.7019755045573,14.444444444444445,90,participant
P01,A,beta,3,445.136030515035,21.11111111111111,90,participant
P01,A,gamma,3,519.242779413859,16.666666666666668,90,participant
P01,B,alpha,3,1101.810081799825,98.8888888888889,90,participant
P01,B,beta,3,965.8127864201864,100.0,90,participant
P01,B,gamma,3,1056.6160466935899,95.55555555555556,90,participant
P01,C,alpha,3,669.4458060794406,97.77777777777777,90,participant
P01,C,beta,3,740.6428866916232,100.0,90,participant
P01,C,gamma,3,708.9224448149231,98.8888888888889,90,participant
P02,A,alpha,3,399.93501050131664,14.444444444444443,90,participant
P02,A,beta,3,421.19973482300037,12.222222222222221,90,participant
P02,A,gamma,3,508.7253711435733,12.337164750957854,89,participant
P02,B,alpha,3,735.1739377354297,93.33333333333333,90,participant
P02,B,beta,3,763.3962585348532,81.11111111111111,90,participant
P02,B,gamma,3,881.0723494260739,91.11111111111113,90,participant
P02,C,alpha,3,659.2654122246636,93.33333333333333,90,participant
P02,C,beta,3,629.5186440149943,98.8888888888889,90,participant
P02,C,gamma,3,715.8934101747827,95.55555555555554,90,participant
P03,A,alpha,3,410.7207257889892,25.555555555555554,90,participant
P03,A,beta,3,463.34055630183303,15.555555555555557,90,participant
P03,A,gamma,3,563.7629443593017,13.333333333333334,90,participant
P03,B,alpha,3,862.5817038547034,97.77777777777777,90,participant
P03,B,beta,3,995.713658899183,95.55555555555554,90,participant
P03,B,gamma,3,995.4732206132676,96.66666666666667,90,participant
P03,C,alpha,3,680.4604609807333,98.8888888888889,90,participant
P03,C,beta,3,744.8941665590951,97.77777777777777,90,participant
P03,C,gamma,3,881.6009105850453,98.8888888888889,90,participant
