condition,repetition,metric,n,mean,sd,sem,ci95_lo,ci95_hi
B,1,fa_main,15,0.9400000000000001,0.052419418295723955,0.013534635605147949,0.9109710937282605,0.9690289062717397
B,2,fa_main,15,0.9355555555555557,0.03391034969708342,0.00875561464272492,0.9167766298253011,0.9543344812858103
B,3,fa_main,15,0.9540740740740741,0.03356182708833579,0.008665626492094498,0.935488153731362,0.9726599944167862
C,1,fa_main,15,0.9792592592592594,0.01775130303817735,0.004583366736022799,0.9694289152979924,0.9890896032205264
C,2,fa_main,15,0.9844444444444445,0.01820905447580948,0.004701557648999583,0.974360606186392,0.9945282827024969
C,3,fa_main,15,0.9807407407407408,0.01899905625924392,0.004905535232380632,0.970219414077219,0.9912620674042626
B,1,rt_correct_key_s,15,1.0696717338077817,0.19095089392686185,0.04930330880814366,0.9639266534057745,1.1754168142097887
B,2,rt_correct_key_s,15,0.9480546071622978,0.13450104634933135,0.03472802083722881,0.8735704103728774,1.0225388039517183
B,3,rt_correct_key_s,15,0.9270333808120033,0.13215390550200962,0.03412199167637013,0.8538489872992825,1.000217774324724
C,1,rt_correct_key_s,15,0.796542199312651,0.09894417543429622,0.02554727624408362,0.7417487413117817,0.8513356573135203
C,2,rt_correct_key_s,15,0.6970647606112796,0.10074536438766463,0.026012341232068192,0.6412738374151644,0.7528556838073949
C,3,rt_correct_key_s,15,0.681073742089448,0.10892907651508839,0.028125366617379383,0.620750830175685,0.7413966540032111
