participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P01,1,B,beta,1.0,0.9851851851851853,1.0533342599868774,0.9613964823166222
P01,2,C,alpha,1.0,1.0074074074074075,0.8410554885864258,1.0454846912569162
P01,3,C,gamma,0.9666666666666667,0.962962962962963,0.670383724673041,0.8353362886080492
P01,4,B,beta,1.0,0.9851851851851853,0.9150330940882365,0.8230953164179814
P01,5,C,alpha,1.0,1.0074074074074075,0.5491530895233154,0.753582292193806
P01,7,B,beta,1.0,0.9851851851851853,0.9290710051854452,0.83713322751519
P01,8,B,alpha,1.0,0.9962962962962963,0.8947184960047404,0.6667834229548466
P01,9,C,alpha,0.9333333333333333,0.9407407407407408,0.6181288401285807,0.8225580427990713
P01,11,C,beta,1.0,0.9851851851851853,0.8223337173461914,0.9555658394044994
P01,12,C,beta,1.0,0.9851851851851853,0.7203103939692179,0.8535425160275258
P01,13,B,gamma,1.0,1.0296296296296297,1.0769721349080403,0.8942310969643817
P01,14,B,alpha,0.9666666666666667,0.962962962962963,1.0989284753799438,0.87099340233005
P01,15,C,gamma,1.0,0.9962962962962963,0.8024236996968587,0.9673762636318669
P01,16,B,alpha,1.0,0.9962962962962963,1.3117832740147908,1.0838482009648969
P01,20,B,gamma,0.9,0.9296296296296297,0.9529014031092325,0.770160365165574
P01,22,B,gamma,0.9666666666666667,0.9962962962962963,1.1399746020634969,0.9572335641198383
P01,25,C,beta,1.0,0.9851851851851853,0.6792845487594604,0.8125166708177683
P01,26,C,gamma,1.0,0.9962962962962963,0.6539599100748698,0.818912474009878
P02,3,C,beta,1.0,0.9333333333333331,0.6396617333094279,0.7408630913129
P02,5,C,alpha,0.9666666666666667,0.9555555555555553,0.6074701588729332,0.6789247486667359
P02,6,C,alpha,0.8666666666666667,0.8555555555555553,0.7035695273300697,0.7750241171238724
P02,7,C,beta,0.9666666666666667,0.8999999999999998,0.6219715754191081,0.7231729334225802
P02,8,B,beta,0.5333333333333333,0.6444444444444442,0.7185071221104374,0.6858308655940505
P02,9,C,gamma,0.9333333333333333,0.8999999999999998,0.7815922375383049,0.7964188293819884
P02,10,B,beta,0.9,1.0111111111111108,0.7721298645282614,0.7394536080118744
P02,12,C,gamma,1.0,0.9666666666666665,0.7018710613250733,0.7166976531687568
P02,13,B,gamma,1.0,1.011111111111111,0.9648047049840291,0.8144523575764215
P02,14,B,alpha,0.9,0.8888888888888888,0.725900386941844,0.7214464512248806
P02,15,C,beta,1.0,0.9333333333333331,0.626922623316447,0.7281239813199191
P02,16,C,gamma,0.9333333333333333,0.8999999999999998,0.6642169316609701,0.6790435235046536
P02,18,B,alpha,0.9,0.8888888888888888,0.7214109420776367,0.7169570063606733
P02,19,B,alpha,1.0,0.9888888888888888,0.7582104841868083,0.7537565484698449
P02,21,B,gamma,0.8333333333333334,0.8444444444444443,0.7855424972680899,0.6351901498604823
P02,24,B,gamma,0.9,0.911111111111111,0.8928698460261028,0.7425174986184951
P02,25,B,beta,1.0,1.1111111111111107,0.799551788965861,0.766875532449474
P02,26,C,alpha,0.9666666666666667,0.9555555555555553,0.6667565504709879,0.7382111402647906
P03,1,B,beta,1.0,1.0203703703703701,1.0973156849543253,0.9617227129704801
P03,2,C,gamma,1.0,0.9870370370370369,1.0092193921407064,0.987739168470999
P03,5,C,beta,0.9333333333333333,0.9314814814814814,0.8755234274370917,0.9907499477933343
P03,6,B,beta,0.9333333333333333,0.9537037037037036,0.9597998651964911,0.8242068932126458
P03,9,B,alpha,1.0,0.998148148148148,0.8704930464426677,0.8680320295033022
P03,10,B,beta,0.9333333333333333,0.9537037037037036,0.9300254265467326,0.7944324545628874
P03,11,B,alpha,1.0,0.998148148148148,0.8859164794286092,0.8834554624892437
P03,12,C,gamma,0.9666666666666667,0.9537037037037036,0.8098181033956593,0.7883378797259518
P03,13,C,alpha,1.0,0.9870370370370369,0.7152598857879638,0.8949201117225685
P03,15,B,gamma,1.0,1.009259259259259,0.998242727915446,0.8628901942175161
P03,16,C,beta,1.0,0.998148148148148,0.6672248919804891,0.7824514123367317
P03,18,B,gamma,0.9333333333333333,0.9425925925925925,0.9703583399454753,0.8350058062475454
P03,19,C,beta,1.0,0.998148148148148,0.6919341802597045,0.8071607006159471
P03,20,C,gamma,1.0,0.9870370370370369,0.8257652362187703,0.8042850125490628
P03,21,B,alpha,0.9333333333333333,0.9314814814814814,0.8313355856928332,0.8288745687534677
P03,22,C,alpha,0.9666666666666667,0.9537037037037036,0.6152512550354003,0.794911480970005
P03,25,C,alpha,1.0,0.9870370370370369,0.7108702421188354,0.89053046805344
P03,26,B,gamma,0.9666666666666667,0.9759259259259259,1.0178185939788817,0.8824660602809519
P04,1,B,gamma,0.9666666666666667,0.9666666666666667,2.03786432332006,1.5246964146807733
P04,2,C,beta,1.0,0.9888888888888889,1.0554901997248332,1.1835098489490963
P04,4,B,alpha,0.9666666666666667,0.9777777777777777,1.1696922620137533,1.1460577631362099
P04,5,C,beta,1.0,0.9888888888888889,0.8118820349375407,0.9399016841618039
P04,6,B,gamma,1.0,1.0,1.3677818377812703,0.8546139291419836
P04,7,B,beta,1.0,1.011111111111111,1.1552588542302449,1.0700135347943653
P04,9,C,beta,1.0,0.9888888888888889,0.9565906524658203,1.0846103016900834
P04,10,C,alpha,1.0,1.0,0.831896185874939,1.136650830941182
P04,12,B,gamma,1.0,1.0,1.3418793996175131,0.8287114909782265
P04,13,C,alpha,1.0,1.0,0.6973204453786214,1.0020750904448645
P04,15,C,gamma,1.0,0.9888888888888889,0.9191547393798828,1.1084281720420868
P04,16,C,gamma,1.0,0.9888888888888889,0.9309688886006673,1.1202423212628712
P04,17,C,alpha,0.9666666666666667,0.9666666666666667,0.7645412683486938,1.069295913414937
P04,18,B,beta,0.9333333333333333,0.9444444444444444,1.0834073543548584,0.9981620349189788
P04,19,B,beta,1.0,1.011111111111111,1.2250915845235189,1.1398462650876393
P04,22,B,alpha,1.0,1.011111111111111,0.9995040814081828,0.9758695825306394
P04,23,C,gamma,1.0,0.9888888888888889,0.7900779088338216,0.9793513414960255
P04,24,B,alpha,0.9666666666666667,0.9777777777777777,1.109728988011678,1.0860944891341346
P05,2,B,gamma,1.0,0.9796296296296296,1.4836909770965576,1.1464290652604523
P05,3,C,beta,0.9,0.9018518518518519,0.9898947954177857,0.9826038235358022
P05,5,B,gamma,0.9666666666666667,0.9462962962962963,1.2525228341420491,0.9152609223059438
P05,6,B,beta,1.0,0.9685185185185186,1.2205926815668742,1.0959388925563913
P05,7,C,beta,1.0,1.001851851851852,1.1552634874979655,1.1479725156159821
P05,8,B,alpha,1.0,1.1129629629629632,1.0825294891993205,1.1301149226236884
P05,9,C,alpha,1.0,0.9796296296296296,0.9278376658757528,1.154412622643672
P05,10,B,beta,1.0,0.9685185185185186,0.9908519585927328,0.8661981695822499
P05,11,B,beta,0.9666666666666667,0.9351851851851852,1.0746179103851319,0.949964121374649
P05,14,B,gamma,0.9666666666666667,0.9462962962962963,1.1876731077829996,0.8504111959468943
P05,16,C,gamma,1.0,0.9574074074074075,0.7329068819681803,0.927953164504464
P05,18,C,beta,0.9666666666666667,0.9685185185185186,0.7888158162434896,0.7815248443615062
P05,19,C,alpha,1.0,0.9796296296296296,0.5754099766413371,0.8019849334092561
P05,21,C,alpha,0.9333333333333333,0.912962962962963,0.7291286706924438,0.9557036274603629
P05,24,C,gamma,1.0,0.9574074074074075,0.8081661303838094,1.003212412920093
P05,25,B,alpha,0.7333333333333333,0.8462962962962963,0.8267001738915076,0.8742856073158757
P05,26,B,alpha,0.8,0.9129629629629631,0.8601152201493582,0.9077006535737262
P05,27,C,gamma,1.0,0.9574074074074075,0.7858893235524496,0.9809356060887332
P06,2,B,alpha,0.9666666666666667,0.9777777777777779,1.1344669500986735,1.050201866803346
P06,3,C,gamma,1.0,0.9777777777777779,0.7148908535639446,0.9060116083533675
P06,4,B,beta,0.9333333333333333,0.9444444444444445,0.8972330411275228,0.7599934688320866
P06,6,C,beta,1.0,0.9777777777777779,0.890500275293986,1.0066105582095959
P06,9,C,gamma,1.0,0.9777777777777779,0.8505030314127604,1.0416237862021833
P06,10,C,alpha,1.0,0.9777777777777779,0.9357915719350179,1.0660540002363699
P06,11,C,alpha,1.0,0.9777777777777779,0.7244583288828532,0.8547207571842053
P06,12,B,beta,0.9666666666666667,0.9777777777777779,1.3821003595987955,1.2448607873033595
P06,15,B,gamma,0.9666666666666667,1.011111111111111,1.211894702911377,0.9959058924957557
P06,16,C,gamma,1.0,0.9777777777777779,0.6632241487503052,0.8543449035397281
