participant,condition,level,repetition,fa_main,rt_correct_key_s,rt_complete_s
P01,B,alpha,1,1.0,0.8947184960047404,0.8947184960047404
P01,B,alpha,2,0.9666666666666667,1.0989284753799438,1.0992005611288136
P01,B,alpha,3,1.0,1.3117832740147908,1.3117832740147908
P01,B,beta,1,1.0,1.0533342599868774,1.0533342599868774
P01,B,beta,2,1.0,0.9150330940882365,0.9150330940882365
P01,B,beta,3,1.0,0.9290710051854452,0.9290710051854452
P01,B,gamma,1,1.0,1.0769721349080403,1.0769721349080403
P01,B,gamma,2,0.9,0.9529014031092325,0.9247702316001609
P01,B,gamma,3,0.9666666666666667,1.1399746020634969,1.1153122392194024
P01,C,alpha,1,1.0,0.8410554885864258,0.8410554885864258
P01,C,alpha,2,1.0,0.5491530895233154,0.5491530895233154
P01,C,alpha,3,0.9333333333333333,0.6181288401285807,0.6235838276999337
P01,C,beta,1,1.0,0.8223337173461914,0.8223337173461914
P01,C,beta,2,1.0,0.7203103939692179,0.7203103939692179
P01,C,beta,3,1.0,0.6792845487594604,0.6792845487594604
P01,C,gamma,1,0.9666666666666667,0.670383724673041,0.670383724673041
P01,C,gamma,2,1.0,0.8024236996968587,0.8024236996968587
P01,C,gamma,3,1.0,0.6539599100748698,0.6539599100748698
P02,B,alpha,1,0.9,0.725900386941844,0.7247506424232766
P02,B,alpha,2,0.9,0.7214109420776367,0.7237331160792598
P02,B,alpha,3,1.0,0.7582104841868083,0.7582104841868083
P02,B,beta,1,0.5333333333333333,0.7185071221104374,0.7994344085454941
P02,B,beta,2,0.9,0.7721298645282614,0.7679803724642154
P02,B,beta,3,1.0,0.799551788965861,0.799551788965861
P02,B,gamma,1,1.0,0.9648047049840291,0.9648047049840291
P02,B,gamma,2,0.8333333333333334,0.7855424972680899,0.7774254035949707
P02,B,gamma,3,0.9,0.8928698460261028,0.8723360697428385
P02,C,alpha,1,0.9666666666666667,0.6074701588729332,0.6074701588729332
P02,C,alpha,2,0.8666666666666667,0.7035695273300697,0.7111113713337824
P02,C,alpha,3,0.9666666666666667,0.6667565504709879,0.6626969452562004
P02,C,beta,1,1.0,0.6396617333094279,0.6396617333094279
P02,C,beta,2,0.9666666666666667,0.6219715754191081,0.6217780442073427
P02,C,beta,3,1.0,0.626922623316447,0.626922623316447
P02,C,gamma,1,0.9333333333333333,0.7815922375383049,0.7817624637058803
P02,C,gamma,2,1.0,0.7018710613250733,0.7018710613250733
P02,C,gamma,3,0.9333333333333333,0.6642169316609701,0.661344187600272
P03,B,alpha,1,1.0,0.8704930464426677,0.8704930464426677
P03,B,alpha,2,1.0,0.8859164794286092,0.8859164794286092
P03,B,alpha,3,0.9333333333333333,0.8313355856928332,0.8251283168792725
P03,B,beta,1,1.0,1.0973156849543253,1.0973156849543253
P03,B,beta,2,0.9333333333333333,0.9597998651964911,0.9646574940000262
P03,B,beta,3,0.9333333333333333,0.9300254265467326,0.928882930959974
P03,B,gamma,1,1.0,0.998242727915446,0.998242727915446
P03,B,gamma,2,0.9333333333333333,0.9703583399454753,0.9568030493600028
P03,B,gamma,3,0.9666666666666667,1.0178185939788817,1.0201631989972344
P03,C,alpha,1,1.0,0.7152598857879638,0.7152598857879638
P03,C,alpha,2,0.9666666666666667,0.6152512550354003,0.6219941007679907
P03,C,alpha,3,1.0,0.7108702421188354,0.7108702421188354
P03,C,beta,1,0.9333333333333333,0.8755234274370917,0.8909274765423366
P03,C,beta,2,1.0,0.6672248919804891,0.6672248919804891
P03,C,beta,3,1.0,0.6919341802597045,0.6919341802597045
P03,C,gamma,1,1.0,1.0092193921407064,1.0092193921407064
P03,C,gamma,2,0.9666666666666667,0.8098181033956593,0.8098181033956593
P03,C,gamma,3,1.0,0.8257652362187703,0.8257652362187703
P04,B,alpha,1,0.9666666666666667,1.1696922620137533,1.181526726689832
P04,B,alpha,2,1.0,0.9995040814081828,0.9995040814081828
P04,B,alpha,3,0.9666666666666667,1.109728988011678,1.1140925802033523
P04,B,beta,1,1.0,1.1552588542302449,1.1552588542302449
P04,B,beta,2,0.9333333333333333,1.0834073543548584,1.078934873853411
P04,B,beta,3,1.0,1.2250915845235189,1.2250915845235189
P04,B,gamma,1,0.9666666666666667,2.03786432332006,2.03786432332006
P04,B,gamma,2,1.0,1.3677818377812703,1.3677818377812703
P04,B,gamma,3,1.0,1.3418793996175131,1.3418793996175131
P04,C,alpha,1,1.0,0.831896185874939,0.831896185874939
P04,C,alpha,2,1.0,0.6973204453786214,0.6973204453786214
P04,C,alpha,3,0.9666666666666667,0.7645412683486938,0.7671312545907909
P04,C,beta,1,1.0,1.0554901997248332,1.0554901997248332
P04,C,beta,2,1.0,0.8118820349375407,0.8118820349375407
P04,C,beta,3,1.0,0.9565906524658203,0.9565906524658203
P04,C,gamma,1,1.0,0.9191547393798828,0.9191547393798828
P04,C,gamma,2,1.0,0.9309688886006673,0.9309688886006673
P04,C,gamma,3,1.0,0.7900779088338216,0.7900779088338216
P05,B,alpha,1,1.0,1.0825294891993205,1.0825294891993205
P05,B,alpha,2,0.7333333333333333,0.8267001738915076,0.8700481111353094
P05,B,alpha,3,0.8,0.8601152201493582,0.8601152201493582
P05,B,beta,1,1.0,1.2205926815668742,1.2205926815668742
P05,B,beta,2,1.0,0.9908519585927328,0.9908519585927328
P05,B,beta,3,0.9666666666666667,1.0746179103851319,1.0728649353158886
P05,B,gamma,1,1.0,1.4836909770965576,1.4836909770965576
P05,B,gamma,2,0.9666666666666667,1.2525228341420491,1.2519222456833412
P05,B,gamma,3,0.9666666666666667,1.1876731077829996,1.1906096359779095
P05,C,alpha,1,1.0,0.9278376658757528,0.9278376658757528
P05,C,alpha,2,1.0,0.5754099766413371,0.5754099766413371
P05,C,alpha,3,0.9333333333333333,0.7291286706924438,0.7282482215336391
P05,C,beta,1,0.9,0.9898947954177857,0.967666749601011
P05,C,beta,2,1.0,1.1552634874979655,1.1552634874979655
P05,C,beta,3,0.9666666666666667,0.7888158162434896,0.7581032226825583
P05,C,gamma,1,1.0,0.7329068819681803,0.7329068819681803
P05,C,gamma,2,1.0,0.8081661303838094,0.8081661303838094
P05,C,gamma,3,1.0,0.7858893235524496,0.7858893235524496
P06,B,alpha,1,0.9666666666666667,1.1344669500986735,1.1187881519054543
P06,B,alpha,2,0.9666666666666667,1.1048495531082154,1.0805607335320835
P06,B,alpha,3,0.9666666666666667,0.8154590447743734,0.8030386628775761
P06,B,beta,1,0.9333333333333333,0.8972330411275228,0.8554034318242755
P06,B,beta,2,0.9666666666666667,1.3821003595987955,1.365548273612713
P06,B,beta,3,1.0,0.9343656142552693,0.9343656142552693
P06,B,gamma,1,0.9666666666666667,1.211894702911377,1.205880280198722
P06,B,gamma,2,0.8666666666666667,1.207038982709249,1.239983787903419
P06,B,gamma,3,0.9666666666666667,1.031013043721517,1.0318261179430732
