participant,n_trials,n_analyzed,n_events,n_valid_events,excluded_carryover,suspected_carryover,manual_corrections,unresolved_rate,ambiguous_rate,borderline_events,qc_extra_presses,sync_methods
P01,27,27,810,810,0,0,6,0.0,0.012345679012345678,8,4,"auto, manual"
P02,27,27,810,809,1,0,106,0.0,0.17905491698595147,41,57,manual
P03,27,27,810,810,0,0,17,0.0,0.037037037037037035,3,27,"auto, manual"
P04,27,27,810,810,0,0,1,0.0,0.009876543209876543,6,17,"auto, manual"
P05,27,27,810,810,0,0,62,0.0,0.1654320987654321,54,18,"auto, manual"
P06,27,27,810,810,0,0,1,0.0,0.009876543209876543,5,12,auto
P07,27,27,810,810,0,0,5,0.0,0.02469135802469136,20,26,"auto, manual"
P08,27,27,810,810,0,1,47,0.0,0.2419753086419753,69,5,"auto, manual"
P09,27,27,810,810,0,0,19,0.0,0.04691358024691358,17,16,"auto, manual"
P10,27,27,810,810,0,0,71,0.0,0.2793103448275862,110,31,"auto, manual"
P11,27,27,810,810,0,0,59,0.0,0.18765432098765433,71,16,"auto, manual"
P12,27,27,810,810,0,0,96,0.0,0.20246913580246914,107,9,"auto, manual"
P13,27,27,810,810,0,0,42,0.0,0.24567901234567902,56,6,"auto, manual"
P14,27,27,810,810,0,0,41,0.0,0.2679012345679012,98,15,"auto, manual"
P15,27,27,810,810,0,0,23,0.0,0.11851851851851852,38,33,"auto, manual"
