condition,metric,n,mean,sd,sem,ci95_lo,ci95_hi
A,key_accuracy,13,0.9911484428725809,0.008262242598351741,0.002291533795283079,0.986155619639802,0.9961412661053597
B,key_accuracy,13,0.9880341880341881,0.014034532347130957,0.0038924789234414336,0.9795532050165846,0.9965151710517915
C,key_accuracy,13,0.9971509971509972,0.0037508865447543126,0.0010403087511968944,0.9948843590970743,0.9994176352049201
A,fa_main,13,0.18777876019255327,0.03400443139256015,0.00943113238299023,0.1672300879582041,0.20832743242690244
B,fa_main,13,0.9427350427350428,0.032025630761017436,0.008882311833686552,0.9233821477547015,0.9620879377153841
C,fa_main,13,0.9826210826210826,0.014375000477892337,0.003986907792912321,0.973934356771185,0.9913078084709802
A,fa_given_key,13,0.18922033692148632,0.03382807928393933,0.009382221108361876,0.16877823319981278,0.20966244064315986
B,fa_given_key,13,0.953803678501586,0.02817787805146102,0.007815137242178003,0.9367759572127183,0.9708313997904536
C,fa_given_key,13,0.9854013164357992,0.012485016670471015,0.0034627205984927648,0.9778566963702502,0.9929459365013482
A,rt_correct_key_s,13,0.48062872845151383,0.060734489974514985,0.01684471675325134,0.4439272434774193,0.5173302134256084
B,rt_correct_key_s,13,0.9845623501293783,0.14816881975972682,0.04109463669759054,0.8950248284621544,1.0740998717966024
C,rt_correct_key_s,13,0.7207497116296484,0.09615995920240646,0.026669974119292447,0.6626408298516411,0.7788585934076557
A,rt_complete_s,13,0.4866848954577376,0.07650768631074507,0.021219414304654287,0.4404517633327325,0.5329180275827426
B,rt_complete_s,13,0.9836381433701529,0.14700570887035186,0.04077204777830654,0.8948034825789734,1.0724728041613325
C,rt_complete_s,13,0.7201201007438757,0.0952897426621754,0.02642861947648014,0.6625370855581275,0.7777031159296238
