participant,condition,fa_main
P01,B,0.9814814814814815
P01,C,0.9888888888888889
P02,B,0.8851851851851852
P02,C,0.9592592592592593
P03,B,0.9666666666666666
P03,C,0.9851851851851853
P04,B,0.9814814814814815
P04,C,0.9962962962962963
P05,B,0.9370370370370371
P05,C,0.9777777777777779
P06,B,0.9555555555555555
P06,C,1.0
P07,B,0.9814814814814815
P07,C,0.9555555555555555
P08,B,0.8851851851851851
P08,C,0.9814814814814815
P09,B,0.9444444444444444
P09,C,0.9925925925925926
P10,B,0.925925925925926
P10,C,0.9925925925925926
P11,B,0.9333333333333333
P11,C,0.9666666666666666
P12,B,0.9407407407407408
P12,C,0.9814814814814815
P13,B,0.9370370370370371
P13,C,0.9962962962962963
