condition,theta,n,mean,sd,sem,ci95_lo,ci95_hi
B,0.3,20,0.9287037037037038,0.04999277978335587,0.011178725397976092,0.9059212962962961,0.9485185185185185
B,0.35,20,0.9129629629629632,0.06478278239366264,0.01448587052038062,0.8835185185185184,0.938337962962963
B,0.4,20,0.8957407407407407,0.07389134381593587,0.01652260677212413,0.8627777777777776,0.9246296296296297
B,0.45,20,0.8607407407407408,0.09868385194746301,0.02206638012360523,0.816662037037037,0.9012962962962963
B,0.5,20,0.8148148148148149,0.13003278994231948,0.029076215761497732,0.7592592592592593,0.8700046296296297
C,0.3,20,0.9559259259259258,0.03584635789909473,0.008015489300816237,0.9396296296296296,0.970185185185185
C,0.35,20,0.9411111111111111,0.04558161824396434,0.010192359691794885,0.9205555555555556,0.9596296296296296
C,0.4,20,0.9157407407407409,0.06421611541863903,0.014359159932704924,0.8872222222222224,0.9420370370370371
C,0.45,20,0.8714814814814815,0.09985260959563484,0.02232772227865873,0.8285185185185184,0.9125925925925926
C,0.5,20,0.8129629629629628,0.1371528934413607,0.030668319304566757,0.7535185185185187,0.8690787037037037
