participant,condition,finger_id,rt_complete_s
P01,B,1,0.864785022513811
P01,B,2,1.1136806910892703
P01,B,3,1.0390959605574608
P01,B,4,1.0829819903081777
P01,B,5,1.0506775677204132
P01,C,1,0.7171357028624591
P01,C,2,0.554966272846345
P01,C,3,0.6506408117711544
P01,C,4,0.840710615707656
P01,C,5,0.8109091569979986
P02,B,1,0.807530560144564
P02,B,2,0.7246833408580107
P02,B,3,0.8264138900627525
P02,B,4,0.814438465663365
P02,B,5,0.8791726231575012
P02,C,1,0.555682304927281
P02,C,2,0.6167607038251816
P02,C,3,0.6945659952648615
P02,C,4,0.7178171852178741
P02,C,5,0.7224551335625027
P03,B,1,0.8867788875804228
P03,B,2,0.8274641623863808
P03,B,3,1.0244662597261627
P03,B,4,1.0004980477419767
P03,B,5,1.0137733196725651
P03,C,1,0.8333627596134092
P03,C,2,0.6337498218294174
P03,C,3,0.7283820696175098
P03,C,4,0.799798641564711
P03,C,5,0.9328187942504883
P04,B,1,1.0404005845387776
P04,B,2,1.1175556006254974
P04,B,3,1.4592876791954041
P04,B,4,1.556030439880659
P04,B,5,1.1516959539481573
P04,C,1,0.8147028022342258
P04,C,2,0.6876000319757769
P04,C,3,0.8452838296475618
P04,C,4,1.0081257280313745
P04,C,5,0.9863772927498331
P05,B,1,1.109553201778515
P05,B,2,1.164942741394043
P05,B,3,0.9935622476041317
P05,B,4,1.177758754383434
P05,B,5,1.2278630960555303
P05,C,1,0.7963827800750732
P05,C,2,0.7279108608922651
P05,C,3,0.8126512220350363
P05,C,4,0.8879682603089706
P05,C,5,0.9430760728551987
P06,B,1,1.1672453740063835
P06,B,2,0.8627289516825072
P06,B,3,1.0751129583878951
P06,B,4,1.1498910140991212
P06,B,5,1.2379494943926412
P06,C,1,0.7023042440414429
P06,C,2,0.6267618953057055
P06,C,3,0.7919041935135337
P06,C,4,0.9300499482588335
P06,C,5,0.8361574187874794
P07,B,1,0.7920363103189776
P07,B,2,0.8547528284900593
P07,B,3,0.8985564190408458
P07,B,4,0.9342460883291144
P07,B,5,0.8945146864110773
P07,C,1,0.8480919996897379
P07,C,2,0.8395131324466906
P07,C,3,0.7769252939044304
P07,C,4,0.7743342822452761
P07,C,5,0.9141475032357609
