participant,condition,level,rt_complete_s
P01,B,alpha,1.1019007770494482
P01,B,beta,0.9658127864201864
P01,B,gamma,1.0390182019092011
P01,C,alpha,0.6712641352698917
P01,C,beta,0.7406428866916234
P01,C,gamma,0.7089224448149231
P02,B,alpha,0.735564747563115
P02,B,beta,0.7889888566585235
P02,B,gamma,0.8715220594406127
P02,C,alpha,0.6604261584876386
P02,C,beta,0.6294541336110725
P02,C,gamma,0.7149925708770751
P03,B,alpha,0.8605126142501831
P03,B,beta,0.9969520366381085
P03,B,gamma,0.9917363254242278
P03,C,alpha,0.6827080762249299
P03,C,beta,0.7500288495941767
P03,C,gamma,0.8816009105850453
P04,B,alpha,1.0983744627671224
P04,B,beta,1.1530951042023916
P04,B,gamma,1.5825085202396145
P04,C,alpha,0.7654492952814506
P04,C,beta,0.9413209623760648
P04,C,gamma,0.8800671789381239
P05,B,alpha,0.9375642734946626
P05,B,beta,1.0947698584918317
P05,B,gamma,1.3087409529192693
P05,C,alpha,0.7438319546835763
P05,C,beta,0.9603444865938449
P05,C,gamma,0.7756541119681465
P06,B,alpha,1.0007958494383713
P06,B,beta,1.0517724398974193
P06,B,gamma,1.1592300620150715
P06,C,alpha,0.8037310043970743
P06,C,beta,0.8178831497828165
P06,C,gamma,0.7428726779090035
P07,B,alpha,0.9074851416993415
P07,B,beta,0.8131559907248193
P07,B,gamma,0.9334015524576581
P07,C,alpha,0.8512928754068425
P07,C,beta,0.7828682528145011
P07,C,gamma,0.8476642051941069
P08,B,alpha,1.0570252715216741
P08,B,beta,1.1313914242859466
P08,B,gamma,1.2798766030205622
P08,C,alpha,0.6516491628698006
P08,C,beta,0.7550570670672303
P08,C,gamma,0.7302107819804439
P09,B,alpha,1.0053338049421314
P09,B,beta,0.8370090115246515
P09,B,gamma,1.0651394723069674
P09,C,alpha,0.6733275359617795
P09,C,beta,0.6653568994953258
P09,C,gamma,0.6284364144007365
P10,B,alpha,0.8518998422943415
P10,B,beta,0.9374950040189307
P10,B,gamma,1.0736021421030042
P10,C,alpha,0.6153706126742894
P10,C,beta,0.5833271956535135
P10,C,gamma,0.7281764843454764
P11,B,alpha,0.6776718621053002
P11,B,beta,0.7653008108212117
P11,B,gamma,0.7789236681163946
P11,C,alpha,0.4394877749776083
P11,C,beta,0.497962783214233
P11,C,gamma,0.6106233117224157
P12,B,alpha,0.92155699072213
P12,B,beta,0.9161425254795758
P12,B,gamma,1.0088497380310477
P12,C,alpha,0.702446601034581
P12,C,beta,0.7165863534043119
P12,C,gamma,0.7593704889560567
P13,B,alpha,0.8871822105383181
P13,B,beta,0.8592531092961629
P13,B,gamma,0.9153314866064411
P13,C,alpha,0.6051807589001126
P13,C,beta,0.6106415934032864
P13,C,gamma,0.7584517874480207
P14,B,alpha,0.916270727581448
P14,B,beta,1.0453848299526032
P14,B,gamma,1.0921203217392574
P14,C,alpha,0.9306889938929724
P14,C,beta,0.7808187477172367
P14,C,gamma,0.8894657047315576
P15,B,alpha,0.8938498008091079
P15,B,beta,0.8902785730765476
P15,B,gamma,0.9358424673135254
P15,C,alpha,0.5355004291685801
P15,C,beta,0.5931678432418664
P15,C,gamma,0.785763280053705
P16,B,alpha,0.982675403955585
P16,B,beta,0.9453694777144196
P16,B,gamma,1.0653320660028827
P16,C,alpha,0.72939399878184
P16,C,beta,0.8849971583063118
P16,C,gamma,0.8473036789802757
P17,B,alpha,0.7612152154483492
P17,B,beta,0.7670795202255251
P17,B,gamma,1.0460159387298797
P17,C,alpha,0.5803552256690131
P17,C,beta,0.7337571200739835
P17,C,gamma,0.6715897584718372
P18,B,alpha,0.9280297539765286
P18,B,beta,0.9764114535174606
P18,B,gamma,0.9236315776155877
P18,C,alpha,0.6013362228642022
P18,C,beta,0.6128244041026324
P18,C,gamma,0.7061411333266804
