condition,finger_id,n,mean,sd,sem,ci95_lo,ci95_hi
B,1,20,0.9683362311765048,0.0299459428025335,0.006696116375678547,0.9543210985310923,0.9823513638219173
B,2,20,0.9597959265657346,0.03595859968995127,0.00804058732824339,0.9429667838761506,0.9766250692553187
B,3,20,0.9407465423582332,0.03480424055512766,0.007782464778652046,0.9244576563739291,0.9570354283425373
B,4,20,0.9412920304182799,0.04654114480792429,0.01040691635411801,0.9195101041568957,0.9630739566796641
B,5,20,0.9289297571002658,0.061940303620166774,0.013850272944166922,0.8999408026680039,0.9579187115325277
C,1,20,0.9846337797479439,0.019014160929687714,0.004251695637390232,0.9757348785068632,0.9935326809890245
C,2,20,0.9817482202523781,0.023160095750163815,0.0051787548462770274,0.9709089617872366,0.9925874787175195
C,3,20,0.9909345764180848,0.01274844578529516,0.002850639138339066,0.9849681201311034,0.9969010327050662
C,4,20,0.9844501370485774,0.019395274783415607,0.004336915285800481,0.975372869033466,0.9935274050636889
C,5,20,0.9740035897041281,0.026027823462221968,0.005819998256789224,0.9618221933560539,0.9861849860522024
