participant,condition,repetition,rt_complete_s
P01,B,1,1.008341630299886
P01,B,2,0.9796679622724037
P01,B,3,1.1187221728065462
P01,C,1,0.777924310201886
P01,C,2,0.6906290610631306
P01,C,3,0.6522760955114213
P02,B,1,0.8296632519842667
P02,B,2,0.7563796307128152
P02,B,3,0.8100327809651692
P02,C,1,0.6762981186294138
P02,C,2,0.6782534922887328
P02,C,3,0.6503212520576398
P03,B,1,0.988683819770813
P03,B,2,0.9357923409295461
P03,B,3,0.9247248156121604
P03,C,1,0.8718022514903355
P03,C,2,0.6996790320480463
P03,C,3,0.7428565528657701
P04,B,1,1.4582166347467123
P04,B,2,1.1487402643476214
P04,B,3,1.2270211881147948
P04,C,1,0.9355137083265516
P04,C,2,0.8133904563056098
P04,C,3,0.8379332719634776
P05,B,1,1.2622710492875842
P05,B,2,1.0376074384704612
P05,B,3,1.0411965971477188
P05,C,1,0.8761370991483147
P05,C,2,0.8462798648410373
P05,C,3,0.7574135892562156
P06,B,1,1.0600239546428172
P06,B,2,1.228697598349405
P06,B,3,0.9230767983586395
P06,C,1,0.8470609002643162
P06,C,2,0.7489310238096448
P06,C,3,0.7684949080149334
P07,B,1,0.9194717704890919
P07,B,2,0.8977337466345894
P07,B,3,0.8368371677581378
P07,C,1,0.8883108188914157
P07,C,2,0.7792921652739077
P07,C,3,0.8142223492501275
P08,B,1,1.3942854464563548
P08,B,2,1.042093144522773
P08,B,3,1.0319147078490551
P08,C,1,0.7976550814749181
P08,C,2,0.6796465052498711
P08,C,3,0.6596154251926856
P09,B,1,1.1318569456415224
P09,B,2,0.9188814182130117
P09,B,3,0.8567439249192161
P09,C,1,0.7194324652353922
P09,C,2,0.6455909555442488
P09,C,3,0.6020974290782007
P10,B,1,1.0109504251799677
P10,B,2,0.9375624098982507
P10,B,3,0.914484153338058
P10,C,1,0.7417523087212866
P10,C,2,0.5808036539289687
P10,C,3,0.6043183300230238
P11,B,1,0.7930358377727056
P11,B,2,0.7154807829258035
P11,B,3,0.7133797203443972
P11,C,1,0.636906424518746
P11,C,2,0.48665418643800046
P11,C,3,0.4245132589575105
P12,B,1,1.1270474335039966
P12,B,2,0.8523720270894432
P12,B,3,0.8671297936393138
P12,C,1,0.7847129613503642
P12,C,2,0.7038397066437878
P12,C,3,0.6898507754007975
P13,B,1,0.9233701746452031
P13,B,2,0.8827320419874228
P13,B,3,0.8556645898082965
P13,C,1,0.6924481443061682
P13,C,2,0.6475225607554118
P13,C,3,0.6343034346898396
P14,B,1,1.1104421126536834
P14,B,2,0.996997964760614
P14,B,3,0.9463358018590116
P14,C,1,0.9574070612589519
P14,C,2,0.8571506526082607
P14,C,3,0.7864157324745542
P15,B,1,1.0113224450485174
P15,B,2,0.8708036696502802
P15,B,3,0.8378447265003833
P15,C,1,0.7237348534595007
P15,C,2,0.6108202737475198
P15,C,3,0.579876425257131
P16,B,1,1.0248168843408603
P16,B,2,0.9963774897541168
P16,B,3,0.9721825735779102
P16,C,1,0.9375671357487354
P16,C,2,0.7850759026647984
P16,C,3,0.7390517976548936
P17,B,1,1.0218074685051328
P17,B,2,0.8094033797581991
P17,B,3,0.7430998261404221
P17,C,1,0.7490687585881842
P17,C,2,0.6444160671461195
P17,C,3,0.5922172784805299
P18,B,1,0.983996324612263
P18,B,2,0.9758100288175126
P18,B,3,0.8682664316798014
P18,C,1,0.673348057955161
P18,C,2,0.6081343616105588
P18,C,3,0.6388193407277951
P19,B,1,0.9291560226016574
P19,B,2,0.9055358130170764
P19,B,3,0.832757397773095
P19,C,1,0.8879249739007475
P19,C,2,0.7094248187039547
P19,C,3,0.6529350920198521
P20,B,1,1.048221257602153
P20,B,2,1.0138214376237658
P20,B,3,0.9342674917644924
P20,C,1,0.8099171895829458
P20,C,2,0.7187819380608816
P20,C,3,0.6478218025631374
