parameter,estimate,boot_mean,boot_sd,ci95_lo,ci95_hi,n_resamples,n_resamples_unidentified,reading
match_hand[B],5.164754724641372,5.265849572334943,0.2491957862999933,4.818218790151366,5.85442644245515,300,0,interval
match_digit[B],1.7482739157860523,1.7360410700499533,0.32715648793761937,1.1003120505642987,2.32098316218281,300,0,interval
digit_distance[B],-1.835439393758838,-1.8680400998158193,0.2693357077402188,-2.4298418510713073,-1.4218851288944074,300,0,interval
match_hand[C],8.82003029676618,9.101785306958158,0.7928234179455858,8.094480788685571,11.249605826213697,300,28,"upper end is a bound, not an estimate"
match_digit[C],1.195316215942976,1.2040115869648005,0.4362682985358043,0.40722484575258133,1.9981964443613636,300,110,"upper end is a bound, not an estimate"
digit_distance[C],-2.5481894923839206,-2.5873516591196775,0.4075160456757902,-3.4827718609736156,-1.94085194231227,300,0,interval
repeat_finger,0.0747691426754747,0.07478123073525628,0.10740859688943638,-0.1397913572240385,0.2729286225362758,300,0,interval
repeat_hand,0.4435730726462777,0.4454581346142844,0.06686473312595045,0.31954940243185376,0.5907291203577267,300,0,interval
w[B],0.483643418038841,0.4921201594714817,0.07485461383750044,0.36433133255882383,0.6476912666314127,300,0,interval
w[C],0.5479364319200583,0.5669695497146663,0.13904002285792788,0.3806917196843558,0.9160296594333878,300,0,interval
