participant,condition,n_events,n_substitutions,n_cross_hand,cross_hand_rate
P01,B,270,7,2,0.007407407407407408
P01,C,270,5,0,0.0
P02,B,270,31,5,0.018518518518518517
P02,C,270,13,0,0.0
P03,B,270,10,1,0.003703703703703704
P03,C,270,2,0,0.0
P04,B,269,5,1,0.0037174721189591076
P04,C,270,5,0,0.0
P05,B,270,16,1,0.003703703703703704
P05,C,270,18,0,0.0
P06,B,270,13,5,0.018518518518518517
P06,C,270,1,0,0.0
P07,B,270,9,0,0.0
P07,C,270,12,0,0.0
P08,B,270,42,2,0.007407407407407408
P08,C,270,26,0,0.0
P09,B,270,16,4,0.014814814814814815
P09,C,270,10,0,0.0
P10,B,270,39,1,0.003703703703703704
P10,C,270,39,0,0.0
P11,B,270,23,5,0.018518518518518517
P11,C,270,23,0,0.0
P12,B,270,53,12,0.044444444444444446
P12,C,270,40,0,0.0
P13,B,270,33,5,0.018518518518518517
P13,C,270,21,0,0.0
P14,B,270,32,5,0.018518518518518517
P14,C,270,40,0,0.0
P15,B,270,19,1,0.003703703703703704
P15,C,270,26,0,0.0
P16,B,270,26,8,0.02962962962962963
P16,C,270,7,0,0.0
P17,B,270,17,2,0.007407407407407408
P17,C,270,4,1,0.003703703703703704
P18,B,270,8,3,0.011111111111111112
P18,C,270,8,1,0.003703703703703704
P19,B,270,20,4,0.014814814814814815
P19,C,270,6,0,0.0
P20,B,270,7,0,0.0
P20,C,270,17,0,0.0
