participant,finger,share,count
P01,L1,0.0,0
P01,L2,0.037037037037037035,10
P01,L3,0.14444444444444443,39
P01,L4,0.025925925925925925,7
P01,L5,0.0,0
P01,R1,0.0,0
P01,R2,0.6222222222222222,168
P01,R3,0.11481481481481481,31
P01,R4,0.05555555555555555,15
P01,R5,0.0,0
P02,L1,0.0037174721189591076,1
P02,L2,0.17472118959107807,47
P02,L3,0.01858736059479554,5
P02,L4,0.011152416356877323,3
P02,L5,0.0037174721189591076,1
P02,R1,0.02973977695167286,8
P02,R2,0.7211895910780669,194
P02,R3,0.026022304832713755,7
P02,R4,0.0037174721189591076,1
P02,R5,0.007434944237918215,2
P03,L1,0.0,0
P03,L2,0.22014925373134328,59
P03,L3,0.11940298507462686,32
P03,L4,0.05970149253731343,16
P03,L5,0.018656716417910446,5
P03,R1,0.0,0
P03,R2,0.4291044776119403,115
P03,R3,0.09701492537313433,26
P03,R4,0.04477611940298507,12
P03,R5,0.011194029850746268,3
P04,L1,0.0,0
P04,L2,0.14444444444444443,39
P04,L3,0.07037037037037037,19
P04,L4,0.025925925925925925,7
P04,L5,0.003703703703703704,1
P04,R1,0.0,0
P04,R2,0.4148148148148148,112
P04,R3,0.2,54
P04,R4,0.12962962962962962,35
P04,R5,0.011111111111111112,3
P05,L1,0.0,0
P05,L2,0.14074074074074075,38
P05,L3,0.08888888888888889,24
P05,L4,0.018518518518518517,5
P05,L5,0.007407407407407408,2
P05,R1,0.003703703703703704,1
P05,R2,0.48518518518518516,131
P05,R3,0.22962962962962963,62
P05,R4,0.025925925925925925,7
P05,R5,0.0,0
P06,L1,0.0,0
P06,L2,0.06296296296296296,17
P06,L3,0.17407407407407408,47
P06,L4,0.022222222222222223,6
P06,L5,0.0,0
P06,R1,0.018518518518518517,5
P06,R2,0.6592592592592592,178
P06,R3,0.05185185185185185,14
P06,R4,0.007407407407407408,2
P06,R5,0.003703703703703704,1
P07,L1,0.007407407407407408,2
P07,L2,0.23333333333333334,63
P07,L3,0.15925925925925927,43
P07,L4,0.08518518518518518,23
P07,L5,0.018518518518518517,5
P07,R1,0.011111111111111112,3
P07,R2,0.2,54
P07,R3,0.17037037037037037,46
P07,R4,0.08148148148148149,22
P07,R5,0.03333333333333333,9
P08,L1,0.05185185185185185,14
P08,L2,0.32222222222222224,87
P08,L3,0.09259259259259259,25
P08,L4,0.014814814814814815,4
P08,L5,0.007407407407407408,2
P08,R1,0.025925925925925925,7
P08,R2,0.4185185185185185,113
P08,R3,0.02962962962962963,8
P08,R4,0.02962962962962963,8
P08,R5,0.007407407407407408,2
P09,L1,0.0,0
P09,L2,0.12962962962962962,35
P09,L3,0.2074074074074074,56
P09,L4,0.07777777777777778,21
P09,L5,0.011111111111111112,3
P09,R1,0.003703703703703704,1
P09,R2,0.5666666666666667,153
P09,R3,0.003703703703703704,1
P09,R4,0.0,0
P09,R5,0.0,0
P10,L1,0.0037174721189591076,1
P10,L2,0.35687732342007433,96
P10,L3,0.10037174721189591,27
P10,L4,0.0,0
P10,L5,0.0,0
P10,R1,0.0037174721189591076,1
P10,R2,0.4646840148698885,125
P10,R3,0.03345724907063197,9
P10,R4,0.03717472118959108,10
P10,R5,0.0,0
P11,L1,0.0,0
P11,L2,0.2814814814814815,76
P11,L3,0.0962962962962963,26
P11,L4,0.022222222222222223,6
P11,L5,0.0,0
P11,R1,0.0,0
P11,R2,0.4185185185185185,113
P11,R3,0.12222222222222222,33
P11,R4,0.05925925925925926,16
P11,R5,0.0,0
P12,L1,0.0,0
P12,L2,0.3148148148148148,85
P12,L3,0.06666666666666667,18
P12,L4,0.02962962962962963,8
P12,L5,0.011111111111111112,3
P12,R1,0.007407407407407408,2
P12,R2,0.34074074074074073,92
P12,R3,0.15185185185185185,41
P12,R4,0.06296296296296296,17
P12,R5,0.014814814814814815,4
P13,L1,0.003703703703703704,1
P13,L2,0.1111111111111111,30
P13,L3,0.1259259259259259,34
P13,L4,0.06296296296296296,17
P13,L5,0.0,0
P13,R1,0.06666666666666667,18
P13,R2,0.43703703703703706,118
P13,R3,0.13333333333333333,36
P13,R4,0.05925925925925926,16
P13,R5,0.0,0
P14,L1,0.025925925925925925,7
P14,L2,0.12222222222222222,33
P14,L3,0.11851851851851852,32
P14,L4,0.05185185185185185,14
P14,L5,0.014814814814814815,4
P14,R1,0.1962962962962963,53
P14,R2,0.3888888888888889,105
P14,R3,0.06296296296296296,17
P14,R4,0.018518518518518517,5
P14,R5,0.0,0
P15,L1,0.007407407407407408,2
P15,L2,0.2777777777777778,75
P15,L3,0.08888888888888889,24
P15,L4,0.022222222222222223,6
P15,L5,0.007407407407407408,2
P15,R1,0.03333333333333333,9
P15,R2,0.4074074074074074,110
P15,R3,0.13703703703703704,37
P15,R4,0.018518518518518517,5
P15,R5,0.0,0
P16,L1,0.003703703703703704,1
P16,L2,0.15555555555555556,42
P16,L3,0.07037037037037037,19
P16,L4,0.025925925925925925,7
P16,L5,0.014814814814814815,4
P16,R1,0.007407407407407408,2
P16,R2,0.21481481481481482,58
P16,R3,0.29259259259259257,79
P16,R4,0.15925925925925927,43
P16,R5,0.05555555555555555,15
P17,L1,0.0,0
P17,L2,0.2074074074074074,56
P17,L3,0.1,27
P17,L4,0.03333333333333333,9
P17,L5,0.011111111111111112,3
P17,R1,0.12222222222222222,33
P17,R2,0.24814814814814815,67
P17,R3,0.16666666666666666,45
P17,R4,0.07037037037037037,19
P17,R5,0.040740740740740744,11
P18,L1,0.0,0
P18,L2,0.16296296296296298,44
