participant,n_events,converged,match_hand[B],match_digit[B],digit_distance[B],match_hand[C],match_digit[C],digit_distance[C],w[B],w[C]
P01,810,True,5.725178994844246,-1.503828632277284,-6.180644711058153,11.15405841578748,3.4774956718574233,-1.3891695453060908,0.25504069185399264,0.2519700212960288
P02,809,True,5.646265505533507,2.863792052439396,-0.8066052839191286,11.178366182076251,3.2900023072098583,-0.7298611308862958,0.5642540467871018,0.263179110261214
P03,808,True,6.487630590070687,-2.2738174917436815,-6.598919863194792,11.19777131488342,7.10507246699326,0.0735898707735901,0.531876775401345,0.6185081771963828
P04,809,True,6.392731237411056,4.691396872803255,-0.6283755806377223,11.317658158357537,-1.4118362401369822,-6.2322829102074735,0.3051069228679273,0.498231541189033
P05,810,True,6.236550052167428,1.592517442712646,-2.225455521859798,11.280212219648984,0.634359078630858,-2.9841421270351485,0.5184714895958091,0.47817471956364893
P06,810,True,4.6509383875759465,2.992901055517069,-1.2434844157209741,11.722268648490587,1.143840771489198,-5.41116668923272,0.08089178305918038,0.4589076867099228
P07,810,True,10.794930097322103,-2.51900346005549,-6.81836953410574,11.014249552727883,2.537600923446753,-1.2192607389260395,0.8033242261210126,0.1434382262796551
P08,810,True,5.363151689624126,1.0329537497909456,-1.7020041081725399,11.360310667904931,0.2024452493398512,-3.8084808588406913,0.5104692963907951,0.9570507958686998
P09,810,True,5.165771605709549,-2.9478226914136196,-6.8498763902758775,11.370707881172581,-2.239935774160777,-6.931361176606057,0.25698026846587413,0.5788850279845462
P10,809,True,6.232779509729548,-0.9523473903187891,-3.7607747293545497,10.793064415407343,-5.369507976771669,-8.02221059282603,0.4500517976148713,0.4308285478448594
P11,810,True,4.278865201209087,1.2985747054892849,-2.51104674293799,10.752055546963902,-4.330951236762928,-7.472698628952872,0.6186644722508952,0.4154438508530344
P12,810,True,3.489523265551352,0.4440902231018911,-1.972510087341768,10.64059446535879,0.1166227014199286,-2.482150516238717,0.36722707805360116,0.46520464424375835
P13,810,True,4.579516375112696,1.8078709678518377,-1.5565232267121762,11.778599565015542,-3.8300217251627235,-7.612375784102032,0.7113950346480751,0.9233213588247401
P14,810,True,4.830256953128196,-4.310987360775857,-7.60144995687824,11.808096908543076,-4.809591442408896,-8.628558118832988,0.8014347510974102,1.4076270110521971
P15,810,True,5.95783582536021,2.9261246817354003,-0.7408497313432499,10.845994119956684,1.3462252103297387,-1.7329732988789746,0.2867806305676896,0.34521310690798185
P16,810,True,4.3922579027862145,2.4373457772445195,-1.4430928518184356,12.06238930253844,-0.7762207815018968,-6.831624043610204,0.6617013562871454,1.3892499662103492
P17,810,True,6.155706942094347,-3.568853740042462,-7.222630681879394,6.551477159602288,-1.2945714393410157,-6.1535576226517295,0.7549218154951125,0.5909509614043253
P18,810,True,5.0149322157323,-1.3628034436735008,-6.123372255340058,6.480325843290133,3.7673612908084952,-1.0377057637680447,0.07122726048017551,0.2753959507496214
P19,810,True,5.001385040670272,0.5881986238076758,-3.040509768269586,11.118745886909437,3.144241321554301,-2.154770929913076,0.5886188222767683,0.8625701693603519
P20,810,True,10.772287382625073,2.485348888590968,-1.7887566452465942,10.544011972041554,0.7018489504774615,-2.5841866013952455,0.36516240388819593,0.37560267251695295
