participant,finger,logit,probability
P01,L1,-1.8891750224345947,0.004275740898336327
P01,L2,0.09227048212696198,0.03101288928586802
P01,L3,1.098863299125686,0.08485939568955164
P01,L4,-0.5045068127440326,0.017075174185668524
P01,L5,-1.7801066225872195,0.004768471421202726
P01,R1,-0.7089716234150493,0.01391769143470219
P01,R2,3.1597493248359863,0.6663944378107636
P01,R3,1.4585622584843905,0.1215948574394392
P01,R4,0.5645991509444059,0.04973612699291519
P01,R5,-1.491284434337045,0.006365214841552831
P02,L1,-1.231894139804062,0.004671323182548304
P02,L2,1.478290498754383,0.07021956717233246
P02,L3,-0.3502601830689984,0.01128050850199243
P02,L4,-0.986731732985013,0.005969151411068053
P02,L5,-2.0918278664704806,0.0019768578537250584
P02,R1,0.6744923722363169,0.03143207537612811
P02,R2,3.9562815015295194,0.8368275448178344
P02,R3,0.35200229545746353,0.02276760753307654
P02,R4,-0.37488071516777227,0.011006167449654549
P02,R5,-1.425472030481852,0.003849196701640205
P03,L1,-1.259554903801112,0.013499801363059805
P03,L2,1.8446915070390202,0.3009431517605562
P03,L3,1.264273181225666,0.1684271069541407
P03,L4,0.44244260347357356,0.07404496018408395
P03,L5,-0.6712973866893397,0.02431108668791077
P03,R1,-1.4961805236747645,0.010655214019166425
P03,R2,1.827400699256637,0.295784330194059
P03,R3,0.40570146753403347,0.07137383480176446
P03,R4,-0.31244170459745535,0.03480594378767274
P03,R5,-2.0450349397667598,0.006154570247586033
P04,L1,-1.6512251062031051,0.0075688170710577415
P04,L2,0.9193460349076172,0.0989493329722565
P04,L3,0.2406217741454213,0.05019340633714239
P04,L4,-0.5445496071017135,0.022890278229492106
P04,L5,-2.135455373933057,0.004663687863283129
P04,R1,-1.0818549829016073,0.01337526242510355
P04,R2,2.4223117475681613,0.44477727160827574
P04,R3,1.7062741340856094,0.21735588433327815
P04,R4,1.1630711955469222,0.12625871451145576
P04,R5,-1.038539816114738,0.01396734464865509
P05,L1,-1.4399609113948484,0.00701420956121464
P05,L2,1.3404217702753018,0.11310546595886678
P05,L3,0.8766498917198674,0.07113281987686713
P05,L4,-0.4340828878953436,0.019179002337531312
P05,L5,-1.420723131043782,0.0071504536996122026
P05,R1,-0.756136909342616,0.013898237463159529
P05,R2,2.830355864675642,0.5018266819026352
P05,R3,2.098746638865995,0.24144593565184072
P05,R4,-0.22818762674200724,0.023563792397981814
P05,R5,-2.8670826991187157,0.0016834011502906922
P06,L1,-1.7976388273334796,0.003931643180225208
P06,L2,0.49834048649826124,0.03905757206275959
P06,L3,1.2919359647372841,0.08636929602620681
P06,L4,-0.4384800318961544,0.01530556129902467
P06,L5,-1.863717608154086,0.0036802425844387754
P06,R1,0.17389771298237844,0.028235893587072156
P06,R2,3.4406022734757613,0.7404799457652277
P06,R3,0.9804437101538125,0.06325283748349902
P06,R4,-0.3855657811861368,0.01613725375150184
P06,R5,-1.899817899278146,0.0035497542600443728
P07,L1,-0.9405737442901496,0.020698832686658956
P07,L2,1.8832370394479896,0.34858708718344
P07,L3,1.5559796828315584,0.25129580063732226
P07,L4,0.8729694423855264,0.1269280630639924
P07,L5,-0.9856128646023294,0.01978725782648587
P07,R1,-1.6393648249030455,0.010291169795342463
P07,R2,0.5571340952832557,0.0925533417896776
P07,R3,0.3878888970327398,0.07814295831359024
P07,R4,-0.32945096917839783,0.03813757748790303
P07,R5,-1.362206754007649,0.013577911215587279
P08,L1,0.610957508600078,0.05355263604937711
P08,L2,2.858215007170945,0.506701726692954
P08,L3,1.7460448316082797,0.16662609408616078
P08,L4,-0.9781686804276106,0.010930300911539596
P08,L5,-1.9753113456845395,0.004032538858670912
P08,R1,-0.6785874093075358,0.014748186170312918
P08,R2,1.97167769101449,0.20880174307668012
P08,R3,-0.6675682688154247,0.014911597176682445
P08,R4,-0.5417903444236978,0.016910203017493287
P08,R5,-2.3454689897354744,0.0027849739601289373
P09,L1,-1.2686054942075846,0.008602543091294719
P09,L2,1.6948521192959694,0.1665866311541939
P09,L3,2.0562118527865483,0.2390984076868893
P09,L4,1.0357969885819218,0.08618191480628298
P09,L5,-0.6928944996045904,0.015298715374761532
P09,R1,-0.8994760883966247,0.012443361572129708
P09,R2,2.675095983395278,0.4439710445993566
P09,R3,-0.42439191665570397,0.020010786344272325
P09,R4,-1.8443963094088691,0.004836866301336008
P09,R5,-2.332192635786843,0.0029697290694827363
P10,L1,-0.4626728437234605,0.01109164326160709
P10,L2,3.5092862909056013,0.5888379980663296
P10,L3,2.1305881336838106,0.14833199082956763
P10,L4,-1.2793187174340621,0.004901523581332389
P10,L5,-2.14279778465839,0.0020669353945024674
P10,R1,-0.9315181563638488,0.006940311462416001
P10,R2,2.4900146079370704,0.21248670402721728
P10,R3,-0.1316682062869332,0.015443629726774372
P10,R4,-0.7456444012138201,0.008358010396912441
P10,R5,-2.436268922846464,0.0015412532533406657
P11,L1,-1.3586403587045777,0.007788427983164378
P11,L2,2.5497955586767165,0.3880270127007612
P11,L3,1.5689752658028042,0.14551143355944254
P11,L4,-0.1877750130364662,0.025115982232888343
P11,L5,-1.9093079887817974,0.004490533032128549
P11,R1,-1.3571345237134997,0.007800164905263082
P11,R2,2.2514063552536636,0.2879208897803733
P11,R3,1.1709415259110858,0.09773120701657047
P11,R4,0.11040722396928349,0.0338414581333006
P11,R5,-2.8386680453777267,0.0017728906561077025
P12,L1,-1.4678848430131382,0.008530893886753406
P12,L2,2.5092572598713683,0.45524523518665533
P12,L3,0.9726535378670695,0.0979280015089671
P12,L4,-0.4173703145600283,0.024390865019548208
P12,L5,-1.1890470625878724,0.011274369117567152
P12,R1,-1.0366806465145317,0.013129982372801037
P12,R2,1.9465637891393976,0.2593407363538589
P12,R3,0.8263337728632767,0.0845981809982549
P12,R4,0.11915502335033573,0.041709712513004205
P12,R5,-2.262980516416382,0.0038520230425897217
P13,L1,-1.3520935979131354,0.011615732799856048
P13,L2,0.9391576246105072,0.11484824837159903
P13,L3,1.0246890349252311,0.12510371182412705
P13,L4,0.2748060103714737,0.05910172213545251
P13,L5,-1.7948656457100567,0.00746024613212429
P13,R1,0.345422840215599,0.06342619162068885
P13,R2,2.37452256296437,0.48249792291392307
P13,R3,0.6583324071885602,0.08672883916626668
P13,R4,0.012524502347309008,0.04546662568166106
P13,R5,-2.482495739000356,0.003750759354301346
P14,L1,-0.39009932939778225,0.03068196965385211
P14,L2,1.1612988078742148,0.1447594373109791
P14,L3,1.1629214878710288,0.14499452623972053
P14,L4,0.11552570605180512,0.05087136592785522
P14,L5,-1.0192714176980693,0.016354499954789988
P14,R1,1.292204047242707,0.16500545781312134
P14,R2,2.1934195425157546,0.40634154357172475
P14,R3,-0.9708845747938339,0.017165300425533755
P14,R4,-0.7691100025927153,0.021002983544370496
