participant,condition,n,observed_rt_s,predicted_rt_s
P01,A,270,0.47736026181115043,0.4812835390727496
P01,B,270,1.041412971637867,0.9804528021243087
P01,C,270,0.7057014209252817,0.7380046996064665
P02,A,269,0.4461319942899796,0.4281649914795041
P02,B,270,0.7922697835498386,0.8736621985269172
P02,C,270,0.6668920252058241,0.6563217230241636
P03,A,268,0.4772668347429873,0.4842798845351747
P03,B,270,0.9485263656686853,0.9897925297278892
P03,C,270,0.7685857446105392,0.7278625763042521
P04,A,270,0.47539672056833904,0.5432035083597319
P04,B,269,1.2738602090502318,1.114348009272181
P04,C,270,0.8619913692827578,0.829594289740201
P05,A,270,0.5574716470859669,0.5466041126072531
P05,B,270,1.1100535684161716,1.1135641457190704
P05,C,270,0.8325903053636904,0.83866090598959
P06,A,270,0.48219724937721536,0.49874457395543975
P06,B,270,1.0798245880338881,1.0214782239245015
P06,C,270,0.7881622773629647,0.7737459245565697
P07,A,270,0.4502714104122586,0.48631544054429915
P07,B,270,0.8842287496284202,0.9915687968797136
P07,C,270,0.828999665931419,0.7260294455320041
P08,A,270,0.6284123191127071,0.5488787898351992
P08,B,270,1.1572872320810954,1.1068859023607547
P08,C,270,0.7144428288495099,0.8314320333420504
P09,A,270,0.41704235076904295,0.44127302079755715
P09,B,270,0.974916645332619,0.9059776279795847
P09,C,270,0.6556149226647836,0.6709556800061902
P10,A,269,0.4675040183014143,0.4431145368715503
P10,B,270,0.9574293251390811,0.9172129922435996
P10,C,270,0.6427638089215314,0.6841797296766743
P11,A,270,0.3840740115554244,0.363344477054086
P11,B,270,0.752380993631151,0.7489411468489233
P11,C,270,0.5148756848441229,0.5509301424047913
P12,A,270,0.5084320545196533,0.4947180090139427
P12,B,270,0.9448231061299642,1.0035057745162992
P12,C,270,0.7284600346176713,0.7458560000940972
P13,A,270,0.47253429889678955,0.45169704383097553
P13,B,270,0.8827051816163239,0.920198285046434
P13,C,270,0.6586251550250584,0.6818454749448476
P14,A,270,0.5681962887446086,0.5573275451318889
P14,B,270,1.0167578326331244,1.1291211321762706
P14,C,270,0.8672385648444847,0.8434807178523996
P15,A,270,0.49721886405238397,0.4507627683548761
P15,B,270,0.9090459488056324,0.9237312520994017
P15,C,270,0.6364186940369783,0.6841892476723227
P16,A,270,0.49857206609514026,0.5129365768928825
P16,B,270,0.9904169303399545,1.0404665024568074
P16,C,270,0.8209874082494665,0.7745682596020143
P17,A,270,0.4451253926312482,0.4280371538125634
P17,B,270,0.857414209401166,0.8755771490806432
P17,C,270,0.6596539638660572,0.641860766363864
P18,A,270,0.45984492478547273,0.44985737505758416
P18,B,270,0.9490282588534885,0.9143538861443622
P18,C,270,0.639799165725708,0.6789883843225996
P19,A,270,0.5500170628229777,0.4971925649989446
P19,B,270,0.8873406834072537,1.0182452808071385
P19,C,270,0.749944481143245,0.7467478743162926
P20,A,270,0.49247638826017026,0.4999252728797965
P20,B,270,0.994916636855514,1.0063243971461613
P20,C,270,0.7269406053755019,0.7414947470287345
