participant,trial_index,phase,phase_number,is_performance,quiz_name,event_index,melody,target_note,target_note_name,target_finger,target_onset_s,target_offset_s,target_duration_s,target_duration_beats,target_hand,actual_note,actual_finger,actual_onset_time,actual_offset_time,actual_duration_s,due_time,cue_onset_time,key_correct,finger_correct,finger_reviewed,played,signed_onset_error_ms,absolute_onset_error_ms,rt_ms,duration_error_ms,absolute_duration_error_ms,complete_success,recue_count,first_cue_onset_time,validity
P01,1,training,1,False,rhythm-P01-T01,0,melody_seed415411,67,G4,R5,0.0,0.75,0.75,1.0,R,67,R5,1787936497.398415,1787936497.632122,0.23370695114135742,,1787936495.859231,True,True,False,True,,,1539.1840934753418,-516.2930488586426,516.2930488586426,False,0,1787936495.859231,valid
P01,1,training,1,False,rhythm-P01-T01,1,melody_seed415411,65,F4,R4,1.0,1.75,0.75,1.0,R,65,R4,1787936499.2203991,1787936499.4914188,0.27101969718933105,,1787936498.594395,True,True,False,True,,,626.0042190551758,-478.98030281066895,478.98030281066895,False,0,1787936498.594395,valid
P01,1,training,1,False,rhythm-P01-T01,2,melody_seed415411,65,F4,R4,2.0,2.75,0.75,1.0,R,65,R4,1787936501.135665,1787936502.090636,0.9549710750579834,,1787936500.395411,True,True,False,True,,,740.2539253234863,204.9710750579834,204.9710750579834,False,0,1787936500.395411,valid
P01,1,training,1,False,rhythm-P01-T01,3,melody_seed415411,62,D4,R2,3.0,5.75,2.75,3.0,R,62,R2,1787936502.945035,1787936504.119667,1.1746320724487305,,1787936502.330178,True,True,False,True,,,614.8569583892822,-1575.3679275512695,1575.3679275512695,False,0,1787936502.330178,valid
P01,1,training,1,False,rhythm-P01-T01,4,melody_seed415411,64,E4,R3,7.0,7.75,0.75,1.0,R,64,R3,1787936506.885449,1787936508.082819,1.1973700523376465,,1787936506.16665,True,True,False,True,,,718.7988758087158,447.3700523376465,447.3700523376465,False,0,1787936506.16665,valid
P01,1,training,1,False,rhythm-P01-T01,5,melody_seed415411,62,D4,R2,8.0,8.75,0.75,1.0,R,62,R2,1787936508.6012821,1787936509.8641798,1.2628977298736572,,1787936508.1019032,True,True,False,True,,,499.37891960144043,512.8977298736572,512.8977298736572,False,0,1787936508.1019032,valid
P01,1,training,1,False,rhythm-P01-T01,6,melody_seed415411,62,D4,R2,9.0,9.75,0.75,1.0,R,62,R2,1787936510.3728461,1787936511.6251981,1.252351999282837,,1787936509.835364,True,True,False,True,,,537.4820232391357,502.3519992828369,502.3519992828369,False,0,1787936509.835364,valid
P01,1,training,1,False,rhythm-P01-T01,7,melody_seed415411,59,B3,L2,10.0,11.75,1.75,2.0,L,59,L2,1787936512.40336,1787936514.54927,2.1459100246429443,,1787936511.603482,True,True,False,True,,,799.8778820037842,395.91002464294434,395.91002464294434,False,0,1787936511.603482,valid
P01,1,training,1,False,rhythm-P01-T01,8,melody_seed415411,59,B3,L2,13.0,13.75,0.75,1.0,L,59,L2,1787936515.335522,1787936516.619869,1.2843470573425293,,1787936514.606434,True,True,False,True,,,729.0878295898438,534.3470573425293,534.3470573425293,False,0,1787936514.606434,valid
P01,1,training,1,False,rhythm-P01-T01,9,melody_seed415411,60,C4,L1,14.0,14.75,0.75,1.0,L,60,L1,1787936517.250682,1787936518.505058,1.25437593460083,,1787936516.540548,True,True,False,True,,,710.1340293884277,504.3759346008301,504.3759346008301,False,0,1787936516.540548,valid
P01,1,training,1,False,rhythm-P01-T01,10,melody_seed415411,59,B3,L2,15.0,15.75,0.75,1.0,L,59,L2,1787936518.9321191,1787936520.223644,1.291524887084961,,1787936518.442302,True,True,False,True,,,489.81714248657227,541.5248870849609,541.5248870849609,False,0,1787936518.442302,valid
P01,1,training,1,False,rhythm-P01-T01,11,melody_seed415411,55,G3,L4,16.0,17.75,1.75,2.0,L,55,L4,1787936520.7595038,1787936522.889639,2.1301350593566895,,1787936520.1117592,True,True,False,True,,,647.7446556091309,380.13505935668945,380.13505935668945,False,0,1787936520.1117592,valid
P01,1,training,1,False,rhythm-P01-T01,12,melody_seed415411,55,G3,L4,19.0,19.75,0.75,1.0,L,55,L4,1787936523.46447,1787936524.600093,1.1356229782104492,,1787936522.945276,True,True,False,True,,,519.1938877105713,385.6229782104492,385.6229782104492,False,0,1787936522.945276,valid
P01,1,training,1,False,rhythm-P01-T01,13,melody_seed415411,59,B3,L2,20.0,20.75,0.75,1.0,L,59,L2,1787936525.1774662,1787936526.439726,1.2622599601745605,,1787936524.646973,True,True,False,True,,,530.4932594299316,512.2599601745605,512.2599601745605,False,0,1787936524.646973,valid
P01,1,training,1,False,rhythm-P01-T01,14,melody_seed415411,60,C4,L1,21.0,23.75,2.75,3.0,L,60,L1,1787936527.115326,1787936530.2546618,3.139335870742798,,1787936526.348459,True,True,False,True,,,766.86692237854,389.33587074279785,389.33587074279785,False,0,1787936526.348459,valid
P01,2,training,2,False,rhythm-P01-T02,0,melody_seed415411,67,G4,R5,0.0,0.75,0.75,1.0,R,67,R5,1787936544.4381151,1787936545.814559,1.376443862915039,,1787936543.494802,True,True,False,True,,,943.3131217956543,626.4438629150391,626.4438629150391,False,0,1787936543.494802,valid
P01,2,training,2,False,rhythm-P01-T02,1,melody_seed415411,65,F4,R4,1.0,1.75,0.75,1.0,R,65,R4,1787936546.413613,1787936548.081816,1.6682028770446777,,1787936545.628592,True,True,False,True,,,785.0210666656494,918.2028770446777,918.2028770446777,False,0,1787936545.628592,valid
P01,2,training,2,False,rhythm-P01-T02,2,melody_seed415411,65,F4,R4,2.0,2.75,0.75,1.0,R,65,R4,1787936548.304366,1787936549.740211,1.435844898223877,,1787936547.630393,True,True,False,True,,,673.9730834960938,685.844898223877,685.844898223877,False,0,1787936547.630393,valid
P01,2,training,2,False,rhythm-P01-T02,3,melody_seed415411,62,D4,R2,3.0,5.75,2.75,3.0,R,62,R2,1787936550.096035,1787936553.351359,3.255323886871338,,1787936549.5004811,True,True,False,True,,,595.5538749694824,505.3238868713379,505.3238868713379,False,0,1787936549.5004811,valid
P01,2,training,2,False,rhythm-P01-T02,4,melody_seed415411,64,E4,R3,7.0,7.75,0.75,1.0,R,64,R3,1787936553.877577,1787936555.170625,1.2930479049682617,,1787936553.2683752,True,True,False,True,,,609.2019081115723,543.0479049682617,543.0479049682617,False,0,1787936553.2683752,valid
P01,2,training,2,False,rhythm-P01-T02,5,melody_seed415411,62,D4,R2,8.0,8.75,0.75,1.0,R,62,R2,1787936555.352768,1787936556.7507799,1.3980119228363037,,1787936555.070196,True,True,False,True,,,282.57203102111816,648.0119228363037,648.0119228363037,False,0,1787936555.070196,valid
P01,2,training,2,False,rhythm-P01-T02,6,melody_seed415411,62,D4,R2,9.0,9.75,0.75,1.0,R,62,R2,1787936556.8758101,1787936558.285582,1.4097719192504883,,1787936556.569982,True,True,False,True,,,305.8280944824219,659.7719192504883,659.7719192504883,False,0,1787936556.569982,valid
P01,2,training,2,False,rhythm-P01-T02,7,melody_seed415411,59,B3,L2,10.0,11.75,1.75,2.0,L,59,L2,1787936558.7124841,1787936561.1912162,2.478732109069824,,1787936558.0718532,True,True,False,True,,,640.6309604644775,728.7321090698242,728.7321090698242,False,0,1787936558.0718532,valid
P01,2,training,2,False,rhythm-P01-T02,8,melody_seed415411,59,B3,L2,13.0,13.75,0.75,1.0,L,59,L2,1787936561.348576,1787936562.625896,1.2773199081420898,,1787936560.941925,True,True,False,True,,,406.6510200500488,527.3199081420898,527.3199081420898,False,0,1787936560.941925,valid
P01,2,training,2,False,rhythm-P01-T02,9,melody_seed415411,60,C4,L1,14.0,14.75,0.75,1.0,L,60,L1,1787936563.27851,1787936564.529827,1.251317024230957,,1787936562.5758138,True,True,False,True,,,702.6963233947754,501.31702423095703,501.31702423095703,False,0,1787936562.5758138,valid
P01,2,training,2,False,rhythm-P01-T02,10,melody_seed415411,59,B3,L2,15.0,15.75,0.75,1.0,L,59,L2,1787936564.837802,1787936566.289811,1.4520089626312256,,1787936564.476915,True,True,False,True,,,360.8870506286621,702.0089626312256,702.0089626312256,False,0,1787936564.476915,valid
P01,2,training,2,False,rhythm-P01-T02,11,melody_seed415411,55,G3,L4,16.0,17.75,1.75,2.0,L,55,L4,1787936566.64542,1787936569.203437,2.5580170154571533,,1787936566.044089,True,True,False,True,,,601.3309955596924,808.0170154571533,808.0170154571533,False,0,1787936566.044089,valid
