participant,phase,phase_number,trial_index,finger_accuracy,key_accuracy,mean_absolute_onset_error_ms,median_absolute_onset_error_ms,mean_signed_onset_error_ms,mean_absolute_duration_error_ms,mean_duration_error_ms,complete_success_rate,mean_rt_ms
P01,training,1,1,1.0,1.0,,,,525.4495938618978,182.69742329915366,0.0,697.944974899292
P01,training,2,2,1.0,1.0,,,,659.9649588267008,659.9649588267008,0.0,572.7359771728516
P01,training,3,3,0.9333333333333333,1.0,,,,620.0839621680124,592.4355132239206,0.0,536.2618128458658
P01,training,4,4,1.0,1.0,,,,669.6475573948452,564.7085394178118,0.0,561.8215401967367
P01,training,5,5,1.0,1.0,,,,618.5844285147531,556.7121505737305,0.0,495.051908493042
P01,probe,1,6,0.2,0.6,1036.971648534139,661.4742279052734,975.7680416107178,681.3629309336344,24.66282844543457,0.0,
P01,training,6,7,0.8666666666666667,0.9333333333333333,,,,675.0366687774658,486.62679536002025,0.0,503.65713437398273
P01,training,7,8,1.0,1.0,,,,581.9143613179525,581.9143613179525,0.0,441.3783709208171
P01,training,8,9,0.9333333333333333,0.9333333333333333,,,,583.9980500085013,383.0009017671858,0.0,414.6620273590088
P01,training,9,10,0.8666666666666667,1.0,,,,581.5399714878628,581.5399714878628,0.0,420.8849271138509
P01,training,10,11,0.9333333333333333,1.0,,,,589.1362258366177,589.1362258366177,0.0,452.2469679514567
P01,probe,2,12,0.4666666666666667,0.6,703.3619085947672,467.18382835388184,-293.61459414164227,588.3373578389486,35.225772857666016,0.0,
P01,training,11,13,0.9333333333333333,0.9333333333333333,,,,742.280227797372,742.280227797372,0.0,434.19119517008465
P01,training,12,14,1.0,1.0,,,,462.45360374450684,462.45360374450684,0.0,461.8980248769124
P01,training,13,15,0.8666666666666667,1.0,,,,588.5472467967442,333.2336800439017,0.0,363.60816955566406
P01,training,14,16,0.9333333333333333,1.0,,,,594.2051410675049,594.2051410675049,0.0,535.4148705800375
P01,training,15,17,0.9333333333333333,1.0,,,,493.5656229654948,493.5656229654948,0.0,347.8435516357422
P01,probe,3,18,0.26666666666666666,0.3333333333333333,1283.3478132883708,705.822229385376,-1145.538345972697,622.4363009134928,-161.20951970418295,0.06666666666666667,
P01,final,1,19,0.5333333333333333,0.5333333333333333,1081.8975965181987,800.4344701766968,-1076.7797430356343,299.1798718770345,104.80399926503499,0.26666666666666666,
