participant,trial_index,phase,phase_number,is_performance,quiz_name,n_events,n_played,finger_accuracy,mean_absolute_onset_error_ms,median_absolute_onset_error_ms,mean_signed_onset_error_ms,key_accuracy,finger_accuracy_given_key,mean_duration_error_ms,mean_absolute_duration_error_ms,complete_success_rate,mean_rt_ms,total_recues
P01,1,training,1,False,rhythm-P01-T01,15,15,1.0,,,,1.0,1.0,182.69742329915366,525.4495938618978,0.0,697.944974899292,0
P01,2,training,2,False,rhythm-P01-T02,15,15,1.0,,,,1.0,1.0,659.9649588267008,659.9649588267008,0.0,572.7359771728516,0
P01,3,training,3,False,rhythm-P01-T03,15,15,0.9333333333333333,,,,1.0,0.9333333333333333,592.4355132239206,620.0839621680124,0.0,536.2618128458658,0
P01,4,training,4,False,rhythm-P01-T04,15,15,1.0,,,,1.0,1.0,564.7085394178118,669.6475573948452,0.0,561.8215401967367,0
P01,5,training,5,False,rhythm-P01-T05,15,15,1.0,,,,1.0,1.0,556.7121505737305,618.5844285147531,0.0,495.051908493042,0
P01,6,probe,1,True,rhythm-P01-T06,15,15,0.2,1036.971648534139,661.4742279052734,975.7680416107178,0.6,0.3333333333333333,24.66282844543457,681.3629309336344,0.0,,0
P01,7,training,6,False,rhythm-P01-T07,15,15,0.8666666666666667,,,,0.9333333333333333,0.9285714285714286,486.62679536002025,675.0366687774658,0.0,503.65713437398273,0
P01,8,training,7,False,rhythm-P01-T08,15,15,1.0,,,,1.0,1.0,581.9143613179525,581.9143613179525,0.0,441.3783709208171,0
P01,9,training,8,False,rhythm-P01-T09,15,15,0.9333333333333333,,,,0.9333333333333333,1.0,383.0009017671858,583.9980500085013,0.0,414.6620273590088,0
P01,10,training,9,False,rhythm-P01-T10,15,15,0.8666666666666667,,,,1.0,0.8666666666666667,581.5399714878628,581.5399714878628,0.0,420.8849271138509,0
P01,11,training,10,False,rhythm-P01-T11,15,15,0.9333333333333333,,,,1.0,0.9333333333333333,589.1362258366177,589.1362258366177,0.0,452.2469679514567,0
P01,12,probe,2,True,rhythm-P01-T12,15,15,0.4666666666666667,703.3619085947672,467.18382835388184,-293.61459414164227,0.6,0.7777777777777778,35.225772857666016,588.3373578389486,0.0,,0
P01,13,training,11,False,rhythm-P01-T13,15,15,0.9333333333333333,,,,0.9333333333333333,1.0,742.280227797372,742.280227797372,0.0,434.19119517008465,0
P01,14,training,12,False,rhythm-P01-T14,15,15,1.0,,,,1.0,1.0,462.45360374450684,462.45360374450684,0.0,461.8980248769124,1
P01,15,training,13,False,rhythm-P01-T15,15,15,0.8666666666666667,,,,1.0,0.8666666666666667,333.2336800439017,588.5472467967442,0.0,363.60816955566406,0
P01,16,training,14,False,rhythm-P01-T16,15,15,0.9333333333333333,,,,1.0,0.9333333333333333,594.2051410675049,594.2051410675049,0.0,535.4148705800375,0
P01,17,training,15,False,rhythm-P01-T17,15,15,0.9333333333333333,,,,1.0,0.9333333333333333,493.5656229654948,493.5656229654948,0.0,347.8435516357422,2
P01,18,probe,3,True,rhythm-P01-T18,15,15,0.26666666666666666,1283.3478132883708,705.822229385376,-1145.538345972697,0.3333333333333333,0.8,-161.20951970418295,622.4363009134928,0.06666666666666667,,0
P01,19,final,1,True,rhythm-P01-T19,15,12,0.5333333333333333,1081.8975965181987,800.4344701766968,-1076.7797430356343,0.5333333333333333,1.0,104.80399926503499,299.1798718770345,0.26666666666666666,,0
