seq,probe_id,warmup,sent_wall_ns,rtt_ns,server_ack_rtt_ns,presented_rtt_ns,student_dispatch_ns,student_receive_wall_ns,server_receive_wall_ns,wall_delta_teacher_to_student_ns,lost,physical_led_onset_ns,physical_haptic_onset_ns
0,374d8e27-13cd-4e0f-a2cc-8dc9e5ea2c9f,1,1786143290035740000,584333,322792,,,1786143290035981000,1786143290036202000,241000,0,,
1,b877db0e-e7c6-47b1-9550-ed85fe095c77,1,1786143290540963000,3198833,2484083,,,1786143290542936000,1786143290543563000,1973000,0,,
2,82095093-90ab-49d5-9334-791f32e971de,1,1786143291046513000,2486750,2138833,,,1786143291048299000,1786143291048660000,1786000,0,,
3,e0c3219f-a02d-4ce5-8f53-238561a1d7db,1,1786143291552018000,2980542,2194542,,,1786143291553751000,1786143291554331000,1733000,0,,
4,9b7fa5e5-3d1c-4b3e-85af-31b24db6842c,1,1786143292057491000,2557250,2060000,,,1786143292059144000,1786143292059582000,1653000,0,,
5,bdedb42e-1125-4a47-a47a-846c8c159e6e,1,1786143292561610000,2816875,2193584,,,1786143292563299000,1786143292563783000,1689000,0,,
6,70fa5216-c67c-483c-8dd6-0d6d0263b783,1,1786143293067221000,2372833,2032916,,,1786143293068928000,1786143293069248000,1707000,0,,
7,1b37f447-5d32-4bb9-a72a-9fdbf13aa790,1,1786143293569787000,2526000,2095166,,,1786143293571561000,1786143293571929000,1774000,0,,
8,190e5815-4835-4036-92de-201ef703142d,1,1786143294075276000,2801542,2155292,,,1786143294076905000,1786143294077406000,1629000,0,,
9,40aaa330-d8f6-45d3-b394-dbefab75ede1,1,1786143294580761000,2379000,2051875,,,1786143294582416000,1786143294582768000,1655000,0,,
10,8535425f-cbe3-47c4-831a-c8d659eae6d9,1,1786143295086237000,2855084,2202625,,,1786143295087948000,1786143295088446000,1711000,0,,
11,1548cea8-cd87-4817-99ec-28f58b6ddf03,1,1786143295589544000,2488709,2107834,,,1786143295591294000,1786143295591672000,1750000,0,,
12,f8cfdfbe-f99a-440a-89c1-246242158463,1,1786143296093571000,2419042,1834000,,,1786143296094931000,1786143296095383000,1360000,0,,
13,0ac825ad-d073-4749-9e98-4071e49d6504,1,1786143296595788000,2543458,2082042,,,1786143296597368000,1786143296597755000,1580000,0,,
14,51620b3e-4188-46fc-9304-0f4594ef177b,1,1786143297101294000,2434250,2051542,,,1786143297102899000,1786143297103346000,1605000,0,,
15,f5741035-793d-41b1-8dd6-3b2f7d469828,1,1786143297602606000,2480958,2125166,,,1786143297604245000,1786143297604701000,1639000,0,,
16,3b079372-7519-48fe-ab08-ccf5ef65c9d3,1,1786143298108026000,2319917,1780542,,,1786143298109321000,1786143298109753000,1295000,0,,
17,c0831674-1830-40f3-b7ab-f8ba87f7c159,1,1786143298613386000,2003333,1644250,,,1786143298614723000,1786143298615035000,1337000,0,,
18,59383a12-9731-4e2f-a72c-e98b96c5683e,1,1786143299118289000,2803833,2175250,,,1786143299119946000,1786143299120476000,1657000,0,,
19,4ce7950e-b63f-4ca1-bd4e-fe8897da723f,1,1786143299623777000,2408125,2040125,,,1786143299625420000,1786143299625794000,1643000,0,,
20,0ac4c670-b8fe-4041-b5e6-c28cc420d422,0,1786143300124471000,2276458,1765166,,,1786143300125779000,1786143300126155000,1308000,0,,
21,aade08dc-d037-48c8-8dfa-af04bbcb85de,0,1786143300626921000,2777500,2146042,,,1786143300628568000,1786143300629065000,1647000,0,,
22,b5e4c3d5-da1d-4194-9575-b8d58f18113b,0,1786143301129684000,2696500,2144375,,,1786143301131350000,1786143301131765000,1666000,0,,
23,b10b74b3-1364-43ee-ae6e-2054a130fc8b,0,1786143301630797000,2528458,2079875,,,1786143301632513000,1786143301632935000,1716000,0,,
24,e2e17487-d6d3-4807-a925-c5bc31178184,0,1786143302134523000,2415875,2038000,,,1786143302136177000,1786143302136560000,1654000,0,,
25,79c6012e-b28f-49db-9fba-6481cfa52784,0,1786143302640016000,2414875,2028125,,,1786143302641634000,1786143302642045000,1618000,0,,
26,fdd63a90-0bc4-4d6a-a37a-63e3a80d123c,0,1786143303144365000,2848875,2343042,,,1786143303146182000,1786143303146690000,1817000,0,,
27,0086c1c6-5897-4300-8e4e-eb39beded989,0,1786143303649942000,2699458,2094291,,,1786143303651543000,1786143303651995000,1601000,0,,
28,3a5af249-939a-455e-b056-1a7b9ebc3d29,0,1786143304154144000,2193833,1800250,,,1786143304155466000,1786143304155886000,1322000,0,,
29,ec4e7aa1-9a6e-45dc-be10-d7d50655383d,0,1786143304659530000,2415500,2058875,,,1786143304661112000,1786143304661572000,1582000,0,,
30,eda35b9f-c89b-4312-8af4-0489e65d5673,0,1786143305164709000,2720625,1993083,,,1786143305166198000,1786143305166769000,1489000,0,,
31,b41071e2-2f40-4b24-b0df-bbd22b668cd1,0,1786143305666944000,2761916,2123541,,,1786143305668610000,1786143305669093000,1666000,0,,
32,b832aa59-2f26-4e6f-9d67-a8780062abf4,0,1786143306172388000,2366500,1987291,,,1786143306173906000,1786143306174353000,1518000,0,,
