kind,event_index,hand,finger,midi_note,note_name,onset_beat,duration_beats,note_on_time_sec,note_off_time_sec,velocity,sounding_beats,slot_end_time_sec,phrase_index,scale_degree,is_phrase_start
note,0,R,R5,67,G4,0.0,1.0,0.000,0.750,80,0.75,1.000,0,5,1
note,1,R,R4,65,F4,1.0,1.0,1.000,1.750,80,0.75,2.000,0,4,0
note,2,R,R4,65,F4,2.0,1.0,2.000,2.750,80,0.75,3.000,0,4,0
note,3,R,R2,62,D4,3.0,3.0,3.000,5.750,80,2.75,6.000,0,2,0
rest,,,,,,6.0,1.0,,,,,7.000,,,
note,4,R,R3,64,E4,7.0,1.0,7.000,7.750,80,0.75,8.000,1,3,1
note,5,R,R2,62,D4,8.0,1.0,8.000,8.750,80,0.75,9.000,1,2,0
note,6,R,R2,62,D4,9.0,1.0,9.000,9.750,80,0.75,10.000,1,2,0
note,7,L,L2,59,B3,10.0,2.0,10.000,11.750,80,1.75,12.000,1,7,0
rest,,,,,,12.0,1.0,,,,,13.000,,,
note,8,L,L2,59,B3,13.0,1.0,13.000,13.750,80,0.75,14.000,2,7,1
note,9,L,L1,60,C4,14.0,1.0,14.000,14.750,80,0.75,15.000,2,1,0
note,10,L,L2,59,B3,15.0,1.0,15.000,15.750,80,0.75,16.000,2,7,0
note,11,L,L4,55,G3,16.0,2.0,16.000,17.750,80,1.75,18.000,2,5,0
rest,,,,,,18.0,1.0,,,,,19.000,,,
note,12,L,L4,55,G3,19.0,1.0,19.000,19.750,80,0.75,20.000,3,5,1
note,13,L,L2,59,B3,20.0,1.0,20.000,20.750,80,0.75,21.000,3,7,0
note,14,L,L1,60,C4,21.0,3.0,21.000,23.750,80,2.75,24.000,3,1,0
