participant,trial_index,condition,level,sequence,quiz_name,event_index,target_note,target_note_name,target_finger,target_hand,timed_out,actual_note,key_correct,actual_finger,finger_correct,target_finger_probability,manually_corrected,rt_s,p_L1,p_L2,p_L3,p_L4,p_L5,p_R1,p_R2,p_R3,p_R4,p_R5
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,0,60,C4,L4,L,False,60,True,R2,False,0.0001829535872391909,False,0.5894641876220703,0.07009779788682985,0.03186401192251581,0.0015242114891553624,0.0001829535872391909,4.092812960395025e-06,0.016634684491015586,0.8468107381588539,0.030614606144176906,0.0021846971614172006,8.220634583571531e-05
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,1,59,B3,L5,L,False,59,True,L2,False,3.244052528474615e-05,False,0.4472520351409912,0.04174806665814948,0.8385323343339612,0.03853832276217667,0.0016350169031852854,3.244052528474615e-05,0.012836275659185102,0.06482252445900112,0.0017017432088219182,0.00014832538705056257,4.950103184008286e-06
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,2,60,C4,L4,L,False,60,True,R2,False,1.911677825718612e-05,False,0.42987918853759766,0.03441381873583193,0.006571953424893812,0.00015301965730114272,1.911677825718612e-05,8.110434846329279e-07,0.017849845838688108,0.9003747929502169,0.03819906784112495,0.002322887707643758,9.468602255781436e-05
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,3,65,F4,R4,R,False,65,True,R3,False,0.1165909956687553,False,0.7723269462585449,1.2515280225173722e-07,5.999028334085206e-08,6.647112865217714e-09,1.5131334070644622e-09,7.365210994570232e-10,0.026610133875134237,0.07815328158402107,0.7640796570028949,0.1165909956687553,0.014565737829341603
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,4,64,E4,R5,R,False,64,True,R2,False,0.0010780565671336395,False,0.47153306007385254,0.0005632876638179428,0.00033795583600613663,3.456754459077395e-05,3.0129366194818647e-06,1.906940866025252e-07,0.012873358525541478,0.8935121612079591,0.08105759450398566,0.01053981452025943,0.0010780565671336395
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,5,59,B3,L3,L,False,59,True,R2,False,0.013098213689619683,False,0.46495795249938965,0.010706055500888309,0.18354793533024436,0.013098213689619683,0.0011416514578182306,5.0395433582591415e-05,0.010044703069149568,0.7443235812656154,0.03420855850132213,0.002752407164484754,0.00012649858727522284
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,6,57,A3,L4,L,False,57,True,L2,False,0.003288124422222498,False,0.5106678009033203,0.0144445519789258,0.9254844385637039,0.05627876666772352,0.003288124422222498,0.0002254225054815237,8.664908667639031e-05,0.0001845780846105829,6.673020438410547e-06,7.103997755653727e-07,8.527044195528513e-08
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,7,62,D4,R5,R,False,62,True,R2,False,0.00020366778849355733,False,0.3854711055755615,0.0021807432919228415,0.0020724570823486685,0.00013652260135897814,1.2385050973032858e-05,1.2171233670127255e-06,0.012694390157401484,0.9426875576259041,0.03691931661798123,0.003091742660249313,0.00020366778849355733
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,8,64,E4,R4,R,False,64,True,R2,False,0.003735772803918485,False,0.32251811027526855,0.0004180331891895049,0.0003005788107088795,2.3236166944605647e-05,1.7962658545499201e-06,7.931801386590426e-08,0.01977946821104251,0.9325797828384372,0.04286067358518165,0.003735772803918485,0.0003005788107088795
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,9,62,D4,R3,R,False,62,True,R2,False,0.02924637950309724,False,0.34033203125,0.002819932531451492,0.0028741465797152716,0.00026073669516553486,1.650248651327526e-05,7.287030763104064e-07,0.013124976526809877,0.9493293503957759,0.02924637950309724,0.002172233255509384,0.00015501332288575108
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,10,64,E4,R1,R,False,64,True,R2,False,0.018117952127001603,False,0.46542882919311523,0.00046593908435188687,0.00033184186856153474,2.6699866247491103e-05,1.8306270454253351e-06,9.486111124104716e-08,0.018117952127001603,0.9504193202562956,0.028131875052238204,0.002263479603830068,0.00024096665331669288
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,11,59,B3,L1,L,False,59,True,R2,False,0.01963399484285553,False,0.41326904296875,0.01963399484285553,0.19283737941752463,0.013221538971710722,0.0012483806607075359,0.00010440413461541305,0.018442513500277483,0.7218715684465257,0.03062593625629495,0.0019383696633305427,7.591410615773625e-05
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,12,64,E4,R1,R,False,64,True,R2,False,0.038286994287440694,False,0.36182689666748047,0.0006562905545065284,0.0003856423568662508,3.3612916184267656e-05,3.049294960325329e-06,1.2936859846487063e-07,0.038286994287440694,0.9411994988235443,0.017942193617280815,0.0013326309209698293,0.00015995785964873098
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,13,65,F4,R2,R,False,65,True,R2,True,0.9287374238935676,False,0.3397669792175293,7.706472577932011e-05,3.4521466019998805e-05,3.1317167418842915e-06,2.956973937563112e-07,1.472190635914465e-08,0.04623911361918289,0.9287374238935676,0.022506992867726713,0.0021251152900483416,0.0002763260016330183
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,14,64,E4,R3,R,False,64,True,R2,False,0.044259229193723486,False,0.3421199321746826,0.0004284230777341329,0.0002982163405276853,2.599279016026918e-05,2.176720090162032e-06,1.0004043727688766e-07,0.026313021192990907,0.9252499516925077,0.044259229193723486,0.0031583947848511738,0.000264494166977007
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,15,62,D4,R1,R,False,62,True,R2,False,0.022791171046543397,False,0.3298931121826172,0.00246264871221269,0.0024268142918744827,0.000229140347094765,1.7019073492002646e-05,6.937349452038178e-07,0.022791171046543397,0.9406577891754966,0.02897923115228843,0.002240231942474043,0.0001952605235783658
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,16,57,A3,L2,L,False,57,True,L2,True,0.9279918121403572,False,0.35735392570495605,0.019163796682571167,0.9279918121403572,0.04620199179584992,0.0043624023774778775,0.0004833168144872671,0.001151628612583604,0.0006144811103137464,2.713374587884399e-05,3.1292025276937128e-06,3.075179524786925e-07
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,17,59,B3,L1,L,False,59,True,L2,False,0.01942929259387124,False,0.38471174240112305,0.01942929259387124,0.9408482432497148,0.023730991563255286,0.0013864989860811413,9.133528022055182e-05,0.00668747941885977,0.00743933791372223,0.000341906440475725,4.103958684885675e-05,3.874966950153084e-06
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,18,64,E4,R2,R,False,64,True,R2,True,0.9013546204806056,False,0.3521432876586914,0.00029005256419100555,6.613208596544072e-05,4.911866659431216e-06,5.229099782733639e-07,8.294475657089182e-08,0.04487580411355797,0.9013546204806056,0.048613378247732056,0.004410106177118297,0.00038438860943537423
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,19,65,F4,R1,R,False,65,True,R2,False,0.048706574438519716,False,0.3400840759277344,4.85817942254627e-05,0.00011879987834373412,2.2501214796236113e-05,2.124569723248552e-06,1.1773078762584249e-07,0.048706574438519716,0.903082597844153,0.043198856272008646,0.004245306499857751,0.0005745397575844815
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,20,60,C4,L2,L,False,60,True,R2,False,0.055391832236164604,False,0.488400936126709,0.027616818939768216,0.055391832236164604,0.002757796938563178,0.0002820790721434724,2.0951022027474916e-05,0.037962796262628766,0.8078950409942379,0.06245411644948856,0.005230109162990797,0.00038845892198690143
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,21,59,B3,L3,L,False,59,True,R2,False,0.005465976035152134,False,0.4622170925140381,0.04951450455481254,0.1097870634753071,0.005465976035152134,0.000516098677224704,5.071886753653968e-05,0.018518476312355644,0.7794142711343169,0.03441672723919019,0.002178295528119763,0.0001378681759845972
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,22,57,A3,L2,L,False,57,True,L2,True,0.9206389194194723,False,0.3875713348388672,0.0223107339707033,0.9206389194194723,0.051679847397485226,0.003838447187781956,0.00032144394877015465,0.0005022522095267611,0.0006873359518778192,1.8780576777155157e-05,1.999352115075669e-06,2.3998549034035776e-07
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,23,59,B3,L1,L,False,59,True,R2,False,0.0699623290688682,False,0.4303300380706787,0.0699623290688682,0.19036292956490777,0.00840588794166376,0.0006498149855257804,4.826408415229526e-05,0.0204860013313882,0.6846668747488944,0.02378208118528773,0.0015666387578296072,6.917833148230045e-05
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,24,60,C4,L2,L,False,60,True,R2,False,0.007532447536519458,False,0.3589649200439453,0.022080103699644214,0.007532447536519458,0.0006060577666498397,4.685113834451175e-05,5.191254101442553e-06,0.026395811862369993,0.9152708451004452,0.026029227129815077,0.0019332838370849815,0.00010018067502527632
P02,1,A,alpha,1799551287-α-9,P02-T01-Aα,25,59,B3,L3,L,False,59,True,R2,False,0.002257557413025368,False,0.385983943939209,0.03835390625365679,0.03712473422267382,0.002257557413025368,0.0001967706263435988,2.180280687180542e-05,0.007011310924184762,0.8750521093366919,0.03712473422267382,0.002757386850974123,9.968734290408731e-05
