condition,target_finger,actual_finger,count
A,L1,L2,12
A,L1,L3,4
A,L1,L4,1
A,L1,L5,1
A,L1,R2,5
A,L2,L2,13
A,L2,L3,4
A,L2,L4,4
A,L2,L5,1
A,L2,R2,11
A,L2,R3,1
A,L2,R5,1
A,L3,L2,7
A,L3,L3,5
A,L3,L4,3
A,L3,R2,10
A,L4,L2,8
A,L4,L3,6
A,L4,L4,4
A,L4,L5,1
A,L4,R2,10
A,L5,L2,5
A,L5,L3,6
A,L5,L4,4
A,L5,L5,2
A,L5,R2,4
A,R1,L2,2
A,R1,L3,1
A,R1,R2,15
A,R1,R3,6
A,R1,R4,2
A,R2,L2,4
A,R2,L3,1
A,R2,R2,17
A,R2,R3,7
A,R2,R4,2
A,R3,L2,6
A,R3,L3,1
A,R3,R2,20
A,R3,R3,6
A,R3,R4,3
A,R4,L3,3
A,R4,R2,13
A,R4,R3,3
A,R4,R4,2
A,R4,R5,1
A,R5,L2,2
A,R5,L3,1
A,R5,R2,10
A,R5,R3,3
A,R5,R4,3
A,R5,R5,1
B,L1,L1,15
B,L2,L2,33
B,L3,L3,31
B,L3,R3,1
B,L4,L3,1
B,L4,L4,28
B,L5,L5,28
B,R1,R1,19
B,R2,R2,32
B,R3,R2,3
B,R3,R3,24
B,R4,R2,1
B,R4,R3,1
B,R4,R4,27
B,R5,R3,2
B,R5,R4,6
B,R5,R5,18
C,L1,L1,23
C,L1,L2,1
C,L2,L2,34
C,L3,L3,35
C,L4,L2,1
C,L4,L4,23
C,L5,L5,22
C,R1,R1,18
C,R2,R2,29
C,R3,R2,1
C,R3,R3,28
C,R4,R2,1
C,R4,R3,4
C,R4,R4,25
C,R5,R3,1
C,R5,R4,3
C,R5,R5,21
